id	cost	status	xloc	yloc
1	1	0	144.764	-14.035
2	1	0	144.575	-13.960
3	1	0	144.522	-13.981
4	1	0	144.668	-14.086
5	1	0	144.525	-14.120
6	1	0	144.734	-14.173
7	1	0	144.653	-14.181
8	1	0	144.800	-14.177
9	1	0	144.892	-14.201
10	1	0	144.929	-14.214
11	1	0	144.743	-14.244
12	1	0	144.960	-14.227
13	1	0	145.002	-14.233
14	1	0	145.070	-14.270
15	1	0	145.165	-14.290
16	1	0	144.687	-14.295
17	1	0	144.795	-14.309
18	1	0	145.237	-14.314
19	1	0	144.740	-14.318
20	1	0	144.956	-14.328
21	1	0	144.859	-14.320
22	1	0	144.708	-14.336
23	1	0	145.277	-14.343
24	1	0	144.651	-14.343
25	1	0	145.018	-14.364
26	1	0	144.758	-14.360
27	1	0	145.346	-14.380
28	1	0	144.963	-14.374
29	1	0	145.103	-14.421
30	1	0	145.036	-14.399
31	1	0	144.950	-14.414
32	1	0	145.323	-14.421
33	1	0	145.221	-14.454
34	1	0	144.891	-14.426
35	1	0	145.410	-14.445
36	1	0	144.811	-14.425
37	1	0	145.481	-14.453
38	1	0	145.044	-14.444
39	1	0	144.959	-14.458
40	1	0	145.026	-14.474
41	1	0	144.894	-14.463
42	1	0	144.643	-14.474
43	1	0	144.698	-14.474
44	1	0	144.754	-14.476
45	1	0	145.537	-14.498
46	1	0	144.960	-14.478
47	1	0	144.968	-14.495
48	1	0	144.763	-14.501
49	1	0	144.913	-14.502
50	1	0	145.159	-14.506
51	1	0	144.974	-14.521
52	1	0	145.589	-14.548
53	1	0	144.990	-14.540
54	1	0	144.856	-14.540
55	1	0	144.922	-14.541
56	1	0	144.870	-14.549
57	1	0	144.905	-14.554
58	1	0	144.850	-14.551
59	1	0	144.927	-14.574
60	1	0	145.623	-14.599
61	1	0	144.935	-14.614
62	1	0	145.647	-14.644
63	1	0	145.253	-14.656
64	1	0	145.491	-14.651
65	1	0	145.650	-14.664
66	1	0	145.699	-14.832
67	1	0	145.449	-14.686
68	1	0	145.379	-14.711
69	1	0	145.538	-14.704
70	1	0	144.994	-14.712
71	1	0	145.162	-14.720
72	1	0	145.191	-14.727
73	1	0	145.584	-14.728
74	1	0	145.083	-14.736
75	1	0	145.511	-14.741
76	1	0	145.356	-14.761
77	1	0	145.527	-14.777
78	1	0	145.347	-14.786
79	1	0	145.136	-14.798
80	1	0	145.182	-14.816
81	1	0	145.529	-14.866
82	1	0	145.273	-14.850
83	1	0	145.558	-14.881
84	1	0	145.479	-14.896
85	1	0	145.511	-14.914
86	1	0	145.486	-14.938
87	1	0	145.682	-14.931
88	1	0	145.338	-14.942
89	1	0	145.689	-14.949
90	1	0	145.702	-14.992
91	1	0	145.569	-15.005
92	1	0	145.442	-15.023
93	1	0	145.696	-15.035
94	1	0	145.722	-15.075
95	1	0	145.567	-15.050
96	1	0	145.532	-15.049
97	1	0	145.670	-15.096
98	1	0	145.635	-15.099
99	1	0	145.269	-15.095
100	1	0	145.384	-15.097
101	1	0	145.576	-15.141
102	1	0	145.424	-15.109
103	1	0	145.697	-15.137
104	1	0	145.318	-15.138
105	1	0	145.743	-15.205
106	1	0	145.496	-15.166
107	1	0	145.268	-15.159
108	1	0	145.616	-15.198
109	1	0	145.557	-15.207
110	1	0	145.720	-15.241
111	1	0	145.541	-15.243
112	1	0	145.584	-15.251
113	1	0	145.748	-15.280
114	1	0	145.576	-15.291
