species,pu,amount
1,1,133320000.0
3,1,60000.0
7,1,4020000.0
18,1,30000.0
23,1,13.620999999999999
26,1,86.0
27,1,0.0015288280707991167
1,2,320000.0
22,2,8.3302
26,2,37.0
27,2,0.0032448231232581064
1,3,9320000.0
22,3,8.6618
26,3,39.0
27,3,0.003616673555706462
3,4,970000.0
25,4,60.361999999999995
26,4,94.0
27,4,0.0016627685397558748
3,5,3870000.0
11,5,10000.0
24,5,15.702
26,5,60.0
27,5,0.0026703625605090757
3,6,5290000.0
7,6,50860000.0
22,6,7.7194
26,6,55.0
27,6,0.005908081125625731
3,7,6940000.0
7,7,12800000.0
23,7,13.579
26,7,107.0
27,7,0.0034194364760707294
1,8,8780000.0
7,8,3620000.0
22,8,7.7926
26,8,30.0
27,8,0.003251304498642931
1,9,4660000.0
13,9,10000.0
23,9,10.844000000000001
26,9,101.0
27,9,0.0014883950274932097
1,10,12590000.0
23,10,14.357999999999999
26,10,149.0
27,10,0.001686451212881577
1,11,500000.0
7,11,130380000.0
15,11,30000.0
25,11,81.516
26,11,105.0
27,11,0.0014863145591206685
1,12,650000.0
21,12,6.5392
26,12,129.0
27,12,0.0015167639918749554
1,13,3380000.0
13,13,10000.0
23,13,12.564
26,13,70.0
27,13,0.002005791677984064
1,14,42870000.0
22,14,9.2043
26,14,90.0
27,14,0.0013026857074420724
1,15,7190000.0
23,15,11.169
26,15,113.0
27,15,0.0021601806072910654
6,16,780000.0
21,16,6.8135
26,16,96.0
27,16,0.0014257998187627967
6,17,3950000.0
7,17,3790000.0
23,17,10.139
26,17,152.0
27,17,0.0019351452082055059
1,18,12350000.0
24,18,21.708000000000002
26,18,91.0
27,18,0.003356685656171914
6,19,16410000.0
15,19,10000.0
22,19,8.5641
26,19,72.0
27,19,0.0015036952756649266
7,20,10250000.0
15,20,10000.0
21,20,6.495
26,20,86.0
27,20,0.0015629970834858723
7,21,4620000.0
22,21,9.0988
26,21,14.0
27,21,0.0031838877369697433
6,22,160000.0
15,22,10000.0
22,22,9.5666
26,22,121.0
27,22,0.0014969580789405152
1,23,2040000.0
22,23,8.5626
26,23,180.0
27,23,0.0018957417128752868
4,24,1000000.0
22,24,8.9177
26,24,41.0
27,24,0.0037537850974706825
7,25,5620000.0
15,25,10000.0
21,25,6.5915
26,25,95.0
27,25,0.0019428866525458522
6,26,14170000.0
22,26,7.936
26,26,142.0
27,26,0.0028387378043362487
1,27,55370000.0
26,27,83.0
27,27,0.0016490200437403605
7,28,7300000.0
21,28,5.0027
26,28,103.0
27,28,0.0015664322092542966
7,29,15000000.0
15,29,20000.0
22,29,7.7906
26,29,80.0
27,29,0.002532831373203453
7,30,1910000.0
23,30,14.332
26,30,83.0
27,30,0.0022933267299837757
7,31,39700000.0
23,31,14.102
26,31,184.0
27,31,0.0010653347005408365
1,32,21580000.0
24,32,16.326
26,32,83.0
27,32,0.0022296904448513913
1,33,3670000.0
7,33,148310000.0
23,33,13.468
26,33,110.0
27,33,0.001979689690394882
6,34,6100000.0
24,34,19.915
26,34,34.0
27,34,0.004089181168875967
1,35,11740000.0
23,35,14.852
26,35,105.0
27,35,0.003124579362826294
6,36,1310000.0
23,36,12.550999999999998
26,36,39.0
27,36,0.004630959858286124
1,37,22020000.0
23,37,10.039
26,37,137.0
27,37,0.00250904410114366
7,38,810000.0
15,38,10000.0
22,38,8.4154
26,38,80.0
27,38,0.0013261819642658825
7,39,10880000.0
23,39,12.17
26,39,97.0
27,39,0.0015264080106386203
7,40,11100000.0
23,40,14.079
26,40,95.0
27,40,0.0015381723998136062
6,41,590000.0
22,41,7.6762
26,41,136.0
27,41,0.0011669107161301994
4,42,510000.0
23,42,10.345999999999998
26,42,119.0
27,42,0.0016626744821359445
4,43,680000.0
24,43,18.384
26,43,146.0
27,43,0.0015570470069796996
4,44,560000.0
21,44,6.7612
26,44,106.0
27,44,0.0015171650389822495
1,45,19850000.0
24,45,18.454
26,45,25.0
27,45,0.0036322259330589064
6,46,1040000.0
23,46,14.458
26,46,126.0
27,46,0.0016180823362495196
6,47,3910000.0
21,47,6.0431
26,47,23.0
27,47,0.003646002020164353
4,48,640000.0
21,48,5.4875
26,48,137.0
27,48,0.0011906431847781233
6,49,900000.0
22,49,7.4501
26,49,49.0
27,49,0.004356779769952277
7,50,1160000.0
21,50,5.9987
26,50,50.0
27,50,0.0036417006194769787
6,51,1610000.0
15,51,10000.0
26,51,61.0
27,51,0.002470882009502664
1,52,13480000.0
13,52,20000.0
21,52,6.4603
26,52,182.0
27,52,0.0018497998394726876
6,53,1060000.0
26,53,48.0
27,53,0.00318128051280529
6,54,70000.0
21,54,5.4256
26,54,32.0
27,54,0.004239644180945506
6,55,80000.0
26,55,35.0
27,55,0.0040300210701588535
6,56,370000.0
22,56,9.0915
26,56,42.0
27,56,0.002735669211840431
6,57,570000.0
22,57,8.5508
26,57,51.0
27,57,0.0025990686381437826
6,58,70000.0
21,58,5.0356
26,58,49.0
27,58,0.003987723428748801
6,59,320000.0
21,59,5.0
26,59,38.0
27,59,0.0039015496126791577
1,60,10290000.0
22,60,9.3991
26,60,195.0
27,60,0.001066805951148803
4,61,3280000.0
24,61,18.055999999999997
26,61,87.0
27,61,0.0014351348426128827
1,62,6820000.0
22,62,7.4775
26,62,82.0
27,62,0.0018847353067605092
6,63,1110000.0
22,63,7.5019
26,63,86.0
27,63,0.0020351469567691798
7,64,490000.0
21,64,5.9356
26,64,234.0
27,64,0.0012771039274446293
1,65,1000000.0
26,65,125.0
27,65,0.0017409371604766456
1,66,101070000.0
7,66,370000.0
13,66,20000.0
21,66,6.8459
26,66,80.0
27,66,0.003296295649237092
7,67,8560000.0
21,67,5.0
26,67,56.0
27,67,0.0032009482851089637
7,68,11960000.0
21,68,6.4759
26,68,37.0
27,68,0.004287201834026083
7,69,680000.0
21,69,5.9562
26,69,73.0
27,69,0.0021801862197777305
4,70,250000.0
21,70,5.0
26,70,79.0
27,70,0.0023689732822935
6,71,40000.0
26,71,102.0
27,71,0.0013982255788960412
6,72,100000.0
24,72,20.0
26,72,117.0
27,72,0.0013582787492956569
7,73,190000.0
23,73,13.857999999999999
26,73,68.0
27,73,0.001954404897022543
6,74,420000.0
23,74,10.318
26,74,89.0
27,74,0.001505195540518698
7,75,720000.0
22,75,8.4053
26,75,134.0
27,75,0.0016835746214232765
6,76,9950000.0
23,76,10.124
26,76,69.0
27,76,0.0032378932140844675
7,77,4570000.0
22,77,7.3968
26,77,134.0
27,77,0.0026218486037501427
6,78,3080000.0
14,78,10000.0
24,78,26.239
26,78,38.0
27,78,0.0031141660300965726
4,79,130000.0
24,79,20.136
26,79,110.0
27,79,0.002316576344994629
4,80,110000.0
25,80,35.13
