id	type	target	spf	target2	sepdistance	sepnum	name	targetocc
1	0	158276000	1000	0	0	0	BIORE_3	0
2	0	34816000	1000	0	0	0	BIORE_4	0
3	0	3426000	1000	0	0	0	BIORE_13	0
4	0	2916000	1000	0	0	0	BIORE_15	0
5	0	3452000	1000	0	0	0	BIORE_16	0
6	0	21938000	1000	0	0	0	BIORE_23	0
7	0	283046000	1000	0	0	0	BIORE_26	0
8	0	311726000	1000	0	0	0	BIORE_27	0
9	0	3054000	1000	0	0	0	BIORE_29	0
10	0	2000	1000	0	0	0	BIORE_102	0
11	0	2000	1000	0	0	0	BIORE_103	0
12	0	8000	1000	0	0	0	BIORE_114	0
13	0	14000	1000	0	0	0	BIORE_116	0
14	0	34000	1000	0	0	0	BIORE_117	0
15	0	22000	1000	0	0	0	BIORE_118	0
16	0	2000	1000	0	0	0	BIORE_119	0
17	0	30000	1000	0	0	0	BIORE_121	0
18	0	6000	1000	0	0	0	BIORE_132	0
19	0	16000	1000	0	0	0	BIORE_142	0
20	0	4000	1000	0	0	0	BIORE_147	0
21	0	50.430578	1000	0	0	0	depth500_0to7	0
22	0	94.14976	1000	0	0	0	depth500_7to10	0
23	0	222.77106	1000	0	0	0	depth500_10to15	0
24	0	417.25368	1000	0	0	0	depth500_15to30	0
25	0	167.9213	1000	0	0	0	depth500_30more	0
