"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","140","141","142","143","144","145","146","147","148","149","151","152","153","154","155","156","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300","301","302","303","304","305","306","307","309","310","311","312","314","315","316","317","318","319","320"
"1",0.1218,0.0025971,0.0061806,0,1.2442e-06,0,0,0.0028363,0.016325,0.016083,5.4512e-06,0.010241,2.2842e-05,0.00013794,1.6057e-05,0,5.9098e-06,3.9247e-05,0,0.0024126,7.6066e-05,0,8.3492e-05,3.5687e-06,2.5355e-05,0,9.1943e-05,4.164e-05,4.3205e-05,9.292e-05,5.3957e-07,3.4483e-05,5.1714e-05,0,5.6128e-05,0,0,4.6505e-05,4.0157e-05,1.3164e-06,0,0,0,0,5.0465e-05,3.7972e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017096,0,0,0.00024245,4.8413e-06,0,0,0.0002147,0,0,0,0.000219,0,0,0,0,0,0,0,0,0,0.00021265,0,0,0,0.00015323,0,4.2656e-06,2.1033e-07,0,0,0,0,0,0,0,0,1.553e-06,0,0,0,0,0,0,0,7.0174e-07,0,0,0,0,4.2031e-05,0,0,0,2.0027e-05,6.991e-05,0,8.9483e-06,0,1.8267e-05,0.00013306,6.4864e-08,1.3817e-06,2.3184e-05,5.664e-06,7.3651e-07,1.6721e-05,0.00022911,1.8112e-05,0.00013539,2.447e-05,3.7667e-05,7.4856e-05,7.3348e-07,1.2402e-06,9.3656e-06,0.00027393,0,1.5413e-06,0,0,3.5191e-05,1.4543e-05,1.7869e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022825,0,0,0,0,0,3.0086e-06,0,0.00083568,0,0,0,0.0057338,0,0,0,1.1961e-05,0,0,0,0,0,0,0.00020024,0,0,0,0.0048584,0,3.2063e-05,0,0,0,0,0,0,0,0,0,0,0,4.8896e-05,0,5.5508e-06,0,7.5395e-05,0,5.8006e-07,0,6.6752e-05,0.00020745,0.00032358,6.7106e-05,0,0,0,0,0,0,0,0,0,4.9578e-05,0,2.5811e-06,0,0,0,0,0,0,0.0019315,6.6833e-06,0.0009174,0,0,0,0,0,0.0003794,0,0,0,0.0062128,0,0,0,0.0002644,0,0.0073864,0.0051,2.4367e-06,0.0026826,0.0012927,0.0083804,0.0035251,0.009171,0.011265,0.0113,0.0023348,0.00018972,0.0060764,0.001266,0.00011805,0,0,0.0068695,0.00035846,0,0,0,0.00022212,1.9537e-06,0.00011622,0,0,0,0,3.4381e-05,0,0,2.1791e-05,0,0.0029364,0,0,0,0.00035572,5.7049e-05,5.0239e-06,0
"2",0.0035826,0,0,0,0,0,0,0,0.0026527,0.013035,0,0.0085579,0,0.00052652,0,0,0,0,0,0.0047791,8.2914e-05,0,0.00058866,0,0.0004529,0,0.00041843,0,0.00021086,0,0,0.00014994,0.00019287,0,0,0,0,0.00031619,0,6.2521e-05,0,0,0,0,0.00029339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043576,0,0,0,0,0,0,0.00017694,0,0,0,0.00015246,0,0,0,0,0,0,0,0,0,0.00018844,0,0,0,4.9841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1366e-05,0.00059035,4.6519e-06,0,0.00010519,0,0,7.4068e-05,0.00062834,8.3216e-05,0.00078202,0.00019719,0,0.00020608,0,0,0,0.00063427,0,0,0,0,7.0378e-05,3.9431e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1821e-05,0,0,0,0,0,0,0,0,0,0,0,0.020927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5018e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007342,0,0.0017905,0,0,0,0,0,0.0016565,0,0,0,0.049367,0,0,0,0.00095981,0,0.056528,0.014621,0,0.004082,0.0079602,0.011535,0.0029045,0.011614,0.047641,0.012263,0.0063442,0,0.01504,0,0,0,0,0.012983,0.0036468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018955,0,0,0,3.3152e-05,0,0,0
"3",0.0014362,0.00026045,0.0031648,0,0,0,0,0,0.0071655,0.0083891,0,0.0016129,0,3.1855e-05,0,0,0,0,0,0.0016245,0,0,7.1605e-05,0,1.6779e-05,0,6.8103e-05,0.00023471,2.3976e-05,0.00011155,0,9.8095e-05,1.8814e-05,0,0,0,6.1203e-05,5.2853e-05,0,2.2084e-05,0,0,0,0,5.3889e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8212e-05,0,0,0,2.8602e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5668e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8352e-06,0.00022947,0,0,0,0,0,0,0.00026799,7.7062e-06,5.5459e-05,1.6096e-05,0,0,0,0,0,0,0,0,0,0,5.9285e-06,9.4828e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.638e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.6056e-06,0,0,0,0,0,0,0.0015609,0,0.00053488,0,0,0,0,0,0.0024692,0,0,0,0.011544,0,0,0,0.00014679,0,0.0085326,0.006696,0,0.001171,0.0039515,0.0048811,0.0023902,0.0050524,0.016228,0.0071291,0.0025234,0.00010089,0.0092138,0.00056982,0,0,0,0.01331,0.00054055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077381,0,0,0,0.0011512,0,0,0
"4",0.06438,0.028312,0.0015015,0.035861,0,0.012405,0,0.016673,0.0018292,0.004106,0.0023941,0.010371,0,0,0,0,0.005513,0,0,0.051532,0.018875,0,0,0,0,0.00069038,0,0.068986,0,0,0,0,0,0,0,0,0,0,0.00033918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041635,0.022609,0,0.0035752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041966,4.0402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3199e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066402,0.0029636,0.0082168,0.0045694,0.00060829,0.091609,3.0643e-05,0.041714,0,0.012953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0015716,0,0,0,0,0,0,0,0.0020968,0.013544,0.0069641,0,0,0.00026518,0,0,0,0,0.034759,0,0.065908,0,0.084943,0,0.030272,0.05346,0,0.033513,0.053915,0,0.022367,8.1236e-07,0.015932,0.03547,0,0.0062997,2.1718e-05,0,0,0,0.02625,0,0.0003949,0.000168,0.026913,0,0.00033662,0,0.0019372,0.0095811,0.00023636,2.0107e-06,0.0041645,6.1526e-06,9.7531e-05,0.00022442,3.0628e-06,0.0053411,7.5176e-06,0,0.0058968,0.00036559,0.0068452,0.065918,0.0062572,0.0039506,0,0.00020427,0.022881,0.0016499,0.00016114,0,0.0036389,0,0,0,0.0058263,0,0.029599,0,0,0,0.02368,0,0.0012366,0.00027112,0,0.0054667,0,0,0,0,0,0,0.068084,0.0024452,0,0.013933,0,0.00065828,0,0,0.021981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016155,0,0,0.0074604,0,0.016621,0,0.0075693,0.0041371,0.00024456,0.0033343,0.00059518,0.0021697,0.014525,0,0.0073005,0.00027326,0,0.014477,0.024906,0.00012747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085138,0,0,0,0,0,0
"6",0.03787,0.03708,0.047999,0.065327,0,0.12669,0,0.057645,0,1.8547e-05,0.021641,0,0,0,0,0,0.049019,0,0,0.039847,0.038933,0,0,0,0,0.0079997,0,0.07209,0,0,0,0,0,0,0,0,0,0,0.0040085,0,0,0,0,0,0,0.00036654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8805e-05,0,0,0,0,0,0,0,0,0,0,0,1.7806e-05,0,0,0,4.8865e-05,0,0,0,0,0,0,0,0,0,0,2.4396e-05,0,0.054476,0.0025557,0,0.0013424,0,0,0,0,0,0,0,0,4.1383e-05,0,4.2572e-05,0,0.00011286,0,3.4722e-05,0,0,0.0037994,0.0034872,0.00010623,0,0,0,0,0,0,0,0,0,9.2856e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7302e-07,0,0,0,0,0,0,0,0,0,7.6151e-05,6.6874e-05,0,0,0,0.00056542,0,0.00014419,6.1578e-06,0,0,0.019717,7.3141e-06,0.0017425,0,0,0,5.4001e-06,0,0,0,0,0.00080016,1.942e-05,0,0,0,0,0,0,1.9559e-05,0,0,0,0,0,0,0,0,0,0,0
"7",0.0055928,0.009748,0.016845,0.0050068,0,0.0027162,0.017701,0.010169,0,0.00021373,0.0023197,0.00093203,0,0,0,0.0022408,0.00554,0,0.010212,0.0017943,0.00086241,0.0033173,0,0,0,0.015155,0,0.00044429,0,0,0,0,0,0,0,0,0,0,0.015513,0,0,0,0,0,0,0.015573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0246e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020927,0,0,0,0,0,0,0,3.5304e-05,0,0,0,0,0,0,0,0,0,0.0020196,0.011666,0.0392,0.01792,0,0,1.6692e-05,0,0,0,0,0,0.031985,0,0.016675,0,0.019145,0.00035048,0.025618,0,0,0.026208,2.8299e-05,0.0040386,0.00030864,0,0,0,0,0,0,0,0,0,0.023544,0.003744,4.745e-05,0,0,0,0,0.00072301,0,0,0,0,0.0001575,0.00040443,0.00066685,0.001758,0,0,2.7477e-05,0,0,0,0,0,0,0,0,5.409e-06,0,0,6.2855e-06,0,0,0.020421,0.00018497,0.01679,0,0.0002958,0,0,0,0,0,0,0,0,0,0,0.0028417,0.015388,0,0,0,0,0.00088681,0,0.0010852,0,0,0.00035678,0,0,0,0,0,0,0,0
"8",0.086952,0.0112,0.00097311,0.0081426,0,0.011457,0,0.011021,0.012464,0.0089241,0.0027326,0.0012584,0,0,0,0,0.011294,0,0,0.044398,0.008556,0.0016167,0,0,0,0.01462,0,0.023701,0,0,0,0,0,0,0,0,0,0,0.010257,0,0,0,0,0,0,0.011115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6642e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0097e-06,0,0,0,6.3138e-06,0,7.6784e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0619e-05,0,0,0,0,0,0,0,0,0,0,0,0.0001783,0,0,0,0.00014562,0,0,0,0,0,0,0,0,0,0,9.5763e-05,0,0.010493,0.0062713,0,0.00049269,0,0,0,0,0,0,0,0,0.0050195,0,0.00036906,0,0.0026911,6.2686e-06,0.00025067,0,0.00022323,0.0084943,0.01867,0.0015796,0,0,0,3.7079e-06,0,0,0,0,0,0.00039536,0,5.8454e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003781,0,0,0,0.0010139,0,0.0018113,0.0016122,0,0.011668,0.0015482,0.011398,0.016806,0.0015222,0.0010299,0.0023705,0,0.022081,4.9933e-05,0.013326,0,0,0,0.00091317,0.0010234,0,0,0,0.011585,0.00044922,0.00036615,0,0,0,0,0.00012802,4.7604e-05,0,4.7389e-05,0,0,0,0,0,0,0,0,0
"9",0.034213,0.0051182,0.00024449,0.00129,0,0.00059735,0,0.0044319,0.0339,0.045842,0.00060414,0.076398,0,3.6276e-05,0,0,0.0035401,0,0.00049967,0.022892,0.016945,0,0,0,0,0.0001014,0,0.012913,0,0,0,0,0,0,0,0,0,0,0.0027974,0,0,0,0,0,0,0.0019625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9466e-05,0,0,0,3.5931e-05,0,0,0,0,0,0,0,0,0,4.2758e-05,0,0,0,2.1964e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8185e-05,0,0,3.9629e-06,0,0,8.582e-06,3.7086e-05,2.4286e-06,1.7467e-05,1.0574e-05,4.7273e-05,1.7646e-05,0,0,0,5.5893e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048481,0,0,0,0,0,0,0,0,0,0,0,0.0011016,0,0,0,0.000414,0,0,0,0,0,0,0,0,0,0,0.0005526,0,0.0047035,0,0,0,0,0,0,0,0,0,0,0,0.0014241,0,0.00010101,0,0.0028448,0,0.00015021,0,0.0011874,0.0027453,0.019364,0.00016012,0,0,0,9.7771e-06,0,0.00024363,0,0,0,0.0010647,0,9.5194e-05,0,0,0,0,0,0,0,0.00098803,0,0,0,0,0,0,4.6911e-05,0,0,0,0.012098,0,0,0,0.00080984,0,0.0062054,0.014757,0,0.021177,0.001852,0.027613,0.026123,0.061814,0.03109,0.081538,0.0038801,0.012444,0.0011861,0.01937,0,0,0,0.0002272,0.00096893,0,0,0,0.0063886,8.0891e-06,0.00024292,0,0,0,0,0.0029778,0,0,0.00082952,0,0,0,0,0,0,0,0,0
