"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,28484093.284717,0,5,0,0,yes,1.000000
19,,102797716.068924,151437849.154325,0,5,0,0,yes,1.000000
18,,3456201.354849,15185179.406914,0,1,0,0,yes,1.000000
17,,227195960.353977,249120399.943568,0,7,0,0,yes,1.000000
16,,148175890.094612,205016369.661146,0,8,0,0,yes,1.000000
15,,13102763.391318,17434582.991166,0,3,0,0,yes,1.000000
14,,6001996.155702,19009961.721302,0,3,0,0,yes,1.000000
13,,8931772.451034,15536804.488920,0,2,0,0,yes,1.000000
12,,352533215.344209,460727871.121847,0,7,0,0,yes,1.000000
11,,501908512.966683,523985676.993468,0,8,0,0,yes,1.000000
10,,551448418.822755,575424064.646571,0,4,0,0,yes,1.000000
9,,6062635.478561,6512249.576949,0,3,0,0,yes,1.000000
8,,1170071012.657410,1180948268.588041,0,10,0,0,yes,1.000000
7,,376396272.768339,391946522.550516,0,3,0,0,yes,1.000000
6,,283242187.381411,346218004.259419,0,5,0,0,yes,1.000000
5,,501694534.627578,511923142.422801,0,7,0,0,yes,1.000000
4,,145211448.600232,170321579.323131,0,5,0,0,yes,1.000000
3,,746665780.128168,783979515.367773,0,8,0,0,yes,1.000000
2,,213197082.166299,254602154.858713,0,2,0,0,yes,1.000000
1,,111056428.065240,126486505.371737,0,2,0,0,yes,1.000000
