"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,1
644,0
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,4
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,0
622,3
621,0
620,0
619,1
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,1
610,1
609,4
608,0
607,0
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,1
598,3
597,2
596,0
595,0
594,1
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,1
585,1
584,0
583,0
582,0
581,0
580,0
579,0
578,0
577,0
576,0
575,0
574,0
573,0
572,5
571,1
570,0
569,0
568,0
567,0
566,0
565,0
564,0
563,0
562,0
561,0
560,3
559,2
558,3
557,0
556,0
555,0
554,0
553,0
552,0
551,0
550,0
549,0
548,0
547,2
546,2
545,1
544,0
543,0
542,0
541,0
540,0
539,1
538,1
537,0
536,0
535,0
534,1
533,4
532,1
531,6
530,5
529,8
528,1
527,7
526,1
525,2
524,0
523,1
522,0
521,3
520,2
519,2
518,1
517,3
516,3
515,2
514,4
513,0
512,10
511,0
510,0
509,0
508,3
507,0
506,0
505,6
504,6
503,5
502,2
501,1
500,1
499,3
498,3
497,0
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,0
488,3
487,0
486,5
485,2
484,4
483,2
482,4
481,1
480,0
479,0
478,0
477,0
476,0
475,0
474,2
473,0
472,1
471,1
470,0
469,8
468,0
467,0
466,0
465,0
464,0
463,6
462,3
461,5
460,1
459,2
458,2
457,0
456,0
455,2
454,1
453,0
452,1
451,5
450,0
449,0
448,0
447,2
446,1
445,2
444,0
443,0
442,0
441,0
440,5
439,1
438,1
437,0
436,0
435,0
434,4
433,3
432,2
431,2
430,0
429,0
428,0
427,3
426,4
425,1
424,0
423,0
422,0
421,0
420,1
419,0
418,3
417,2
416,0
415,0
414,0
413,0
412,0
411,1
410,2
409,4
408,2
407,0
406,0
405,0
404,0
403,2
402,2
401,4
400,6
399,0
398,0
397,0
396,0
395,3
394,0
393,4
392,0
391,0
390,0
389,0
388,0
387,3
386,2
385,3
384,2
383,0
382,0
381,0
380,0
379,5
378,1
377,0
376,2
375,0
374,0
373,0
372,0
371,0
370,2
369,2
368,5
367,0
366,0
365,0
364,0
363,0
362,4
361,2
360,0
359,0
358,0
357,0
356,0
355,0
354,1
353,3
352,0
351,4
350,4
349,0
348,0
347,0
346,0
345,0
344,2
343,1
342,3
341,2
340,3
339,2
338,0
337,0
336,0
335,3
334,3
333,2
332,2
331,0
330,3
329,0
328,0
327,0
326,3
325,3
324,4
323,2
322,1
321,0
320,0
319,0
318,0
317,5
316,0
315,2
314,0
313,2
312,0
311,0
310,0
309,1
308,5
307,2
306,1
305,3
304,0
303,0
302,0
301,1
300,5
299,1
298,3
297,1
296,0
295,0
294,0
293,0
292,4
291,3
290,0
289,1
288,1
287,0
286,0
285,0
284,1
283,2
282,1
281,2
280,1
279,0
278,0
277,0
276,3
275,2
274,2
273,2
272,0
271,0
270,0
269,0
268,0
267,4
266,6
265,1
264,3
263,0
262,0
261,0
260,0
259,0
258,0
257,4
256,5
255,0
254,2
253,1
252,0
251,0
250,0
249,0
248,0
247,4
246,1
245,1
244,2
243,9
242,0
241,0
240,0
239,0
238,0
237,0
236,1
235,0
234,2
233,0
232,2
231,1
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,3
222,4
221,5
220,0
219,0
218,3
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,2
209,2
208,3
207,3
206,0
205,0
204,2
203,2
202,0
201,0
200,0
199,0
198,0
197,0
196,0
195,0
194,5
193,1
192,3
191,3
190,1
189,0
188,2
187,3
186,1
185,0
184,0
183,0
182,0
181,0
180,0
179,0
178,0
177,1
176,0
175,2
174,3
173,4
172,0
171,0
170,0
169,3
168,2
167,0
166,0
165,0
164,0
163,1
162,2
161,5
160,5
159,2
158,2
157,0
156,5
155,1
154,0
153,2
152,1
151,0
150,0
149,0
148,0
147,0
146,1
145,1
144,2
143,3
142,2
141,1
140,2
139,2
138,0
137,0
136,3
135,1
134,0
133,0
132,0
131,1
130,3
129,1
128,1
127,3
126,4
125,1
124,0
123,0
122,0
121,0
120,6
119,4
118,0
117,0
116,1
115,1
114,2
113,5
112,4
111,1
110,4
109,2
108,0
107,0
106,0
105,0
104,12
103,1
102,5
101,4
100,1
99,1
98,1
97,4
96,0
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,2
87,2
86,0
85,0
84,0
83,1
82,0
81,0
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,1
72,3
71,0
70,1
69,2
68,1
67,5
66,0
65,0
64,0
63,0
62,0
61,0
60,0
59,1
58,7
57,3
56,2
55,0
54,0
53,0
52,1
51,0
50,0
49,0
48,0
47,0
46,0
45,2
44,3
43,5
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,0
33,2
32,1
31,1
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,2
22,0
21,0
20,1
19,0
18,0
17,0
16,0
15,0
14,5
13,0
12,0
11,0
10,0
9,0
8,0
7,6
6,0
5,0
4,0
3,0
2,4
1,0
0,0
