,FID,geometry,fa_included,aa_included,aa_donors_demo_pu,aa_recipients_demo_pu,between_cent_demo_pu,eig_vect_cent_demo_pu,fa_donors_demo_pu,fa_recipients_demo_pu,google_demo_pu,in_degree_demo_pu,out_degree_demo_pu,self_recruit_demo_pu,best_solution,select_freq,status
0,0,"POLYGON ((147.5793132786925 -19.77419400918118, 147.6502863937548 -19.73676465208617, 147.7202500171852 -19.77584033890652, 147.7192759860077 -19.85237547682075, 147.6482642226311 -19.8898340912883, 147.5782651404232 -19.850728295394, 147.5793132786925 -19.77419400918118))",True,False,0.012113940143589751,0.012113940143589751,0.0,1.8316201888297772e-11,0.006392407899999998,0.006392407899999997,0.0013961338716730201,91,91,0.0,0,5,0
1,1,"POLYGON ((147.7202500171852 -19.77584033890652, 147.7911876709864 -19.73835022835877, 147.8611898259338 -19.77736598063496, 147.8602899066942 -19.85390190783117, 147.7893137190152 -19.89142130854614, 147.7192759860077 -19.85237547682075, 147.7202500171852 -19.77584033890652))",True,False,0.01383379181794872,0.013833791817948722,0.0,1.4786203393714898e-11,0.004669656271794872,0.004669656271794871,0.00110162110458292,91,91,0.0,0,4,0
2,2,"POLYGON ((147.8611898259338 -19.77736598063496, 147.9320918993754 -19.73981514591943, 148.0021324713886 -19.77877093063451, 148.0013066685647 -19.85530758468758, 147.9303661758807 -19.89288774224721, 147.8602899066942 -19.85390190783117, 147.8611898259338 -19.77736598063496))",True,False,0.013950574638461544,0.013950574638461544,632.6410214039583,1.3668202123535882e-11,0.004552410399999998,0.004552410399999999,0.0010815554554717839,104,104,0.0,0,2,0
3,3,"POLYGON ((148.0021324713886 -19.77877093063451, 148.0729988455415 -19.74115940118642, 148.1430777199715 -19.78005518546832, 148.1423260376725 -19.85659250394774, 148.0714213591104 -19.89423338879901, 148.0013066685647 -19.85530758468758, 148.0021324713886 -19.77877093063451))",False,False,0.014107398348717957,0.014107398348717954,632.6410214039583,7.103216053585734e-12,0.004388245069230764,0.004388245069230769,0.001039410062794841,104,104,0.0,0,3,0
4,4,"POLYGON ((148.1430777199715 -19.78005518546832, 148.2139082760776 -19.74238299087286, 148.2840253380786 -19.78121874199447, 148.2833477800451 -19.85775666246516, 148.2124790345598 -19.89545824490454, 148.1423260376725 -19.85659250394774, 148.1430777199715 -19.78005518546832))",False,False,0.011933826074358979,0.011933826074358975,632.6410214039583,1.974397291698108e-12,0.006555753107692308,0.006555753107692312,0.0014122476813768284,104,104,0.0,0,4,0
5,5,"POLYGON ((148.2840253380786 -19.78121874199447, 148.3548199575518 -19.74348591198697, 148.4249750920827 -19.78226159736658, 148.4243716616864 -19.85880005738888, 148.3535389680596 -19.89656230756284, 148.2833477800451 -19.85775666246516, 148.2840253380786 -19.78121874199447))",False,False,0.012215627402564103,0.012215627402564103,14.868526531794593,5.816461442000197e-13,0.006272525148717953,0.006272525148717952,0.0013548258185826219,22,22,0.0,0,3,0
6,6,"POLYGON ((147.5104717813244 -19.65852359290698, 147.5814062531869 -19.62112345640124, 147.6512958862232 -19.66022894242634, 147.6502863937548 -19.73676465208617, 147.5793132786925 -19.77419400918118, 147.5093883010312 -19.73505842097818, 147.5104717813244 -19.65852359290698))",True,False,0.011753256092307693,0.01175325609230769,0.0,2.0374232761327927e-11,0.00675677746666667,0.0067567774666666735,0.0014274793294642852,91,91,0.0,1,6,0
7,7,"POLYGON ((147.6512958862232 -19.66022894242634, 147.7221950108932 -19.62276808527069, 147.7921231706156 -19.66181369943356, 147.7911876709864 -19.73835022835877, 147.7202500171852 -19.77584033890652, 147.6502863937548 -19.73676465208617, 147.6512958862232 -19.66022894242634))",True,False,0.010906466751282061,0.010906466751282061,34.4522916892261,2.1027107615632232e-11,0.007603524030769225,0.007603524030769226,0.0015797031393137836,96,96,0.0,0,2,0
8,8,"POLYGON ((147.7921231706156 -19.66181369943356, 147.8629868291933 -19.62429215079566, 147.9329534015178 -19.66327786005785, 147.9320918993754 -19.73981514591943, 147.8611898259338 -19.77736598063496, 147.7911876709864 -19.73835022835877, 147.7921231706156 -19.66181369943356))",True,False,0.012770607828205134,0.012770607828205133,1129.7397859105272,1.184937590756164e-11,0.005724541648717947,0.005724541648717949,0.001164181444608871,162,162,0.0,0,2,0
9,9,"POLYGON ((147.9329534015178 -19.66327786005785, 148.0037814752721 -19.62569564925539, 148.0737863459172 -19.66462142072299, 148.0729988455415 -19.74115940118642, 148.0021324713886 -19.77877093063451, 147.9320918993754 -19.73981514591943, 147.9329534015178 -19.66327786005785))",False,False,0.01318931794358974,0.013189317943589745,213.19758919032225,2.0008379287488195e-12,0.005298834607692315,0.00529883460769231,0.00116264442662896,94,94,0.0,0,3,0
10,10,"POLYGON ((148.0737863459172 -19.66462142072299, 148.1445787162867 -19.62697857722345, 148.2146217707741 -19.66584437814714, 148.2139082760776 -19.74238299087286, 148.1430777199715 -19.78005518546832, 148.0729988455415 -19.74115940118642, 148.0737863459172 -19.66462142072299))",False,False,0.009463741507692304,0.009463741507692304,0.0,1.3340356672259641e-12,0.009024411043589751,0.009024411043589751,0.0018551243832667693,16,16,0.0,0,4,0
