id1,id2,value
conn_001,conn_001,0.154467238
conn_002,conn_001,0.140822888
conn_003,conn_001,0.126526156
conn_004,conn_001,0.086475748
conn_005,conn_001,0.055413419
conn_006,conn_001,0.03718277
conn_007,conn_001,0.02670197
conn_008,conn_001,0.02670197
conn_009,conn_001,0.154467238
conn_010,conn_001,0.126710133
conn_011,conn_001,0.123842175
conn_012,conn_001,0.055413419
conn_013,conn_001,0.052906338
conn_014,conn_001,0.02670197
conn_015,conn_001,0.02670197
conn_016,conn_001,0
conn_001,conn_002,0.154015751
conn_002,conn_002,0.12638024
conn_003,conn_002,0.12638024
conn_004,conn_002,0.077913541
conn_005,conn_002,0.13148532
conn_006,conn_002,0.103797033
conn_007,conn_002,0.103797033
conn_008,conn_002,0.046116372
conn_009,conn_002,0.023977573
conn_010,conn_002,0.003604187
conn_011,conn_002,0.003604187
conn_012,conn_002,0.011490282
conn_013,conn_002,0.005389893
conn_014,conn_002,0.000432483
conn_015,conn_002,0.000432483
conn_016,conn_002,0.002869725
conn_001,conn_003,0.077913541
conn_002,conn_003,0.12638024
conn_003,conn_003,0.12638024
conn_004,conn_003,0.154015751
conn_005,conn_003,0.046116372
conn_006,conn_003,0.103797033
conn_007,conn_003,0.103797033
conn_008,conn_003,0.13148532
conn_009,conn_003,0.011490282
conn_010,conn_003,0.003604187
conn_011,conn_003,0.003604187
conn_012,conn_003,0.023977573
conn_013,conn_003,0.002869725
conn_014,conn_003,0.000432483
conn_015,conn_003,0.000432483
conn_016,conn_003,0.005389893
conn_001,conn_004,0.027493537
conn_002,conn_004,0.056003677
conn_003,conn_004,0.12638024
conn_004,conn_004,0.154015751
conn_005,conn_004,0.004473809
conn_006,conn_004,0.018364447
conn_007,conn_004,0.103797033
conn_008,conn_004,0.13148532
conn_009,conn_004,0
conn_010,conn_004,0
conn_011,conn_004,0.003604187
conn_012,conn_004,0.023977573
conn_013,conn_004,0
conn_014,conn_004,0
conn_015,conn_004,0.000432483
conn_016,conn_004,0.005389893
conn_001,conn_005,0.154015751
conn_002,conn_005,0.12638024
conn_003,conn_005,0.055785235
conn_004,conn_005,0.027202381
conn_005,conn_005,0.13148532
conn_006,conn_005,0.103797033
conn_007,conn_005,0.018364399
conn_008,conn_005,0.004473658
conn_009,conn_005,0.131800224
conn_010,conn_005,0.103890697
conn_011,conn_005,0.018121878
conn_012,conn_005,0.004232246
conn_013,conn_005,0.054394131
conn_014,conn_005,0.03544067
conn_015,conn_005,0.022396708
conn_016,conn_005,0.012913558
conn_001,conn_006,0.154015751
conn_002,conn_006,0.12638024
conn_003,conn_006,0.12638024
conn_004,conn_006,0.077667832
conn_005,conn_006,0.13148532
conn_006,conn_006,0.103797033
conn_007,conn_006,0.103797033
conn_008,conn_006,0.046116312
conn_009,conn_006,0.131800224
