species,pu,amount
1,1,133320000.0
3,1,60000.0
7,1,4020000.0
18,1,30000.0
23,1,13.620999999999999
26,1,733.2094343519763
1,2,320000.0
22,2,8.3302
26,2,3.4231354590562453
1,3,9320000.0
22,3,8.6618
26,3,3.4231354590562453
3,4,970000.0
25,4,60.361999999999995
26,4,52.84842480882609
3,5,3870000.0
11,5,10000.0
24,5,15.702
3,6,5290000.0
7,6,50860000.0
22,6,7.7194
26,6,1998.4310770004986
3,7,6940000.0
7,7,12800000.0
23,7,13.579
26,7,1386.5166818355135
1,8,8780000.0
7,8,3620000.0
22,8,7.7926
26,8,4009.4397864991083
1,9,4660000.0
13,9,10000.0
23,9,10.844000000000001
26,9,27.528370726601278
1,10,12590000.0
23,10,14.357999999999999
26,10,22.03735169125551
1,11,500000.0
7,11,130380000.0
15,11,30000.0
25,11,81.516
26,11,3832.4873400199576
1,12,650000.0
21,12,6.5392
26,12,33.04076068595494
1,13,3380000.0
13,13,10000.0
23,13,12.564
26,13,10.960295082724882
1,14,42870000.0
22,14,9.2043
26,14,1813.7563328844426
1,15,7190000.0
23,15,11.169
26,15,34.75987677217774
6,16,780000.0
21,16,6.8135
26,16,245.33997941345186
6,17,3950000.0
7,17,3790000.0
23,17,10.139
26,17,5243.316623932813
1,18,12350000.0
24,18,21.708000000000002
26,18,4.192611201237777
6,19,16410000.0
15,19,10000.0
22,19,8.5641
26,19,135.48425587156748
7,20,10250000.0
15,20,10000.0
21,20,6.495
26,20,946.8413202152299
7,21,4620000.0
22,21,9.0988
26,21,946.9903080372214
6,22,160000.0
15,22,10000.0
22,22,9.5666
26,22,193.74032514808786
1,23,2040000.0
22,23,8.5626
26,23,3.1714834034204302
4,24,1000000.0
22,24,8.9177
7,25,5620000.0
15,25,10000.0
21,25,6.5915
26,25,946.9903080372214
6,26,14170000.0
22,26,7.936
26,26,149.1025680905091
1,27,55370000.0
26,27,23.9133982120839
7,28,7300000.0
21,28,5.0027
26,28,822.2031626796986
7,29,15000000.0
15,29,20000.0
22,29,7.7906
26,29,946.9903080372214
7,30,1910000.0
23,30,14.332
26,30,946.9903080372214
7,31,39700000.0
23,31,14.102
26,31,724.7125948498683
1,32,21580000.0
24,32,16.326
26,32,3.0386627471546097
1,33,3670000.0
7,33,148310000.0
23,33,13.468
26,33,2919.117507938076
6,34,6100000.0
24,34,19.915
26,34,258.1240529817371
1,35,11740000.0
23,35,14.852
26,35,38.00507136122057
6,36,1310000.0
23,36,12.550999999999998
26,36,258.1240529817371
1,37,22020000.0
23,37,10.039
26,37,38.00507136122057
7,38,810000.0
15,38,10000.0
22,38,8.4154
26,38,946.9903080372214
7,39,10880000.0
23,39,12.17
26,39,946.9903080372214
7,40,11100000.0
23,40,14.079
26,40,946.9903080372214
6,41,590000.0
22,41,7.6762
26,41,258.1240529817371
4,42,510000.0
23,42,10.345999999999998
4,43,680000.0
24,43,18.384
26,43,5929.093845575573
4,44,560000.0
21,44,6.7612
26,44,5929.093845575573
1,45,19850000.0
24,45,18.454
26,45,38.00507136122057
6,46,1040000.0
23,46,14.458
26,46,171.88614200496946
6,47,3910000.0
21,47,6.0431
26,47,120.89974154114459
4,48,640000.0
21,48,5.4875
26,48,5929.093845575573
6,49,900000.0
22,49,7.4501
26,49,206.35410886130055
7,50,1160000.0
21,50,5.9987
26,50,946.9903080372214
6,51,1610000.0
15,51,10000.0
26,51,120.89974154114459
1,52,13480000.0
13,52,20000.0
21,52,6.4603
26,52,38.00507136122057
6,53,1060000.0
26,53,206.35410886130055
6,54,70000.0
21,54,5.4256
26,54,155.5362424099113
6,55,80000.0
26,55,206.35410886130055
6,56,370000.0
22,56,9.0915
26,56,155.5362424099113
6,57,570000.0
22,57,8.5508
26,57,206.35410886130055
6,58,70000.0
21,58,5.0356
26,58,155.5362424099113
6,59,320000.0
21,59,5.0
26,59,231.07970613928688
1,60,10290000.0
22,60,9.3991
26,60,40.991069067846354
4,61,3280000.0
24,61,18.055999999999997
1,62,6820000.0
22,62,7.4775
26,62,24.68240973358683
6,63,1110000.0
22,63,7.5019
26,63,258.1240529817371
7,64,490000.0
21,64,5.9356
26,64,306.8768493220584
1,65,1000000.0
26,65,25.412178996924712
1,66,101070000.0
7,66,370000.0
13,66,20000.0
21,66,6.8459
26,66,762.6852209073226
7,67,8560000.0
21,67,5.0
26,67,946.9903080372214
7,68,11960000.0
21,68,6.4759
26,68,237.12544076498304
7,69,680000.0
21,69,5.9562
26,69,306.8768493220584
4,70,250000.0
21,70,5.0
6,71,40000.0
26,71,258.1240529817371
6,72,100000.0
24,72,20.0
26,72,258.1240529817371
7,73,190000.0
23,73,13.857999999999999
26,73,306.8768493220584
6,74,420000.0
23,74,10.318
26,74,258.1240529817371
7,75,720000.0
22,75,8.4053
26,75,237.12544076498304
6,76,9950000.0
23,76,10.124
26,76,4243.080488031317
7,77,4570000.0
22,77,7.3968
26,77,237.12544076498304
6,78,3080000.0
14,78,10000.0
24,78,26.239
26,78,4278.919276923889
4,79,130000.0
24,79,20.136
4,80,110000.0
25,80,35.13
7,81,5410000.0
14,81,10000.0
21,81,6.6823
26,81,237.12544076498304
6,82,180000.0
24,82,29.458000000000002
26,82,696.4545220637319
7,83,1180000.0
24,83,22.616999999999997
26,83,237.12544076498304
7,84,1190000.0
23,84,11.505
26,84,237.12544076498304
7,85,4960000.0
24,85,25.42
26,85,237.12544076498304
7,86,10640000.0
24,86,25.316
26,86,246.92364289312195
1,87,1240000.0
23,87,14.675
26,87,30.720266797475354
4,88,70000.0
23,88,13.338
26,88,342.8506103050352
1,89,2060000.0
23,89,11.87
26,89,30.720266797475354
1,90,19110000.0
19,90,10000.0
24,90,15.277000000000001
26,90,1930.861312550238
7,91,290000.0
24,91,18.561
26,91,246.92364289312195
6,92,1350000.0
25,92,32.281
26,92,696.4545220637319
1,93,2370000.0
21,93,6.9211
26,93,102.18958689257227
1,94,15040000.0
23,94,14.294
26,94,102.18958689257227
7,95,7990000.0
21,95,6.8559
26,95,246.92364289312195
7,96,2100000.0
22,96,8.4835
26,96,246.92364289312195
7,97,2030000.0
22,97,7.4982
26,97,249.61972829495022
7,98,3290000.0
21,98,5.1066
26,98,249.61972829495022
4,99,300000.0
22,99,7.8885
6,100,760000.0
21,100,6.9804
26,100,696.4545220637319
7,101,28130000.0
22,101,8.7034
26,101,249.61972829495022
6,102,1770000.0
23,102,10.915999999999999
26,102,696.4545220637319
1,103,750000.0
7,103,430000.0
23,103,14.757
26,103,1788.1602947710714
4,104,1650000.0
22,104,8.1552
26,104,342.8506103050352
1,105,24030000.0
23,105,11.863
26,105,92.19808903590679
7,106,13320000.0
14,106,10000.0
23,106,12.54
26,106,249.61972829495022
