"planning_unit","number"
321,3
320,0
319,5
318,2
317,20
316,7
315,3
314,3
313,7
312,2
311,0
310,4
309,4
308,4
307,1
306,1
305,2
304,16
303,5
302,4
301,1
300,3
299,3
298,2
297,5
296,4
295,2
294,6
293,2
292,0
291,4
290,3
289,4
288,11
287,1
286,4
285,0
284,5
283,3
282,2
281,4
280,2
279,3
278,0
277,5
276,7
275,4
274,1
273,6
272,4
271,3
270,2
269,2
268,1
267,3
266,7
265,3
264,3
263,1
262,5
261,12
260,3
259,2
258,2
257,3
256,6
255,8
254,9
253,5
252,1
251,3
250,0
249,3
248,0
247,9
246,7
245,5
244,1
243,0
242,2
241,5
240,2
239,1
238,5
237,11
236,1
235,2
234,0
233,2
232,2
231,8
230,3
229,6
228,4
227,3
226,4
225,2
224,3
223,7
222,3
221,5
220,2
219,0
218,1
217,6
216,5
215,3
214,1
213,1
212,2
211,0
210,1
209,3
208,6
207,3
206,8
205,13
204,5
203,4
202,4
201,8
200,3
199,5
198,13
197,2
196,3
195,4
194,4
193,2
192,6
191,2
190,2
189,9
188,3
187,5
186,3
185,13
184,3
183,0
182,0
181,3
180,3
179,1
178,7
177,0
176,1
175,2
174,2
173,7
172,1
171,2
170,7
169,3
168,4
167,1
166,5
165,2
164,1
163,8
162,2
161,3
160,1
159,6
158,5
157,9
156,3
155,1
154,1
153,5
152,7
151,3
150,2
149,8
148,1
147,3
146,0
145,3
144,6
143,20
142,3
141,2
140,2
139,3
138,1
137,3
136,4
135,3
134,1
133,4
132,2
131,1
130,0
129,4
128,3
127,2
126,1
125,8
124,6
123,5
122,8
121,7
120,5
119,13
118,1
117,2
116,0
115,1
114,4
113,0
112,1
111,1
110,2
109,0
108,2
107,5
106,2
105,4
104,2
103,7
102,0
101,2
100,4
99,3
98,1
97,4
96,3
95,6
94,2
93,8
92,1
91,1
90,3
89,2
88,4
87,8
86,4
85,1
84,1
83,2
82,7
81,7
80,2
79,2
78,5
77,1
76,3
75,0
74,0
73,2
72,1
71,0
70,2
69,4
68,7
67,2
66,12
65,0
64,2
63,1
62,3
61,10
60,1
59,0
58,0
57,4
56,5
55,0
54,1
53,0
52,9
51,0
50,0
49,4
48,2
47,2
46,4
45,3
44,8
43,1
42,1
41,2
40,5
39,2
38,5
37,2
36,5
35,5
34,3
33,6
32,0
31,4
30,0
29,5
28,1
27,0
26,9
25,5
24,10
23,1
22,6
21,2
20,3
19,12
18,2
17,1
16,3
15,3
14,2
13,1
12,5
11,18
10,1
9,3
8,3
7,1
6,2
5,20
4,11
3,4
2,4
1,20
