"planning_unit","number"
321,65
320,5
319,22
318,4
317,15
316,4
315,37
314,0
313,0
312,0
311,3
310,0
309,1
308,0
307,0
306,1
305,0
304,56
303,2
302,3
301,3
300,0
299,30
298,1
297,3
296,2
295,9
294,2
293,5
292,1
291,0
290,1
289,0
288,3
287,3
286,0
285,1
284,0
283,13
282,1
281,6
280,6
279,10
278,0
277,5
276,25
275,9
274,1
273,11
272,30
271,13
270,43
269,9
268,3
267,1
266,0
265,0
264,5
263,2
262,3
261,27
260,10
259,0
258,1
257,1
256,2
255,14
254,11
253,1
252,5
251,5
250,1
249,15
248,1
247,36
246,0
245,5
244,0
243,8
242,6
241,13
240,9
239,4
238,2
237,5
236,4
235,0
234,0
233,0
232,0
231,4
230,12
229,2
228,8
227,5
226,1
225,2
224,1
223,3
222,5
221,17
220,0
219,3
218,2
217,17
216,0
215,3
214,11
213,2
212,0
211,12
210,3
209,4
208,3
207,1
206,2
205,3
204,0
203,2
202,22
201,0
200,1
199,1
198,12
197,4
196,4
195,0
194,0
193,2
192,1
191,0
190,10
189,7
188,1
187,65
186,4
185,8
184,1
183,0
182,2
181,24
180,0
179,1
178,1
177,0
176,1
175,2
174,0
173,0
172,6
171,7
170,1
169,8
168,2
167,8
166,4
165,0
164,3
163,0
162,6
161,0
160,3
159,5
158,0
157,0
156,0
155,0
154,0
153,0
152,10
151,0
150,0
149,40
148,0
147,6
146,17
145,0
144,3
143,1
142,2
141,1
140,5
139,0
138,0
137,30
136,3
135,9
134,4
133,1
132,2
131,0
130,1
129,16
128,1
127,0
126,2
125,0
124,23
123,0
122,18
121,0
120,28
119,4
118,0
117,1
116,0
115,2
114,42
113,1
112,3
111,4
110,0
109,6
108,2
107,6
106,10
105,3
104,12
103,0
102,2
101,21
100,4
99,0
98,3
97,4
96,2
95,8
94,2
93,0
92,8
91,1
90,0
89,0
88,0
87,0
86,7
85,2
84,1
83,0
82,1
81,5
80,0
79,1
78,2
77,3
76,13
75,1
74,0
73,0
72,1
71,0
70,2
69,2
68,7
67,4
66,32
65,0
64,0
63,3
62,1
61,28
60,0
59,0
58,1
57,0
56,0
55,0
54,0
53,3
52,2
51,7
50,2
49,2
48,0
47,5
46,1
45,1
44,4
43,4
42,4
41,0
40,6
39,1
38,0
37,0
36,6
35,1
34,5
33,1
32,1
31,14
30,2
29,6
28,3
27,12
26,32
25,1
24,17
23,0
22,0
21,4
20,8
19,23
18,0
17,5
16,2
15,0
14,7
13,0
12,0
11,0
10,2
9,0
8,1
7,78
6,7
5,0
4,0
3,1
2,1
1,66
