"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
2,23.000000,23.000000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
3,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
4,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
5,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
6,27.000000,27.000000,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
7,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
8,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
9,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
10,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
11,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
12,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
13,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
14,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
15,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
16,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
17,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
18,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
19,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
20,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
21,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
22,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
23,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
24,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
25,23.000000,23.000000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
26,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
27,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
28,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
29,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
30,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
31,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
32,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
33,24.000000,24.000000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
34,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
35,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
36,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
37,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
38,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
39,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
40,23.000000,23.000000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
41,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
42,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
43,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
44,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
45,24.000000,24.000000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
46,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
47,14.000000,14.000000,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
48,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
49,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
50,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
51,24.000000,24.000000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
52,22.000000,22.000000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
53,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
