species,pu,amount
12,0,76146210.79643922
12,1,40524764.27550471
8,100,143974390.716584
11,100,41475721.998073205
20,100,2156680.51159414
8,101,54548630.6385406
11,101,132189034.008659
20,101,809209.24067935
7,102,103046879.840994
12,102,57818879.509513
14,102,380905.757289076
3,103,48766979.5607062
7,103,137481273.733482
14,103,284108.261373262
18,103,1050860.33852358
3,104,147090382.302159
18,104,15185179.406913599
21,104,1.0
3,105,8525804.80034976
18,105,1584215.21310824
21,105,1.0
21,106,1.0
21,107,1.0
8,108,73360553.159024
21,108,1.0
8,109,164005862.364605
17,109,5044360.33471555
21,109,1.0
18,11,10128.3701042794
8,110,177063150.58161798
17,110,2262851.17044607
21,110,1.0
8,111,159375796.12307099
17,111,15800350.7080117
21,111,1.0
8,112,147275396.109215
17,112,40311123.9593139
21,112,1.0
8,113,173874044.452632
17,113,8331454.56089897
20,113,5381282.81286533
21,113,1.0
8,114,155543991.102783
11,114,29811960.936851002
17,114,228515.56524763
20,114,2002555.16148019
21,114,1.0
8,115,43147409.490364395
11,115,143985969.26217902
20,115,453864.16252137796
11,116,120543748.827781
11,117,7854646.91690704
12,118,9399994.02063394
3,119,4257058.95995665
7,119,156372577.867756
12,119,26647606.767463
14,119,132506.144871064
18,12,279618.514689053
3,120,120197939.11931299
7,120,600958.074150205
18,120,12301291.664909698
21,120,1.0
3,121,3566927.62582183
21,121,1.0
21,122,1.0
8,123,54500099.480076596
17,123,1869469.26612693
21,123,1.0
8,124,149898481.744324
17,124,20220480.101157896
21,124,1.0
8,125,186636210.12801102
17,125,928996.259110268
21,125,1.0
8,126,169268525.67678002
17,126,18297027.387504
21,126,1.0
8,127,163617586.196553
17,127,23948291.8841172
21,127,1.0
8,128,179537311.37239298
17,128,8028870.09852764
21,128,1.0
8,129,112471917.608504
11,129,74705632.3676922
20,129,388913.29122882296
21,129,1.0
12,13,15111054.508295001
8,130,30884345.763732396
11,130,156075547.033714
20,130,606830.702636234
21,130,1.0
11,131,143391145.117191
21,131,1.0
11,132,24768688.794295397
7,134,4276916.49015516
12,134,11605870.0392548
7,135,54375812.008882396
12,135,73717270.8478843
3,136,81343872.9617381
7,136,46076308.97575279
18,136,3057773.5793878
21,137,1.0
8,138,40759348.5377111
21,138,1.0
8,139,154233794.207859
17,139,2860262.53506693
21,139,1.0
12,14,182603975.642256
8,140,166405261.391703
17,140,21138415.699753102
21,140,1.0
8,141,136383549.512391
17,141,51160519.6851188
21,141,1.0
8,142,187544438.857903
21,142,1.0
8,143,168094413.113064
17,143,16101844.6860206
20,143,3348528.31152295
21,143,1.0
8,144,148941140.36951798
11,144,23026945.038958803
17,144,5794444.64703291
20,144,9782580.93576157
21,144,1.0
8,145,19911957.227332897
11,145,167633456.305744
21,145,1.0
11,146,161241188.03964698
20,146,1905729.62487896
21,146,1.0
11,147,44635267.2594461
21,147,1.0
12,15,35951568.0605489
12,151,55651775.9776318
7,152,168699228.32071498
12,152,17589534.6224168
14,152,1230587.15544496
3,153,89649205.4505605
7,153,52351284.802876204
14,153,586147.960328065
21,154,1.0
8,155,62431988.5129126
17,155,61194711.9150297
21,155,1.0
8,156,142926726.05366498
17,156,44594616.3375741
21,156,1.0
8,157,175487821.883525
17,157,12033960.2735674
21,157,1.0
8,158,161193219.54726598
