"id","type","target","spf","target2","sepdistance","sepnum","name","targetocc"
"1",0,111056428.06524,1000,0,0,0,"BIORE_102",0
"2",0,213197082.166299,1000,0,0,0,"BIORE_103",0
"3",0,746665780.128168,1000,0,0,0,"BIORE_114",0
"4",0,145211448.600232,1000,0,0,0,"BIORE_116",0
"5",0,501694534.627578,1000,0,0,0,"BIORE_117",0
"6",0,283242187.381411,1000,0,0,0,"BIORE_118",0
"7",0,376396272.768339,1000,0,0,0,"BIORE_119",0
"8",0,1170071012.65741,1000,0,0,0,"BIORE_121",0
"9",0,6062635.47856132,1000,0,0,0,"BIORE_13",0
"10",0,551448418.822755,1000,0,0,0,"BIORE_132",0
"11",0,501908512.966683,1000,0,0,0,"BIORE_142",0
"12",0,352533215.344209,1000,0,0,0,"BIORE_147",0
"13",0,8931772.45103414,1000,0,0,0,"BIORE_15",0
"14",0,6001996.15570199,1000,0,0,0,"BIORE_16",0
"15",0,13102763.3913182,1000,0,0,0,"BIORE_23",0
"16",0,148175890.094612,1000,0,0,0,"BIORE_26",0
"17",0,227195960.353977,1000,0,0,0,"BIORE_27",0
"18",0,3456201.35484875,1000,0,0,0,"BIORE_29",0
"19",0,102797716.068924,1000,0,0,0,"BIORE_3",0
"20",0,23853801.5406614,1000,0,0,0,"BIORE_4",0
