"id","name","spf","target","target2","type"
1,"BIORE_102",1000,111056428.06524,0,0
2,"BIORE_103",1000,213197082.166299,0,0
3,"BIORE_114",1000,746665780.128168,0,0
4,"BIORE_116",1000,145211448.600232,0,0
5,"BIORE_117",1000,501694534.627578,0,0
6,"BIORE_118",1000,283242187.381411,0,0
7,"BIORE_119",1000,376396272.768339,0,0
8,"BIORE_121",1000,1170071012.65741,0,0
9,"BIORE_13",1000,6062635.47856132,0,0
10,"BIORE_132",1000,551448418.822755,0,0
11,"BIORE_142",1000,501908512.966683,0,0
12,"BIORE_147",1000,352533215.344209,0,0
13,"BIORE_15",1000,8931772.45103414,0,0
14,"BIORE_16",1000,6001996.15570199,0,0
15,"BIORE_23",1000,13102763.3913182,0,0
16,"BIORE_26",1000,148175890.094612,0,0
17,"BIORE_27",1000,227195960.353977,0,0
18,"BIORE_29",1000,3456201.35484875,0,0
19,"BIORE_3",1000,102797716.068924,0,0
20,"BIORE_4",1000,23853801.5406614,0,0
21,"google_demo_pu",1000,0.500000000000001,0,0
