"planning_unit","solution"
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,0
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,1
446,1
447,1
448,0
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,1
597,0
598,1
599,0
600,0
601,1
602,1
603,1
604,1
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,0
640,1
641,0
642,0
643,0
644,1
645,1
646,0
647,1
648,0
649,0
650,0
651,0
652,0
