"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,79101926.679010,0,8,0,0,yes,1.000000
19,,205595432.137848,321609047.611440,0,17,0,0,yes,1.000000
18,,6912402.709697,29070686.284932,0,3,0,0,yes,1.000000
17,,454391920.707954,634516909.377868,0,27,0,0,yes,1.000000
16,,296351780.189224,587164481.476214,0,17,0,0,yes,1.000000
15,,26205526.782636,39255124.669209,0,5,0,0,yes,1.000000
14,,12003992.311404,25121710.922943,0,6,0,0,yes,1.000000
13,,17863544.902068,18954073.307448,0,4,0,0,yes,1.000000
12,,705066430.688418,729614468.620880,0,13,0,0,yes,1.000000
11,,1003817025.933365,1120535803.773790,0,13,0,0,yes,1.000000
10,,1102896837.645510,1209981970.467062,0,13,0,0,yes,1.000000
9,,12125270.957123,30694016.906399,0,6,0,0,yes,1.000000
8,,2340142025.314821,3675420077.842185,0,34,0,0,yes,1.000000
7,,752792545.536678,762983498.944294,0,11,0,0,yes,1.000000
6,,566484374.762822,757317484.310045,0,11,0,0,yes,1.000000
5,,1003389069.255157,1003463506.048904,0,11,0,0,yes,1.000000
4,,290422897.200464,531740059.362469,0,11,0,0,yes,1.000000
3,,1493331560.256336,1532331139.150609,0,22,0,0,yes,1.000000
2,,426394164.332597,590165524.739002,0,9,0,0,yes,1.000000
1,,222112856.130479,254574198.438596,0,6,0,0,yes,1.000000
