"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,0.500000,0.500111,0,312,0,0,yes,1.000000
20,,23853801.540661,127860691.943427,0,23,0,0,yes,1.000000
19,,102797716.068924,558817202.509267,0,33,0,0,yes,1.000000
18,,3456201.354849,28577549.725907,0,4,0,0,yes,1.000000
17,,227195960.353977,1230615745.026325,0,46,0,0,yes,1.000000
16,,148175890.094612,902574151.919268,0,28,0,0,yes,1.000000
15,,13102763.391318,68333304.564738,0,13,0,0,yes,1.000000
14,,6001996.155702,21261226.836238,0,8,0,0,yes,1.000000
13,,8931772.451034,9732511.927261,0,6,0,0,yes,1.000000
12,,352533215.344209,1115582328.822407,0,20,0,0,yes,1.000000
11,,501908512.966683,2840379892.967047,0,49,0,0,yes,1.000000
10,,551448418.822755,2904206373.746789,0,30,0,0,yes,1.000000
9,,6062635.478561,13392536.514219,0,8,0,0,yes,1.000000
8,,1170071012.657410,6470577416.181781,0,55,0,0,yes,1.000000
7,,376396272.768339,1343201091.067375,0,16,0,0,yes,1.000000
6,,283242187.381411,1788279442.029093,0,17,0,0,yes,1.000000
5,,501694534.627578,3306338267.627967,0,32,0,0,yes,1.000000
4,,145211448.600232,863827799.442254,0,11,0,0,yes,1.000000
3,,746665780.128168,2787740688.611070,0,34,0,0,yes,1.000000
2,,213197082.166299,656465134.631598,0,10,0,0,yes,1.000000
1,,111056428.065240,273013022.798627,0,9,0,0,yes,1.000000
