"planning_unit","solution"
0,0
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,0
526,0
527,0
528,1
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,0
538,0
539,1
540,1
541,0
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,0
604,1
605,1
606,0
607,0
608,0
609,1
610,1
611,0
612,0
613,1
614,0
615,1
616,1
617,1
618,1
619,0
620,0
621,1
622,0
623,1
624,1
625,1
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,0
