"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,1
644,0
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,2
632,0
631,0
630,0
629,0
628,0
627,16
626,14
625,23
624,30
623,26
622,31
621,0
620,0
619,0
618,0
617,0
616,18
615,11
614,13
613,21
612,19
611,26
610,37
609,27
608,0
607,1
606,0
605,0
604,20
603,13
602,18
601,21
600,11
599,17
598,31
597,28
596,9
595,0
594,4
593,0
592,0
591,17
590,18
589,23
588,22
587,15
586,27
585,36
584,23
583,23
582,0
581,1
580,0
579,0
578,16
577,16
576,19
575,23
574,14
573,24
572,22
571,27
570,18
569,14
568,0
567,2
566,0
565,0
564,19
563,16
562,19
561,23
560,28
559,35
558,37
557,20
556,24
555,24
554,0
553,2
552,0
551,0
550,13
549,21
548,21
547,25
546,32
545,30
544,23
543,23
542,13
541,14
540,18
539,3
538,24
537,0
536,0
535,21
534,26
533,29
532,33
531,40
530,57
529,63
528,39
527,48
526,35
525,38
524,2
523,10
522,0
521,1
520,34
519,33
518,22
517,34
516,33
515,29
514,75
513,16
512,32
511,60
510,14
509,0
508,8
507,0
506,0
505,0
504,32
503,39
502,34
501,26
500,40
499,64
498,20
497,0
496,0
495,2
494,0
493,0
492,0
491,0
490,0
489,0
488,25
487,27
486,28
485,44
484,44
483,2
482,12
481,13
480,0
479,0
478,0
477,0
476,0
475,0
474,32
473,21
472,24
471,34
470,0
469,42
468,11
467,0
466,0
465,0
464,0
463,29
462,29
461,42
460,1
459,2
458,32
457,0
456,0
455,23
454,35
453,28
452,9
451,6
450,15
449,0
448,0
447,27
446,33
445,7
444,3
443,0
442,0
441,24
440,27
439,5
438,22
437,0
436,0
435,27
434,26
433,24
432,19
431,15
430,0
429,0
428,17
427,31
426,26
425,3
424,15
423,0
422,0
421,19
420,22
419,24
418,35
417,20
416,2
415,0
414,0
413,16
412,25
411,15
410,24
409,8
408,15
407,0
406,0
405,19
404,20
403,25
402,30
401,1
400,34
399,0
398,0
397,23
396,23
395,31
394,30
393,19
392,2
391,0
390,0
389,20
388,19
387,39
386,25
385,9
384,9
383,0
382,0
381,20
380,22
379,29
378,28
377,2
376,16
375,0
374,0
373,10
372,15
371,27
370,33
369,0
368,14
367,0
366,0
365,16
364,24
363,22
362,27
361,37
360,11
359,3
358,0
357,0
356,13
355,16
354,24
353,31
352,22
351,7
350,34
349,0
348,0
347,0
346,0
345,22
344,30
343,25
342,16
341,63
340,17
339,38
338,0
337,0
336,13
335,29
334,38
333,24
332,4
331,11
330,24
329,0
328,0
327,16
326,39
325,27
324,40
323,14
322,27
321,3
320,0
319,0
318,16
317,31
316,27
315,62
314,16
313,10
312,0
311,0
310,0
309,24
308,20
307,24
306,64
305,21
304,4
303,0
302,0
301,18
300,24
299,23
298,33
297,14
296,8
295,0
294,0
293,0
292,26
291,23
290,37
289,14
288,13
287,0
286,0
285,0
284,21
283,33
282,28
281,10
280,13
279,0
278,0
277,25
276,32
275,28
274,14
273,18
272,0
271,0
270,0
269,0
268,25
267,40
266,25
265,64
264,15
263,1
262,0
261,0
260,0
259,0
258,13
257,27
256,26
255,45
254,14
253,3
252,0
251,0
250,0
249,17
248,29
247,37
246,23
245,23
244,7
243,55
242,0
241,0
240,0
239,0
238,15
237,10
236,31
235,21
234,25
233,28
232,10
231,14
230,0
229,0
228,0
227,0
226,20
225,11
224,14
223,26
222,27
221,26
220,22
219,2
218,30
217,0
216,0
215,0
214,0
213,16
212,16
211,14
210,24
209,33
208,20
207,30
206,24
205,32
204,18
203,18
202,0
201,0
200,0
199,0
198,0
197,16
196,17
195,15
194,24
193,26
192,25
191,22
190,14
189,12
188,14
187,21
186,4
185,0
184,0
183,0
182,0
181,0
180,14
179,17
178,25
177,29
176,26
175,20
174,25
173,28
172,19
171,10
170,18
169,23
168,7
167,0
166,0
165,0
164,22
163,22
162,31
161,29
160,23
159,24
158,21
157,22
156,23
155,22
154,12
153,5
152,25
151,2
150,0
149,0
148,0
147,19
146,28
145,22
144,25
143,30
142,20
141,21
140,20
139,19
138,22
137,17
136,8
135,15
134,0
133,0
132,0
131,20
130,26
129,21
128,18
127,21
126,28
125,17
124,31
123,17
122,19
121,18
120,59
119,16
118,0
117,0
116,0
115,1
114,27
113,24
112,31
111,23
110,20
109,17
108,16
107,20
106,16
105,21
104,76
103,25
102,21
101,0
100,1
99,21
98,26
97,26
96,25
95,16
94,21
93,11
92,13
91,19
90,20
89,25
88,14
87,17
86,1
85,0
84,0
83,29
82,21
81,18
80,15
79,22
78,16
77,24
76,15
75,22
74,31
73,8
72,21
71,33
70,0
69,0
68,0
67,16
66,22
65,18
64,14
63,17
62,20
61,24
60,37
59,15
58,40
57,26
56,17
55,0
54,0
53,0
52,29
51,14
50,18
49,21
48,17
47,35
46,5
45,20
44,12
43,37
42,0
41,0
40,0
39,0
38,27
37,21
36,16
35,19
34,15
33,26
32,25
31,9
30,0
29,0
28,0
27,0
26,20
25,17
24,18
23,34
22,1
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,55
13,1
12,0
11,0
10,0
9,0
8,0
7,39
6,3
5,0
4,0
3,12
2,50
1,0
0,6
