"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,47707603.081323,89489682.637515,0,12,0,0,yes,1.000000
19,,205595432.137848,214526098.530213,0,9,0,0,yes,1.000000
18,,6912402.709697,15185179.406914,0,1,0,0,yes,1.000000
17,,454391920.707954,510352547.312304,0,19,0,0,yes,1.000000
16,,296351780.189224,430051690.573075,0,13,0,0,yes,1.000000
15,,26205526.782636,52705170.133926,0,7,0,0,yes,1.000000
14,,12003992.311404,20228619.136058,0,5,0,0,yes,1.000000
13,,17863544.902068,26033068.079544,0,5,0,0,yes,1.000000
12,,705066430.688418,710197075.138939,0,12,0,0,yes,1.000000
11,,1003817025.933365,1005580224.751032,0,10,0,0,yes,1.000000
10,,1102896837.645510,1129751553.228702,0,11,0,0,yes,1.000000
9,,12125270.957123,23512204.711824,0,5,0,0,yes,1.000000
8,,2340142025.314821,2368151349.190661,0,23,0,0,yes,1.000000
7,,752792545.536678,782960639.269043,0,9,0,0,yes,1.000000
6,,566484374.762822,572703229.949444,0,9,0,0,yes,1.000000
5,,1003389069.255157,1038577121.956545,0,8,0,0,yes,1.000000
4,,290422897.200464,389565798.907395,0,9,0,0,yes,1.000000
3,,1493331560.256336,1516736702.175522,0,16,0,0,yes,1.000000
2,,426394164.332597,473041022.839995,0,5,0,0,yes,1.000000
1,,222112856.130479,222842863.374591,0,6,0,0,yes,1.000000
