"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,24
644,17
643,1
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,3
633,27
632,1
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,3
622,25
621,10
620,0
619,2
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,1
610,21
609,25
608,0
607,1
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,4
598,36
597,11
596,0
595,0
594,13
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,10
585,23
584,19
583,0
582,0
581,0
580,0
579,0
578,0
577,0
576,0
575,2
574,0
573,11
572,28
571,5
570,0
569,0
568,0
567,22
566,0
565,0
564,0
563,0
562,0
561,4
560,27
559,24
558,24
557,2
556,0
555,0
554,0
553,22
552,0
551,0
550,0
549,0
548,2
547,11
546,30
545,9
544,3
543,0
542,0
541,0
540,0
539,20
538,18
537,0
536,5
535,9
534,18
533,22
532,27
531,47
530,48
529,47
528,14
527,40
526,1
525,9
524,25
523,24
522,0
521,17
520,26
519,30
518,31
517,27
516,16
515,25
514,22
513,14
512,48
511,10
510,0
509,0
508,11
507,1
506,1
505,27
504,24
503,48
502,21
501,13
500,10
499,35
498,43
497,0
496,0
495,1
494,0
493,0
492,0
491,0
490,0
489,3
488,32
487,25
486,24
485,14
484,35
483,23
482,29
481,14
480,0
479,0
478,0
477,0
476,0
475,0
474,21
473,18
472,8
471,13
470,10
469,45
468,7
467,0
466,0
465,0
464,0
463,12
462,19
461,33
460,23
459,15
458,41
457,0
456,0
455,8
454,25
453,11
452,21
451,17
450,15
449,0
448,0
447,19
446,15
445,13
444,3
443,0
442,0
441,4
440,20
439,21
438,17
437,0
436,0
435,0
434,25
433,15
432,24
431,13
430,0
429,0
428,0
427,19
426,16
425,20
424,11
423,0
422,0
421,0
420,10
419,20
418,20
417,33
416,1
415,0
414,0
413,0
412,1
411,21
410,24
409,26
408,18
407,0
406,0
405,0
404,0
403,12
402,17
401,27
400,36
399,0
398,0
397,0
396,2
395,24
394,22
393,30
392,1
391,0
390,0
389,0
388,0
387,27
386,18
385,24
384,10
383,0
382,0
381,0
380,0
379,42
378,18
377,25
376,13
375,0
374,0
373,0
372,0
371,26
370,28
369,16
368,18
367,0
366,0
365,0
364,0
363,1
362,23
361,17
360,24
359,0
358,0
357,0
356,0
355,0
354,8
353,42
352,21
351,24
350,36
349,0
348,0
347,0
346,0
345,0
344,8
343,23
342,22
341,19
340,15
339,31
338,0
337,0
336,0
335,17
334,18
333,17
332,15
331,20
330,19
329,0
328,0
327,0
326,24
325,30
324,27
323,16
322,23
321,1
320,0
319,0
318,1
317,41
316,20
315,19
314,13
313,15
312,0
311,0
310,0
309,5
308,25
307,26
306,19
305,25
304,6
303,0
302,0
301,1
300,22
299,21
298,30
297,15
296,4
295,0
294,0
293,0
292,9
291,17
290,11
289,14
288,10
287,0
286,0
285,0
284,3
283,27
282,17
281,14
280,20
279,0
278,0
277,2
276,17
275,33
274,21
273,15
272,0
271,0
270,0
269,0
268,0
267,39
266,32
265,19
264,25
263,0
262,0
261,0
260,0
259,0
258,0
257,31
256,20
255,20
254,27
253,1
252,0
251,0
250,0
249,0
248,0
247,48
246,27
245,29
244,15
243,63
242,0
241,0
240,0
239,0
238,0
237,0
236,35
235,23
234,21
233,0
232,13
231,5
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,25
222,18
221,29
220,0
219,6
218,30
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,14
209,22
208,17
207,28
206,5
205,0
204,25
203,12
202,0
201,0
200,0
199,0
198,0
197,0
196,0
195,0
194,24
193,34
192,30
191,25
190,2
189,0
188,22
187,23
186,5
185,0
184,0
183,0
182,0
181,0
180,0
179,0
178,3
177,12
176,35
175,17
174,33
173,31
172,7
171,0
170,10
169,28
168,12
167,0
166,0
165,0
164,0
163,2
162,33
161,38
160,24
159,18
158,22
157,20
156,28
155,15
154,0
153,14
152,26
151,3
150,0
149,0
148,0
147,1
146,29
145,35
144,30
143,20
142,19
141,30
140,19
139,12
138,0
137,0
136,6
135,17
134,0
133,0
132,1
131,19
130,23
129,22
128,14
127,16
126,21
125,18
124,21
123,1
122,0
121,0
120,46
119,22
118,0
117,0
116,10
115,17
114,20
113,14
112,21
111,18
110,14
109,12
108,1
107,0
106,0
105,0
104,58
103,29
102,23
101,27
100,17
99,20
98,20
97,20
96,2
95,0
94,0
93,0
92,0
91,0
90,0
89,1
88,9
87,22
86,1
85,0
84,17
83,13
82,18
81,18
80,4
79,0
78,0
77,0
76,0
75,0
74,0
73,6
72,21
71,22
70,2
69,23
68,27
67,16
66,9
65,0
64,0
63,0
62,0
61,0
60,5
59,14
58,43
57,27
56,13
55,0
54,0
53,4
52,6
51,0
50,0
49,0
48,0
47,1
46,10
45,22
44,13
43,38
42,3
41,0
40,0
39,0
38,7
37,0
36,0
35,0
34,5
33,45
32,24
31,10
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,29
22,1
21,0
20,1
19,0
18,0
17,0
16,0
15,0
14,42
13,0
12,0
11,0
10,0
9,0
8,4
7,35
6,3
5,0
4,0
3,11
2,53
1,1
0,11
