"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,109.000000,67.000000,67,210.000000,1800.000000,85.000000,210.000000,1505.000000,0.047222,0.000000,0.000000,0,1.000000
2,113.200000,66.000000,66,236.000000,1800.000000,73.000000,236.000000,1491.000000,0.040556,0.000000,0.000000,0,1.000000
3,117.000000,70.000000,70,235.000000,1800.000000,78.000000,235.000000,1487.000000,0.043333,0.000000,0.000000,0,1.000000
4,111.200000,68.000000,68,216.000000,1800.000000,86.000000,216.000000,1498.000000,0.047778,0.000000,0.000000,0,1.000000
5,110.400000,66.000000,66,222.000000,1800.000000,76.000000,222.000000,1502.000000,0.042222,0.000000,0.000000,0,1.000000
6,112.200000,67.000000,67,226.000000,1800.000000,82.000000,226.000000,1492.000000,0.045556,0.000000,0.000000,0,1.000000
7,113.000000,67.000000,67,230.000000,1800.000000,78.000000,230.000000,1492.000000,0.043333,0.000000,0.000000,0,1.000000
8,112.000000,67.000000,67,225.000000,1800.000000,80.000000,225.000000,1495.000000,0.044444,0.000000,0.000000,0,1.000000
9,109.400000,69.000000,69,202.000000,1800.000000,92.000000,202.000000,1506.000000,0.051111,0.000000,0.000000,0,1.000000
10,104.400000,65.000000,65,197.000000,1800.000000,91.000000,197.000000,1512.000000,0.050556,0.000000,0.000000,0,1.000000
11,111.400000,68.000000,68,217.000000,1800.000000,86.000000,217.000000,1497.000000,0.047778,0.000000,0.000000,0,1.000000
12,116.400000,67.000000,67,247.000000,1800.000000,67.000000,247.000000,1486.000000,0.037222,0.000000,0.000000,0,1.000000
13,109.400000,68.000000,68,207.000000,1800.000000,86.000000,207.000000,1507.000000,0.047778,0.000000,0.000000,0,1.000000
14,109.600000,66.000000,66,218.000000,1800.000000,81.000000,218.000000,1501.000000,0.045000,0.000000,0.000000,0,1.000000
15,106.600000,68.000000,68,193.000000,1800.000000,97.000000,193.000000,1510.000000,0.053889,0.000000,0.000000,0,1.000000
16,116.600000,67.000000,67,248.000000,1800.000000,67.000000,248.000000,1485.000000,0.037222,0.000000,0.000000,0,1.000000
17,109.600000,67.000000,67,213.000000,1800.000000,84.000000,213.000000,1503.000000,0.046667,0.000000,0.000000,0,1.000000
18,115.000000,72.000000,72,215.000000,1800.000000,90.000000,215.000000,1495.000000,0.050000,0.000000,0.000000,0,1.000000
19,108.800000,67.000000,67,209.000000,1800.000000,86.000000,209.000000,1505.000000,0.047778,0.000000,0.000000,0,1.000000
20,109.200000,69.000000,69,201.000000,1800.000000,98.000000,201.000000,1501.000000,0.054444,0.000000,0.000000,0,1.000000
21,107.600000,67.000000,67,203.000000,1800.000000,89.000000,203.000000,1508.000000,0.049444,0.000000,0.000000,0,1.000000
22,112.000000,67.000000,67,225.000000,1800.000000,82.000000,225.000000,1493.000000,0.045556,0.000000,0.000000,0,1.000000
23,109.400000,67.000000,67,212.000000,1800.000000,87.000000,212.000000,1501.000000,0.048333,0.000000,0.000000,0,1.000000
24,106.400000,67.000000,67,197.000000,1800.000000,93.000000,197.000000,1510.000000,0.051667,0.000000,0.000000,0,1.000000
25,110.600000,69.000000,69,208.000000,1800.000000,94.000000,208.000000,1498.000000,0.052222,0.000000,0.000000,0,1.000000
26,109.400000,68.000000,68,207.000000,1800.000000,87.000000,207.000000,1506.000000,0.048333,0.000000,0.000000,0,1.000000
27,114.600000,67.000000,67,238.000000,1800.000000,70.000000,238.000000,1492.000000,0.038889,0.000000,0.000000,0,1.000000
28,110.400000,68.000000,68,212.000000,1800.000000,87.000000,212.000000,1501.000000,0.048333,0.000000,0.000000,0,1.000000
29,107.800000,65.000000,65,214.000000,1800.000000,81.000000,214.000000,1505.000000,0.045000,0.000000,0.000000,0,1.000000
30,111.600000,66.000000,66,228.000000,1800.000000,72.000000,228.000000,1500.000000,0.040000,0.000000,0.000000,0,1.000000
31,116.000000,67.000000,67,245.000000,1800.000000,71.000000,245.000000,1484.000000,0.039444,0.000000,0.000000,0,1.000000
32,110.800000,67.000000,67,219.000000,1800.000000,79.000000,219.000000,1502.000000,0.043889,0.000000,0.000000,0,1.000000
33,109.200000,66.000000,66,216.000000,1800.000000,83.000000,216.000000,1501.000000,0.046111,0.000000,0.000000,0,1.000000
34,112.141548,66.000000,66,230.000000,1800.000000,72.000000,230.000000,1498.000000,0.040000,0.141548,11581.915646,1,0.999995
35,111.600000,68.000000,68,218.000000,1800.000000,86.000000,218.000000,1496.000000,0.047778,0.000000,0.000000,0,1.000000
36,115.000000,67.000000,67,240.000000,1800.000000,68.000000,240.000000,1492.000000,0.037778,0.000000,0.000000,0,1.000000
37,109.000000,67.000000,67,210.000000,1800.000000,87.000000,210.000000,1503.000000,0.048333,0.000000,0.000000,0,1.000000
38,109.400000,67.000000,67,212.000000,1800.000000,85.000000,212.000000,1503.000000,0.047222,0.000000,0.000000,0,1.000000
39,110.200000,66.000000,66,221.000000,1800.000000,78.000000,221.000000,1501.000000,0.043333,0.000000,0.000000,0,1.000000
40,113.400000,69.000000,69,222.000000,1800.000000,83.000000,222.000000,1495.000000,0.046111,0.000000,0.000000,0,1.000000
41,115.400000,69.000000,69,232.000000,1800.000000,82.000000,232.000000,1486.000000,0.045556,0.000000,0.000000,0,1.000000
42,112.800000,66.000000,66,234.000000,1800.000000,71.000000,234.000000,1495.000000,0.039444,0.000000,0.000000,0,1.000000
43,116.000000,67.000000,67,245.000000,1800.000000,70.000000,245.000000,1485.000000,0.038889,0.000000,0.000000,0,1.000000
44,114.400000,67.000000,67,237.000000,1800.000000,76.000000,237.000000,1487.000000,0.042222,0.000000,0.000000,0,1.000000
45,113.000000,66.000000,66,235.000000,1800.000000,73.000000,235.000000,1492.000000,0.040556,0.000000,0.000000,0,1.000000
46,109.000000,67.000000,67,210.000000,1800.000000,86.000000,210.000000,1504.000000,0.047778,0.000000,0.000000,0,1.000000
47,112.000000,66.000000,66,230.000000,1800.000000,74.000000,230.000000,1496.000000,0.041111,0.000000,0.000000,0,1.000000
48,115.400000,67.000000,67,242.000000,1800.000000,69.000000,242.000000,1489.000000,0.038333,0.000000,0.000000,0,1.000000
49,111.600000,66.000000,66,228.000000,1800.000000,73.000000,228.000000,1499.000000,0.040556,0.000000,0.000000,0,1.000000
50,110.800000,68.000000,68,214.000000,1800.000000,85.000000,214.000000,1501.000000,0.047222,0.000000,0.000000,0,1.000000
51,111.200000,67.000000,67,221.000000,1800.000000,81.000000,221.000000,1498.000000,0.045000,0.000000,0.000000,0,1.000000
52,106.400000,66.000000,66,202.000000,1800.000000,89.000000,202.000000,1509.000000,0.049444,0.000000,0.000000,0,1.000000
53,113.727675,68.000000,68,228.000000,1800.000000,78.000000,228.000000,1494.000000,0.043333,0.127675,8899.325369,1,0.999988
54,117.200000,68.000000,68,246.000000,1800.000000,73.000000,246.000000,1481.000000,0.040556,0.000000,0.000000,0,1.000000
55,108.800000,65.000000,65,219.000000,1800.000000,77.000000,219.000000,1504.000000,0.042778,0.000000,0.000000,0,1.000000
56,108.800000,68.000000,68,204.000000,1800.000000,89.000000,204.000000,1507.000000,0.049444,0.000000,0.000000,0,1.000000
57,111.800000,67.000000,67,224.000000,1800.000000,79.000000,224.000000,1497.000000,0.043889,0.000000,0.000000,0,1.000000
58,115.200000,70.000000,70,226.000000,1800.000000,80.000000,226.000000,1494.000000,0.044444,0.000000,0.000000,0,1.000000
59,112.400000,67.000000,67,227.000000,1800.000000,76.000000,227.000000,1497.000000,0.042222,0.000000,0.000000,0,1.000000
60,109.000000,66.000000,66,215.000000,1800.000000,83.000000,215.000000,1502.000000,0.046111,0.000000,0.000000,0,1.000000
61,110.000000,68.000000,68,210.000000,1800.000000,89.000000,210.000000,1501.000000,0.049444,0.000000,0.000000,0,1.000000
62,114.400000,66.000000,66,242.000000,1800.000000,70.000000,242.000000,1488.000000,0.038889,0.000000,0.000000,0,1.000000
