"species","pu","amount"
1,1,133320000
1,2,320000
1,3,9320000
1,8,8780000
1,9,4660000
1,10,12590000
1,11,5e+05
1,12,650000
1,13,3380000
1,14,42870000
1,15,7190000
1,18,12350000
1,23,2040000
1,27,55370000
1,32,21580000
1,33,3670000
1,35,11740000
1,37,22020000
1,45,19850000
1,52,13480000
1,60,10290000
1,62,6820000
1,65,1e+06
1,66,101070000
1,87,1240000
1,89,2060000
1,90,19110000
1,93,2370000
1,94,15040000
1,103,750000
1,105,24030000
1,110,3950000
1,113,10880000
1,115,2750000
1,118,460000
1,119,9900000
1,121,280000
1,123,940000
1,125,10510000
1,130,10860000
1,138,380000
1,139,540000
1,142,11350000
1,148,2280000
1,151,7040000
1,158,1950000
1,161,15780000
1,163,3110000
1,164,5820000
1,165,260000
1,166,24270000
1,170,11090000
1,172,22910000
1,174,190000
1,178,27330000
1,182,25390000
1,321,11700000
2,185,9420000
2,190,4610000
2,204,780000
2,207,2150000
2,209,4e+06
2,212,1360000
2,213,2130000
2,215,3830000
2,221,8490000
2,231,12720000
2,232,120000
2,237,23430000
2,239,6890000
2,249,1.6e+07
2,255,10550000
2,259,1650000
2,260,8390000
2,268,3130000
2,271,13250000
2,275,5750000
2,278,1720000
2,280,5330000
2,283,2720000
2,290,610000
2,318,5580000
2,319,19470000
3,1,60000
3,4,970000
3,5,3870000
3,6,5290000
3,7,6940000
4,24,1e+06
4,42,510000
4,43,680000
4,44,560000
4,48,640000
4,61,3280000
4,70,250000
4,79,130000
4,80,110000
4,88,70000
4,99,3e+05
4,104,1650000
4,107,370000
4,133,60000
4,135,670000
4,140,1110000
4,143,370000
4,169,90000
4,189,1360000
4,193,830000
4,194,30000
4,197,3e+05
4,198,210000
5,205,940000
5,206,980000
5,242,470000
5,244,2e+05
5,247,4510000
5,256,370000
5,258,730000
5,262,450000
5,263,330000
5,264,780000
5,265,450000
5,266,480000
5,270,3500000
5,301,510000
5,309,3e+05
5,312,260000
5,313,220000
5,317,1780000
6,16,780000
6,17,3950000
6,19,16410000
6,22,160000
6,26,14170000
6,34,6100000
6,36,1310000
6,41,590000
6,46,1040000
6,47,3910000
6,49,9e+05
6,51,1610000
6,53,1060000
6,54,70000
6,55,80000
6,56,370000
6,57,570000
6,58,70000
6,59,320000
6,63,1110000
6,71,40000
6,72,1e+05
6,74,420000
6,76,9950000
6,78,3080000
6,82,180000
6,92,1350000
6,100,760000
6,102,1770000
6,122,11180000
6,129,8700000
6,154,380000
6,155,20000
6,156,20000
6,157,20000
6,159,4590000
6,160,3120000
6,188,2550000
6,222,3430000
6,225,530000
6,227,690000
6,269,1500000
6,273,730000
7,1,4020000
7,6,50860000
7,7,12800000
7,8,3620000
7,11,130380000
7,17,3790000
7,20,10250000
7,21,4620000
7,25,5620000
7,28,7300000
7,29,1.5e+07
7,30,1910000
7,31,39700000
7,33,148310000
7,38,810000
7,39,10880000
7,40,11100000
7,50,1160000
7,64,490000
7,66,370000
7,67,8560000
7,68,11960000
7,69,680000
7,73,190000
7,75,720000
7,77,4570000
7,81,5410000
7,83,1180000
7,84,1190000
7,85,4960000
7,86,10640000
7,91,290000
7,95,7990000
7,96,2100000
7,97,2030000
7,98,3290000
7,101,28130000
7,103,430000
7,106,13320000
7,108,2110000
7,109,12240000
7,111,2690000
7,112,2220000
7,114,62780000
7,116,290000
7,117,1330000
7,120,38430000
7,124,30710000
7,126,4310000
7,127,260000
7,128,5490000
7,131,2160000
7,132,2090000
7,134,12060000
7,136,7890000
7,137,55160000
7,141,580000
7,144,5960000
7,145,840000
7,146,28230000
7,147,6840000
7,149,57530000
7,150,260000
7,152,13360000
7,153,6e+05
7,162,13580000
7,167,16010000
7,168,9010000
7,171,13030000
7,173,1e+05
7,175,1110000
7,176,4170000
7,177,70000
7,178,3030000
7,179,1660000
7,180,130000
7,181,43910000
7,183,50000
7,184,5560000
7,185,202320000
7,186,4220000
7,187,122740000
7,314,2440000
7,315,45040000
8,191,1830000
8,192,10270000
8,195,780000
8,196,31430000
8,199,1070000
8,200,14060000
8,201,6690000
8,202,100080000
8,203,11620000
8,208,19140000
8,210,8050000
8,211,34350000
8,214,29360000
8,216,570000
8,217,89880000
8,218,16360000
8,219,17380000
8,220,2650000
8,223,8800000
8,224,3770000
8,226,23190000
8,228,35190000
8,229,21170000
8,230,67130000
8,233,210000
8,234,250000
8,235,8920000
8,236,15500000
8,237,15480000
8,238,14550000
8,240,37280000
8,241,43430000
8,243,15470000
8,245,13920000
8,246,2060000
8,248,3970000
8,249,17270000
8,250,8070000
8,251,19350000
8,252,16850000
8,253,11620000
8,254,53510000
8,255,360000
8,257,4060000
8,259,3770000
8,261,135600000
8,267,14950000
8,272,135240000
8,274,6720000
8,276,115360000
8,277,27460000
8,279,61210000
8,281,18060000
8,282,4520000
8,284,8540000
8,285,3410000
8,286,4450000
8,287,19730000
8,288,34490000
8,289,4390000
8,291,3260000
8,292,4310000
8,294,9360000
8,296,21720000
8,297,16680000
8,298,930000
8,302,5470000
8,303,5030000
8,316,3550000
8,319,15060000
8,320,18410000
9,293,1e+06
9,295,1590000
9,299,2360000
9,300,1850000
9,304,6170000
9,305,130000
9,306,810000
9,307,220000
9,308,90000
9,310,240000
9,311,810000
10,143,10000
11,5,10000
12,140,10000
12,299,20000
12,304,10000
13,9,10000
13,13,10000
13,52,20000
13,66,20000
13,321,10000
14,78,10000
14,81,10000
14,106,10000
14,114,20000
14,137,10000
14,149,10000
14,153,10000
14,168,10000
14,185,30000
14,191,10000
14,192,10000
14,196,10000
14,201,10000
14,202,10000
15,11,30000
15,19,10000
15,20,10000
15,22,10000
15,25,10000
15,29,20000
15,38,10000
15,51,10000
16,317,10000
17,226,10000
17,231,10000
17,238,10000
17,255,10000
17,261,10000
17,267,10000
17,272,10000
17,279,10000
17,281,10000
17,285,10000
17,291,20000
17,294,10000
17,297,10000
17,319,10000
18,1,30000
19,90,10000
19,110,10000
19,119,10000
19,121,10000
19,125,10000
