"planning_unit","number"
321,6
320,8
319,12
318,6
317,20
316,10
315,6
314,2
313,3
312,3
311,5
310,6
309,0
308,0
307,14
306,19
305,12
304,8
303,0
302,0
301,0
300,4
299,8
298,0
297,4
296,0
295,0
294,2
293,3
292,0
291,10
290,9
289,0
288,9
287,4
286,0
285,9
284,7
283,1
282,2
281,6
280,2
279,3
278,0
277,2
276,12
275,0
274,1
273,2
272,7
271,1
270,0
269,2
268,1
267,7
266,8
265,1
264,8
263,4
262,1
261,3
260,9
259,7
258,5
257,1
256,6
255,0
254,3
253,2
252,2
251,4
250,2
249,2
248,19
247,8
246,18
245,0
244,5
243,1
242,8
241,1
240,5
239,0
238,1
237,6
236,1
235,10
234,18
233,10
232,6
231,5
230,1
229,1
228,2
227,7
226,2
225,7
224,1
223,0
222,0
221,0
220,4
219,1
218,0
217,4
216,7
215,0
214,8
213,1
212,3
211,5
210,0
209,5
208,1
207,6
206,5
205,3
204,3
203,8
202,3
201,10
200,7
199,11
198,13
197,2
196,5
195,0
194,1
193,5
192,3
191,7
190,3
189,0
188,0
187,7
186,7
185,17
184,1
183,0
182,1
181,0
180,12
179,15
178,0
177,16
176,1
175,9
174,8
173,4
172,0
171,1
170,5
169,0
168,0
167,0
166,1
165,4
164,2
163,5
162,1
161,3
160,1
159,1
158,3
157,13
156,12
155,12
154,9
153,0
152,0
151,4
150,2
149,1
148,0
147,3
146,0
145,0
144,3
143,20
142,1
141,3
140,9
139,15
138,13
137,1
136,3
135,9
134,5
133,0
132,3
131,2
130,0
129,2
128,5
127,1
126,2
125,2
124,0
123,15
122,0
121,16
120,1
119,8
118,1
117,13
116,8
115,5
114,1
113,1
112,2
111,3
110,4
109,3
108,2
107,2
106,0
105,1
104,8
103,2
102,1
101,1
100,6
99,1
98,4
97,7
96,0
95,2
94,1
93,2
92,2
91,0
90,4
89,12
88,0
87,9
86,1
85,3
84,6
83,2
82,0
81,7
80,1
79,3
78,9
77,9
76,9
75,10
74,0
73,1
72,12
71,12
70,1
69,2
68,0
67,1
66,5
65,7
64,1
63,0
62,12
61,4
60,1
59,3
58,13
57,7
56,9
55,7
54,16
53,3
52,10
51,12
50,1
49,3
48,7
47,8
46,7
45,1
44,8
43,2
42,3
41,0
40,5
39,6
38,5
37,2
36,0
35,0
34,1
33,0
32,4
31,2
30,1
29,3
28,4
27,4
26,7
25,0
24,4
23,1
22,9
21,0
20,3
19,16
18,1
17,5
16,6
15,0
14,0
13,3
12,5
11,11
10,7
9,6
8,0
7,1
6,5
5,20
4,0
3,4
2,2
1,20
