"planning_unit","number"
321,13
320,3
319,5
318,1
317,4
316,0
315,8
314,0
313,0
312,0
311,2
310,0
309,0
308,0
307,0
306,0
305,0
304,7
303,3
302,0
301,0
300,0
299,5
298,0
297,2
296,1
295,3
294,0
293,5
292,0
291,0
290,0
289,0
288,0
287,1
286,0
285,1
284,0
283,3
282,0
281,1
280,0
279,1
278,0
277,0
276,4
275,1
274,0
273,0
272,5
271,1
270,8
269,1
268,1
267,1
266,0
265,0
264,0
263,0
262,0
261,9
260,2
259,0
258,0
257,0
256,0
255,3
254,2
253,0
252,1
251,2
250,0
249,1
248,0
247,9
246,0
245,1
244,0
243,1
242,0
241,2
240,1
239,0
238,0
237,0
236,1
235,0
234,0
233,0
232,0
231,4
230,3
229,0
228,3
227,3
226,1
225,0
224,1
223,0
222,2
221,4
220,0
219,0
218,0
217,5
216,0
215,0
214,0
213,0
212,0
211,0
210,0
209,0
208,2
207,0
206,0
205,2
204,0
203,0
202,1
201,0
200,0
199,0
198,1
197,0
196,0
195,0
194,0
193,1
192,0
191,0
190,0
189,3
188,3
187,13
186,0
185,2
184,0
183,0
182,0
181,7
180,0
179,0
178,0
177,0
176,0
175,0
174,0
173,0
172,1
171,1
170,0
169,0
168,1
167,0
166,0
165,0
164,2
163,0
162,1
161,1
160,1
159,1
158,0
157,0
156,0
155,0
154,0
153,0
152,3
151,0
150,0
149,7
148,0
147,0
146,3
145,0
144,1
143,1
142,0
141,1
140,2
139,0
138,0
137,6
136,0
135,2
134,3
133,0
132,0
131,0
130,0
129,1
128,1
127,0
126,0
125,0
124,7
123,0
122,5
121,0
120,6
119,1
118,0
117,0
116,0
115,0
114,12
113,0
112,0
111,0
110,0
109,1
108,0
107,0
106,1
105,0
104,1
103,0
102,0
101,2
100,0
99,0
98,0
97,2
96,0
95,1
94,0
93,0
92,6
91,0
90,0
89,0
88,0
87,0
86,0
85,1
84,0
83,0
82,0
81,1
80,0
79,1
78,2
77,0
76,5
75,0
74,0
73,0
72,0
71,0
70,1
69,1
68,1
67,0
66,4
65,0
64,0
63,1
62,0
61,7
60,0
59,0
58,1
57,0
56,0
55,0
54,0
53,0
52,0
51,0
50,0
49,1
48,0
47,1
46,1
45,1
44,0
43,0
42,1
41,0
40,0
39,3
38,1
37,0
36,1
35,0
34,2
33,0
32,1
31,2
30,0
29,3
28,1
27,2
26,3
25,2
24,3
23,0
22,0
21,2
20,0
19,5
18,0
17,0
16,0
15,0
14,1
13,0
12,0
11,0
10,0
9,0
8,0
7,13
6,4
5,0
4,0
3,0
2,0
1,16
