"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
2,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
3,14.000000,14.000000,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
4,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
5,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
6,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
7,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
8,21.000000,21.000000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
9,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
10,14.000000,14.000000,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
11,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
12,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
13,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
14,26.000000,26.000000,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
15,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
16,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
17,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
18,22.000000,22.000000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
19,24.000000,24.000000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
20,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
