"planning_unit","number"
321,4
320,3
319,10
318,1
317,4
316,0
315,5
314,0
313,0
312,1
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,7
303,0
302,0
301,0
300,0
299,9
298,0
297,0
296,0
295,3
294,0
293,1
292,0
291,0
290,0
289,1
288,1
287,0
286,0
285,0
284,1
283,1
282,0
281,0
280,3
279,4
278,1
277,8
276,9
275,3
274,1
273,2
272,2
271,2
270,8
269,0
268,0
267,0
266,0
265,0
264,1
263,0
262,0
261,5
260,1
259,0
258,0
257,0
256,0
255,1
254,1
253,0
252,1
251,1
250,1
249,0
248,0
247,8
246,0
245,0
244,0
243,2
242,0
241,1
240,2
239,0
238,0
237,0
236,1
235,0
234,0
233,0
232,0
231,0
230,0
229,0
228,1
227,2
226,0
225,0
224,0
223,0
222,3
221,0
220,0
219,0
218,0
217,5
216,0
215,0
214,3
213,1
212,0
211,0
210,0
209,2
208,0
207,1
206,0
205,1
204,1
203,1
202,5
201,0
200,2
199,0
198,2
197,1
196,0
195,0
194,0
193,1
192,2
191,0
190,2
189,0
188,2
187,18
186,5
185,18
184,0
183,0
182,0
181,4
180,0
179,0
178,0
177,0
176,0
175,2
174,0
173,0
172,2
171,0
170,0
169,1
168,2
167,2
166,2
165,0
164,0
163,1
162,1
161,2
160,0
159,0
158,0
157,0
156,0
155,0
154,0
153,0
152,2
151,0
150,0
149,6
148,1
147,2
146,5
145,0
144,0
143,0
142,1
141,0
140,1
139,0
138,0
137,2
136,0
135,1
134,1
133,0
132,1
131,0
130,1
129,7
128,2
127,0
126,1
125,0
124,5
123,0
122,2
121,0
120,3
119,0
118,0
117,0
116,0
115,0
114,6
113,0
112,0
111,1
110,0
109,2
108,1
107,1
106,1
105,2
104,4
103,0
102,0
101,3
100,0
99,0
98,0
97,1
96,2
95,2
94,0
93,2
92,1
91,0
90,1
89,0
88,0
87,0
86,1
85,1
84,0
83,1
82,0
81,0
80,1
79,1
78,2
77,0
76,3
75,0
74,0
73,0
72,0
71,0
70,0
69,1
68,4
67,0
66,15
65,0
64,1
63,0
62,2
61,8
60,0
59,0
58,0
57,0
56,1
55,0
54,0
53,1
52,0
51,2
50,0
49,0
48,0
47,3
46,0
45,0
44,0
43,2
42,1
41,0
40,3
39,3
38,1
37,0
36,0
35,1
34,3
33,0
32,1
31,0
30,0
29,2
28,0
27,4
26,9
25,4
24,2
23,0
22,0
21,1
20,0
19,2
18,0
17,0
16,1
15,0
14,1
13,0
12,0
11,1
10,0
9,0
8,0
7,10
6,5
5,0
4,0
3,0
2,0
1,5
