"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17.760485,15.000000,15,2.760485,36.066204,8.707227,7.249979,20.108999,0.241423,0.000000,140952.526378,16,0.000000
2,19.213861,17.000000,17,2.213861,36.066204,5.061178,6.019331,24.985696,0.140330,0.000000,140952.526378,16,0.000000
3,24.945143,22.000000,22,2.945143,36.066204,4.012119,6.533846,25.520239,0.111243,0.000000,140952.526378,16,0.000000
4,20.810757,19.000000,19,1.810757,36.066204,7.079429,8.188562,20.798213,0.196290,0.000000,140952.526378,16,0.000000
5,23.749280,18.000000,18,5.749280,36.066204,4.671126,10.318596,21.076483,0.129515,0.000000,140952.526378,16,0.000000
6,24.529790,21.000000,21,3.529790,36.066204,4.217390,9.502320,22.346494,0.116935,0.000000,140952.526378,16,0.000000
7,21.136617,18.000000,18,3.136617,36.066204,7.081740,8.880740,20.103724,0.196354,0.000000,140952.526378,16,0.000000
8,22.573306,19.000000,19,3.573306,36.066204,4.489714,11.144785,20.431706,0.124485,0.000000,140952.526378,16,0.000000
9,23.626041,21.000000,21,2.626041,36.066204,4.176702,6.511244,25.378258,0.115807,0.000000,140952.526378,16,0.000000
10,32.338736,30.000000,30,2.338736,36.066204,5.145924,6.197985,24.722295,0.142680,0.000000,140952.526378,16,0.000000
11,26.861945,24.000000,24,2.861945,36.066204,2.192364,7.962551,25.911289,0.060787,0.000000,140952.526378,16,0.000000
12,21.644482,19.000000,19,2.644482,36.066204,4.275008,6.549192,25.242004,0.118532,0.000000,140952.526378,16,0.000000
13,24.363207,22.000000,22,2.363207,36.066204,5.092169,7.173341,23.800694,0.141189,0.000000,140952.526378,16,0.000000
14,21.737469,19.000000,19,2.737469,36.066204,5.234549,6.045912,24.785743,0.145137,0.000000,140952.526378,16,0.000000
15,22.630635,20.000000,20,2.630635,36.066204,7.553923,9.307308,19.204972,0.209446,0.000000,140952.526378,16,0.000000
16,20.414838,18.000000,18,2.414838,36.066204,10.152543,8.326874,17.586787,0.281497,0.000000,140952.526378,16,0.000000
17,22.164775,19.000000,19,3.164775,36.066204,4.282284,7.765949,24.017971,0.118734,0.000000,140952.526378,16,0.000000
18,22.544178,20.000000,20,2.544178,36.066204,8.270653,8.217752,19.577799,0.229319,0.000000,140952.526378,16,0.000000
19,22.608633,20.000000,20,2.608633,36.066204,4.424408,6.853288,24.788508,0.122675,0.000000,140952.526378,16,0.000000
20,24.806287,22.000000,22,2.806287,36.066204,5.015437,8.320256,22.730511,0.139062,0.000000,140952.526378,16,0.000000
