"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,167.921300,0.000000,0,0,0,0,no,0.000000
24,,417.253680,0.000000,0,0,0,0,no,0.000000
23,,222.771060,0.000000,0,0,0,0,no,0.000000
22,,94.149760,0.000000,0,0,0,0,no,0.000000
21,,50.430578,0.000000,0,0,0,0,no,0.000000
20,,4000.000000,0.000000,0,0,0,0,no,0.000000
19,,16000.000000,0.000000,0,0,0,0,no,0.000000
18,,6000.000000,0.000000,0,0,0,0,no,0.000000
17,,30000.000000,0.000000,0,0,0,0,no,0.000000
16,,2000.000000,0.000000,0,0,0,0,no,0.000000
15,,22000.000000,0.000000,0,0,0,0,no,0.000000
14,,34000.000000,0.000000,0,0,0,0,no,0.000000
13,,14000.000000,0.000000,0,0,0,0,no,0.000000
12,,8000.000000,0.000000,0,0,0,0,no,0.000000
11,,2000.000000,0.000000,0,0,0,0,no,0.000000
10,,2000.000000,0.000000,0,0,0,0,no,0.000000
9,,3054000.000000,6300000.000000,0,2,0,0,yes,1.000000
8,,311726000.000000,314440000.000000,0,7,0,0,yes,1.000000
7,,283046000.000000,286590000.000000,0,10,0,0,yes,1.000000
6,,21938000.000000,30740000.000000,0,3,0,0,yes,1.000000
5,,3452000.000000,4010000.000000,0,2,0,0,yes,1.000000
4,,2916000.000000,3080000.000000,0,5,0,0,yes,1.000000
3,,3426000.000000,6940000.000000,0,1,0,0,yes,1.000000
2,,34816000.000000,38120000.000000,0,6,0,0,yes,1.000000
1,,158276000.000000,164220000.000000,0,7,0,0,yes,1.000000
