"planning_unit","number"
321,13
320,4
319,3
318,1
317,4
316,0
315,5
314,1
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,12
303,0
302,0
301,0
300,0
299,5
298,0
297,1
296,1
295,1
294,1
293,2
292,0
291,0
290,1
289,0
288,1
287,1
286,0
285,0
284,0
283,2
282,1
281,2
280,0
279,1
278,2
277,0
276,5
275,1
274,0
273,0
272,7
271,1
270,12
269,1
268,0
267,0
266,0
265,0
264,2
263,0
262,1
261,5
260,5
259,1
258,0
257,0
256,0
255,2
254,1
253,0
252,0
251,2
250,0
249,3
248,0
247,4
246,0
245,0
244,0
243,3
242,1
241,0
240,2
239,2
238,0
237,0
236,1
235,0
234,0
233,0
232,0
231,1
230,4
229,0
228,1
227,2
226,0
225,0
224,0
223,0
222,0
221,3
220,0
219,0
218,0
217,6
216,0
215,0
214,3
213,0
212,1
211,1
210,0
209,3
208,3
207,0
206,1
205,0
204,0
203,0
202,4
201,0
200,2
199,0
198,2
197,0
196,0
195,0
194,0
193,0
192,2
191,0
190,2
189,2
188,0
187,17
186,0
185,3
184,0
183,0
182,0
181,6
180,0
179,0
178,0
177,0
176,2
175,1
174,0
173,0
172,1
171,4
170,0
169,1
168,1
167,4
166,0
165,0
164,1
163,0
162,1
161,0
160,0
159,0
158,0
157,0
156,0
155,0
154,0
153,1
152,2
151,1
150,0
149,6
148,0
147,1
146,2
145,0
144,3
143,0
142,0
141,0
140,2
139,0
138,0
137,10
136,0
135,1
134,3
133,0
132,0
131,0
130,0
129,4
128,2
127,0
126,0
125,0
124,4
123,0
122,5
121,0
120,8
119,0
118,0
117,1
116,0
115,0
114,4
113,0
112,0
111,0
110,0
109,0
108,0
107,1
106,0
105,0
104,2
103,0
102,0
101,3
100,0
99,1
98,0
97,0
96,0
95,1
94,0
93,0
92,1
91,0
90,1
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,1
81,2
80,0
79,0
78,1
77,1
76,4
75,0
74,0
73,0
72,0
71,0
70,1
69,1
68,2
67,1
66,5
65,0
64,1
63,1
62,3
61,7
60,0
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,0
51,1
50,0
49,0
48,0
47,2
46,0
45,1
44,1
43,0
42,0
41,0
40,3
39,3
38,0
37,0
36,1
35,0
34,2
33,0
32,0
31,0
30,0
29,3
28,2
27,0
26,3
25,1
24,2
23,0
22,0
21,0
20,1
19,5
18,1
17,2
16,0
15,0
14,1
13,0
12,0
11,0
10,2
9,0
8,0
7,17
6,3
5,0
4,0
3,0
2,0
1,15
