"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
2,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
3,23.000000,23.000000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
4,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
5,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
6,15.000000,15.000000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
7,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
8,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
9,16.000000,16.000000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
10,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
11,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
12,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
13,22.000000,22.000000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
14,17.000000,17.000000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
15,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
16,29.000000,29.000000,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
17,24.000000,24.000000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
18,18.000000,18.000000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
19,20.000000,20.000000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
20,19.000000,19.000000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140952.526378,16,0.000000
