"species","pu","amount"
12,0,76146210.7964392
12,1,40524764.2755047
12,2,181154249.445363
12,3,106351934.752169
12,4,23406928.269807
18,5,11996.1768717168
12,6,67072157.2087865
12,7,170718813.789112
12,8,62128511.6519389
18,11,10128.3701042794
18,12,279618.514689053
12,13,15111054.508295
12,14,182603975.642256
12,15,35951568.0605489
12,20,17455806.9546984
12,21,21646436.5207734
12,22,35248463.2435654
12,23,141508968.252377
12,24,1754350.25191392
17,27,9189314.51990268
12,30,17578132.3531318
7,31,67295551.7434232
12,31,49784149.3423198
7,32,161475533.674425
12,32,25688034.000727
7,33,43577191.4529019
12,33,136280246.117947
12,34,86756540.6376927
17,38,87180607.3660693
8,39,3598564.8604141
17,40,4715152.0560086
12,41,6026779.19367021
14,42,603189.675198246
7,42,6161964.89536068
12,42,46081999.8446472
14,43,1895887.64069539
7,43,116777992.738644
12,43,60462379.6391033
7,44,57446015.2253544
12,44,74182968.2906011
7,45,187659034.348753
7,46,119605723.672292
12,46,2064.55900422391
7,47,1677143.50966728
12,47,23625850.2001734
17,51,14805542.608798
8,51,30143466.8221595
17,52,69789301.5677637
8,52,67811327.357164
17,53,42415507.9360304
8,53,41288189.9833988
17,54,17565247.5997284
12,55,3128309.73587516
14,56,1266390.7701734
7,56,41515949.2451558
12,56,68463167.9073135
14,57,11981.8837475618
7,57,157343391.742741
12,57,30285070.4541811
14,58,7734771.93240432
7,58,179741864.251947
12,58,164182.37767075
7,59,170994007.184393
7,60,83829330.4137591
7,61,4504907.17433518
8,65,12442053.5150882
17,66,519802.944733694
8,66,131509175.444654
17,67,13186311.3572547
8,67,174457032.529876
17,68,13660023.8399314
8,68,173983507.394132
17,69,125679074.515237
8,69,32496692.6315065
7,70,5174211.97129309
12,70,31958236.8666717
7,71,138080893.150544
12,71,43080003.5522009
14,72,892893.726097735
7,72,186729216.284168
14,73,204488.791362085
7,73,144188624.668981
7,74,50118150.7504014
17,80,19080490.3269272
8,80,82186904.6665028
17,81,6911309.5273882
8,81,180713689.448184
17,82,2283553.42079252
8,82,185341669.369154
17,83,16092903.902713
8,83,171532523.381051
20,84,294109.928209625
17,84,9208837.38589891
8,84,178122665.167512
20,85,3360837.81840247
17,85,597081.630717158
8,85,34830321.9297135
11,85,144407.271612719
7,86,4933835.34829164
12,86,47227735.4514142
14,87,2401.88696526177
7,87,182695073.842246
12,87,4905114.93945825
18,88,1080950.28397951
3,88,25756319.2767033
7,88,125177089.893961
7,89,22167488.1747488
8,94,16912542.3226476
8,95,1519214.37232454
17,96,32554184.2924279
8,96,68433681.3357947
17,97,46658591.0667127
8,97,140947535.056211
17,98,34420126.2521311
8,98,153186242.300228
20,99,2598883.89245224
17,99,7500631.84979587
8,99,177507075.169257
20,100,2156680.51159414
8,100,143974390.716584
11,100,41475721.9980732
20,101,809209.24067935
8,101,54548630.6385406
11,101,132189034.008659
14,102,380905.757289076
7,102,103046879.840994
12,102,57818879.509513
14,103,284108.261373262
18,103,1050860.33852358
3,103,48766979.5607062
7,103,137481273.733482
18,104,15185179.4069136
3,104,147090382.302159
18,105,1584215.21310824
3,105,8525804.80034976
8,108,73360553.159024
17,109,5044360.33471555
8,109,164005862.364605
17,110,2262851.17044607
8,110,177063150.581618
17,111,15800350.7080117
8,111,159375796.123071
17,112,40311123.9593139
8,112,147275396.109215
20,113,5381282.81286533
17,113,8331454.56089897
8,113,173874044.452632
20,114,2002555.16148019
17,114,228515.56524763
8,114,155543991.102783
