"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,24799940.945618,0,4,0,0,yes,1.000000
19,,102797716.068924,108082264.309489,0,6,0,0,yes,1.000000
18,,3456201.354849,4108633.917911,0,2,0,0,yes,1.000000
17,,227195960.353977,306448027.219899,0,8,0,0,yes,1.000000
16,,148175890.094612,207775701.520950,0,6,0,0,yes,1.000000
15,,13102763.391318,43081380.719215,0,4,0,0,yes,1.000000
14,,6001996.155702,6529000.177531,0,4,0,0,yes,1.000000
13,,8931772.451034,16542606.422597,0,4,0,0,yes,1.000000
12,,352533215.344209,369879082.276590,0,7,0,0,yes,1.000000
11,,501908512.966683,877182205.153365,0,8,0,0,yes,1.000000
10,,551448418.822755,551677653.189352,0,5,0,0,yes,1.000000
9,,6062635.478561,9069220.090698,0,3,0,0,yes,1.000000
8,,1170071012.657410,1180659052.686067,0,11,0,0,yes,1.000000
7,,376396272.768339,409608845.906001,0,5,0,0,yes,1.000000
6,,283242187.381411,299142961.682868,0,4,0,0,yes,1.000000
5,,501694534.627578,511812441.431088,0,7,0,0,yes,1.000000
4,,145211448.600232,171068294.782333,0,2,0,0,yes,1.000000
3,,746665780.128168,761424181.234368,0,9,0,0,yes,1.000000
2,,213197082.166299,232826036.512211,0,3,0,0,yes,1.000000
1,,111056428.065240,115974938.519863,0,4,0,0,yes,1.000000
