"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,63690820.983374,0,6,0,0,yes,1.000000
19,,102797716.068924,145264080.003356,0,3,0,0,yes,1.000000
18,,3456201.354849,15359065.244298,0,2,0,0,yes,1.000000
17,,227195960.353977,399855613.750247,0,11,0,0,yes,1.000000
16,,148175890.094612,441117822.535894,0,8,0,0,yes,1.000000
15,,13102763.391318,16140377.835714,0,5,0,0,yes,1.000000
14,,6001996.155702,28332849.537128,0,4,0,0,yes,1.000000
13,,8931772.451034,20249153.255416,0,4,0,0,yes,1.000000
12,,352533215.344209,380960625.356179,0,6,0,0,yes,1.000000
11,,501908512.966683,694521984.960157,0,9,0,0,yes,1.000000
10,,551448418.822755,552976473.493376,0,6,0,0,yes,1.000000
9,,6062635.478561,12850094.141881,0,2,0,0,yes,1.000000
8,,1170071012.657410,1187819577.737742,0,13,0,0,yes,1.000000
7,,376396272.768339,413148347.586018,0,4,0,0,yes,1.000000
6,,283242187.381411,294327949.809628,0,5,0,0,yes,1.000000
5,,501694534.627578,513294332.098796,0,8,0,0,yes,1.000000
4,,145211448.600232,181438749.375489,0,4,0,0,yes,1.000000
3,,746665780.128168,763260930.467070,0,11,0,0,yes,1.000000
2,,213197082.166299,237980674.882096,0,3,0,0,yes,1.000000
1,,111056428.065240,204837170.282076,0,4,0,0,yes,1.000000
