"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,7
644,5
643,1
642,1
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,2
633,4
632,1
631,1
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,3
622,1
621,1
620,1
619,3
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,1
610,1
609,1
608,1
607,1
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,1
598,1
597,1
596,1
595,1
594,4
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,1
585,1
584,1
583,1
582,1
581,1
580,0
579,0
578,0
577,0
576,0
575,5
574,2
573,1
572,1
571,1
570,1
569,1
568,1
567,3
566,0
565,0
564,0
563,0
562,0
561,5
560,3
559,2
558,2
557,1
556,1
555,1
554,1
553,2
552,0
551,0
550,0
549,0
548,2
547,1
546,5
545,1
544,1
543,1
542,1
541,1
540,1
539,3
538,2
537,0
536,2
535,1
534,1
533,2
532,2
531,4
530,9
529,2
528,1
527,1
526,1
525,1
524,2
523,1
522,1
521,1
520,1
519,1
518,3
517,1
516,4
515,4
514,4
513,2
512,1
511,1
510,1
509,1
508,1
507,1
506,1
505,1
504,1
503,3
502,1
501,1
500,1
499,5
498,3
497,2
496,1
495,1
494,1
493,1
492,1
491,1
490,1
489,1
488,2
487,2
486,2
485,1
484,3
483,2
482,3
481,3
480,1
479,1
478,1
477,1
476,0
475,1
474,1
473,1
472,1
471,1
470,2
469,2
468,4
467,1
466,0
465,0
464,1
463,1
462,1
461,1
460,1
459,1
458,3
457,0
456,1
455,1
454,3
453,1
452,1
451,1
450,2
449,1
448,1
447,3
446,1
445,1
444,1
443,1
442,1
441,1
440,1
439,1
438,1
437,0
436,1
435,1
434,2
433,1
432,1
431,1
430,0
429,1
428,1
427,1
426,2
425,2
424,2
423,0
422,0
421,1
420,1
419,1
418,1
417,3
416,2
415,0
414,0
413,1
412,1
411,2
410,1
409,2
408,1
407,0
406,0
405,0
404,1
403,1
402,2
401,2
400,4
399,0
398,0
397,1
396,1
395,2
394,1
393,3
392,2
391,0
390,0
389,0
388,1
387,2
386,2
385,1
384,1
383,0
382,0
381,0
380,1
379,6
378,4
377,2
376,1
375,0
374,0
373,0
372,1
371,2
370,3
369,1
368,2
367,0
366,0
365,0
364,1
363,1
362,6
361,4
360,1
359,1
358,0
357,0
356,1
355,1
354,1
353,2
352,6
351,3
350,3
349,0
348,0
347,0
346,1
345,1
344,1
343,1
342,2
341,2
340,1
339,4
338,0
337,1
336,1
335,1
334,2
333,2
332,2
331,1
330,4
329,0
328,1
327,1
326,2
325,6
324,3
323,1
322,5
321,1
320,0
319,1
318,1
317,3
316,5
315,5
314,5
313,6
312,1
311,0
310,1
309,1
308,8
307,8
306,1
305,3
304,6
303,0
302,1
301,1
300,4
299,4
298,1
297,1
296,1
295,1
294,1
293,1
292,2
291,3
290,1
289,1
288,2
287,0
286,1
285,1
284,1
283,1
282,2
281,2
280,1
279,1
278,1
277,1
276,2
275,3
274,1
273,1
272,0
271,0
270,1
269,1
268,1
267,7
266,4
265,1
264,2
263,1
262,0
261,0
260,1
259,1
258,1
257,1
256,5
255,1
254,1
253,1
252,0
251,0
250,1
249,1
248,1
247,1
246,1
245,1
244,1
243,2
242,0
241,0
240,0
239,1
238,1
237,1
236,4
235,1
234,1
233,1
232,1
231,1
230,0
229,0
228,0
227,1
226,1
225,1
224,1
223,2
222,1
221,1
220,1
219,1
218,3
217,0
216,0
215,0
214,0
213,1
212,1
211,1
210,1
209,2
208,2
207,1
206,1
205,1
204,3
203,4
202,0
201,0
200,0
199,0
198,0
197,1
196,1
195,1
194,1
193,1
192,3
191,3
190,1
189,1
188,1
187,3
186,3
185,0
184,0
183,0
182,0
181,0
180,0
179,1
178,1
177,1
176,3
175,1
174,1
173,4
172,1
171,1
170,2
169,3
168,5
167,1
166,1
165,1
164,1
163,1
162,1
161,3
160,1
159,1
158,1
157,1
156,1
155,1
154,1
153,1
152,2
151,1
150,1
149,1
148,1
147,1
146,1
145,3
144,1
143,1
142,1
141,1
140,1
139,2
138,1
137,1
136,1
135,1
134,1
133,1
132,1
131,1
130,5
129,2
128,1
127,1
126,1
125,1
124,1
123,1
122,1
121,1
120,4
119,2
118,1
117,1
116,1
115,5
114,4
113,2
112,2
111,1
110,1
109,1
108,1
107,1
106,1
105,1
104,7
103,1
102,2
101,3
100,4
99,1
98,1
97,2
96,1
95,1
94,1
93,1
92,1
91,1
90,1
89,1
88,2
87,2
86,1
85,1
84,3
83,1
82,1
81,1
80,1
79,1
78,1
77,1
76,1
75,1
74,1
73,1
72,1
71,2
70,1
69,3
68,2
67,2
66,1
65,1
64,1
63,1
62,1
61,1
60,1
59,1
58,4
57,3
56,1
55,3
54,1
53,1
52,1
51,1
50,1
49,1
48,1
47,1
46,1
45,1
44,2
43,2
42,1
41,1
40,1
39,1
38,1
37,1
36,1
35,1
34,1
33,1
32,3
31,2
30,1
29,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
21,1
20,1
19,1
18,1
17,1
16,1
15,1
14,1
13,1
12,1
11,1
10,1
9,1
8,1
7,1
6,2
5,1
4,1
3,2
2,2
1,2
0,4
