"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1005.315138,38.000000,38,14.881771,142.616268,1.134909,14.881771,126.599588,0.007958,0.000000,0.000000,0,1.000000
2,1040.170070,40.000000,40,15.387232,142.616268,1.640681,15.387232,125.588355,0.011504,0.000000,0.000000,0,1.000000
3,1030.392423,36.000000,36,15.298345,142.616268,0.797587,15.298345,126.520336,0.005593,0.000000,0.000000,0,1.000000
4,1071.226915,37.000000,37,15.911183,142.616268,0.993881,15.911183,125.711204,0.006969,0.000000,0.000000,0,1.000000
5,530.372720,528.000000,528,0.036503,142.616268,142.579742,0.036503,0.000023,0.999744,0.000000,0.000000,0,1.000000
6,1067.937348,39.000000,39,15.829805,142.616268,0.796998,15.829805,125.989464,0.005588,0.000000,0.000000,0,1.000000
7,1043.449007,36.000000,36,15.499215,142.616268,1.014919,15.499215,126.102133,0.007116,0.000000,0.000000,0,1.000000
8,1069.297011,39.000000,39,15.850723,142.616268,0.900120,15.850723,125.865425,0.006311,0.000000,0.000000,0,1.000000
9,1040.402857,40.000000,40,15.390813,142.616268,1.107294,15.390813,126.118161,0.007764,0.000000,0.000000,0,1.000000
10,1077.897675,37.000000,37,16.013810,142.616268,0.822808,16.013810,125.779650,0.005769,0.000000,0.000000,0,1.000000
11,990.858037,37.000000,37,14.674739,142.616268,1.320465,14.674739,126.621064,0.009259,0.000000,0.000000,0,1.000000
12,921.724941,39.000000,39,13.580384,142.616268,2.060874,13.580384,126.975010,0.014450,0.000000,0.000000,0,1.000000
13,1037.368246,39.000000,39,15.359511,142.616268,0.941310,15.359511,126.315446,0.006600,0.000000,0.000000,0,1.000000
14,1080.338316,41.000000,41,15.989820,142.616268,1.016658,15.989820,125.609790,0.007129,0.000000,0.000000,0,1.000000
15,530.372720,528.000000,528,0.036503,142.616268,142.579742,0.036503,0.000023,0.999744,0.000000,0.000000,0,1.000000
16,725.217895,450.000000,450,4.234121,142.616268,122.351007,4.234121,16.031140,0.857904,0.000000,0.000000,0,1.000000
17,1037.272981,40.000000,40,15.342661,142.616268,1.070987,15.342661,126.202620,0.007510,0.000000,0.000000,0,1.000000
18,966.560103,42.000000,42,14.224002,142.616268,1.745343,14.224002,126.646923,0.012238,0.000000,0.000000,0,1.000000
19,1031.436274,38.000000,38,15.283635,142.616268,1.018386,15.283635,126.314247,0.007141,0.000000,0.000000,0,1.000000
20,1039.111679,40.000000,40,15.370949,142.616268,1.080639,15.370949,126.164681,0.007577,0.000000,0.000000,0,1.000000
21,977.969097,40.000000,40,14.430294,142.616268,1.605133,14.430294,126.580841,0.011255,0.000000,0.000000,0,1.000000
22,1055.164078,42.000000,42,15.587140,142.616268,0.956751,15.587140,126.072377,0.006709,0.000000,0.000000,0,1.000000
23,1006.213547,40.000000,40,14.864824,142.616268,1.303983,14.864824,126.447462,0.009143,0.000000,0.000000,0,1.000000
24,1054.010038,39.000000,39,15.615539,142.616268,1.064159,15.615539,125.936570,0.007462,0.000000,0.000000,0,1.000000
25,1001.862069,38.000000,38,14.828647,142.616268,0.799780,14.828647,126.987841,0.005608,0.000000,0.000000,0,1.000000
26,1072.085925,38.000000,38,15.909014,142.616268,0.758711,15.909014,125.948543,0.005320,0.000000,0.000000,0,1.000000
27,1085.417397,39.000000,39,16.098729,142.616268,0.900913,16.098729,125.616626,0.006317,0.000000,0.000000,0,1.000000
28,1007.417987,42.000000,42,14.852584,142.616268,1.502719,14.852584,126.260964,0.010537,0.000000,0.000000,0,1.000000
29,1033.766558,38.000000,38,15.319486,142.616268,1.177648,15.319486,126.119135,0.008257,0.000000,0.000000,0,1.000000
30,1089.591493,41.000000,41,16.132177,142.616268,0.996210,16.132177,125.487881,0.006985,0.000000,0.000000,0,1.000000
31,1035.151793,42.000000,42,15.279258,142.616268,1.373099,15.279258,125.963911,0.009628,0.000000,0.000000,0,1.000000
32,972.107313,35.000000,35,14.417036,142.616268,1.365594,14.417036,126.833638,0.009575,0.000000,0.000000,0,1.000000
33,1046.112692,40.000000,40,15.478657,142.616268,1.116485,15.478657,126.021126,0.007829,0.000000,0.000000,0,1.000000
34,926.999619,332.000000,332,9.153840,142.616268,90.309178,9.153840,43.153250,0.633232,0.000000,0.000000,0,1.000000
35,1011.542765,37.000000,37,14.992966,142.616268,1.003905,14.992966,126.619397,0.007039,0.000000,0.000000,0,1.000000
36,1085.640605,38.000000,38,16.117548,142.616268,0.966829,16.117548,125.531891,0.006779,0.000000,0.000000,0,1.000000
37,997.276141,35.000000,35,14.804248,142.616268,0.915891,14.804248,126.896129,0.006422,0.000000,0.000000,0,1.000000
38,1017.532449,37.000000,37,15.085115,142.616268,1.007813,15.085115,126.523340,0.007067,0.000000,0.000000,0,1.000000
39,1071.705132,39.000000,39,15.887771,142.616268,0.990024,15.887771,125.738473,0.006942,0.000000,0.000000,0,1.000000
40,1080.499951,41.000000,41,15.992307,142.616268,1.079295,15.992307,125.544666,0.007568,0.000000,0.000000,0,1.000000
41,1041.108370,41.000000,41,15.386283,142.616268,1.240712,15.386283,125.989274,0.008700,0.000000,0.000000,0,1.000000
42,975.035568,42.000000,42,14.354393,142.616268,1.824131,14.354393,126.437744,0.012790,0.000000,0.000000,0,1.000000
43,1083.798450,40.000000,40,16.058438,142.616268,0.908799,16.058438,125.649031,0.006372,0.000000,0.000000,0,1.000000
44,1085.620108,37.000000,37,16.132617,142.616268,0.887671,16.132617,125.595981,0.006224,0.000000,0.000000,0,1.000000
45,973.783718,41.000000,41,14.350519,142.616268,1.597790,14.350519,126.667959,0.011203,0.000000,0.000000,0,1.000000
46,945.765258,37.000000,37,13.981004,142.616268,1.518832,13.981004,127.116432,0.010650,0.000000,0.000000,0,1.000000
47,930.213160,335.000000,335,9.157126,142.616268,90.422907,9.157126,43.036235,0.634029,0.000000,0.000000,0,1.000000
48,1040.924523,41.000000,41,15.383454,142.616268,1.193300,15.383454,126.039514,0.008367,0.000000,0.000000,0,1.000000
49,1004.387165,40.000000,40,14.836726,142.616268,1.355655,14.836726,126.423887,0.009506,0.000000,0.000000,0,1.000000
50,1092.939918,38.000000,38,16.229845,142.616268,0.841987,16.229845,125.544437,0.005904,0.000000,0.000000,0,1.000000
51,725.217895,450.000000,450,4.234121,142.616268,122.351007,4.234121,16.031140,0.857904,0.000000,0.000000,0,1.000000
52,1055.335042,39.000000,39,15.635924,142.616268,1.233965,15.635924,125.746379,0.008652,0.000000,0.000000,0,1.000000
53,1017.390343,38.000000,38,15.067544,142.616268,0.999491,15.067544,126.549233,0.007008,0.000000,0.000000,0,1.000000
54,989.118438,39.000000,39,14.617207,142.616268,1.123160,14.617207,126.875902,0.007875,0.000000,0.000000,0,1.000000
55,1064.803064,36.000000,36,15.827739,142.616268,1.104650,15.827739,125.683879,0.007746,0.000000,0.000000,0,1.000000
56,1042.289506,41.000000,41,15.404454,142.616268,1.281007,15.404454,125.930807,0.008982,0.000000,0.000000,0,1.000000
57,1068.900845,41.000000,41,15.813859,142.616268,1.273047,15.813859,125.529362,0.008926,0.000000,0.000000,0,1.000000
58,1120.186870,39.000000,39,16.633644,142.616268,0.485333,16.633644,125.497291,0.003403,0.000000,0.000000,0,1.000000
59,931.507779,37.000000,37,13.761658,142.616268,1.708309,13.761658,127.146301,0.011978,0.000000,0.000000,0,1.000000
60,1008.918221,41.000000,41,14.891050,142.616268,1.237908,14.891050,126.487310,0.008680,0.000000,0.000000,0,1.000000
61,904.528389,333.000000,333,8.792744,142.616268,90.600708,8.792744,43.222816,0.635276,0.000000,0.000000,0,1.000000
62,985.185335,40.000000,40,14.541313,142.616268,1.351927,14.541313,126.723028,0.009479,0.000000,0.000000,0,1.000000
63,1056.073790,39.000000,39,15.647289,142.616268,0.965891,15.647289,126.003088,0.006773,0.000000,0.000000,0,1.000000
64,1171.055940,46.000000,46,17.308553,142.616268,0.865251,17.308553,124.442464,0.006067,0.000000,0.000000,0,1.000000
65,972.504797,39.000000,39,14.361612,142.616268,1.362543,14.361612,126.892113,0.009554,0.000000,0.000000,0,1.000000
66,1065.298964,38.000000,38,15.804599,142.616268,1.010112,15.804599,125.801556,0.007083,0.000000,0.000000,0,1.000000
67,1008.473945,39.000000,39,14.914984,142.616268,1.139423,14.914984,126.561861,0.007989,0.000000,0.000000,0,1.000000
68,1078.867048,40.000000,40,15.982570,142.616268,1.196155,15.982570,125.437543,0.008387,0.000000,0.000000,0,1.000000
69,957.977682,335.000000,335,9.584272,142.616268,90.199837,9.584272,42.832159,0.632465,0.000000,0.000000,0,1.000000
