"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,64603699.598873,0,7,0,0,yes,1.000000
19,,102797716.068924,146958354.975232,0,5,0,0,yes,1.000000
18,,3456201.354849,13352152.003433,0,2,0,0,yes,1.000000
17,,227195960.353977,246466590.186417,0,9,0,0,yes,1.000000
16,,148175890.094612,152791346.227870,0,6,0,0,yes,1.000000
15,,13102763.391318,19128470.450924,0,4,0,0,yes,1.000000
14,,6001996.155702,7596723.724661,0,4,0,0,yes,1.000000
13,,8931772.451034,10815872.067097,0,3,0,0,yes,1.000000
12,,352533215.344209,377308490.524941,0,7,0,0,yes,1.000000
11,,501908512.966683,559322655.360862,0,5,0,0,yes,1.000000
10,,551448418.822755,556920787.260520,0,4,0,0,yes,1.000000
9,,6062635.478561,20816359.488695,0,2,0,0,yes,1.000000
8,,1170071012.657410,1178571295.075038,0,10,0,0,yes,1.000000
7,,376396272.768339,463582409.725838,0,6,0,0,yes,1.000000
6,,283242187.381411,333082910.426509,0,5,0,0,yes,1.000000
5,,501694534.627578,537354038.668534,0,6,0,0,yes,1.000000
4,,145211448.600232,268407106.390343,0,3,0,0,yes,1.000000
3,,746665780.128168,752542353.336865,0,11,0,0,yes,1.000000
2,,213197082.166299,221139361.367674,0,2,0,0,yes,1.000000
1,,111056428.065240,196984396.569019,0,5,0,0,yes,1.000000
