"planning_unit","number"
652,10
651,10
650,10
649,10
648,10
647,10
646,10
645,22
644,25
643,20
642,20
641,10
640,10
639,10
638,10
637,10
636,10
635,10
634,11
633,21
632,20
631,20
630,10
629,10
628,10
627,10
626,10
625,10
624,10
623,11
622,11
621,20
620,20
619,22
618,10
617,10
616,10
615,10
614,10
613,10
612,10
611,11
610,11
609,13
608,18
607,36
606,10
605,10
604,10
603,10
602,10
601,10
600,10
599,11
598,11
597,12
596,12
595,18
594,49
593,10
592,10
591,10
590,10
589,10
588,10
587,10
586,11
585,11
584,11
583,12
582,12
581,21
580,7
579,10
578,10
577,10
576,10
575,10
574,10
573,11
572,13
571,13
570,13
569,14
568,14
567,34
566,3
565,7
564,10
563,10
562,10
561,23
560,19
559,17
558,13
557,13
556,13
555,14
554,14
553,30
552,3
551,3
550,7
549,10
548,14
547,27
546,33
545,24
544,17
543,13
542,13
541,14
540,14
539,25
538,26
537,7
536,7
535,7
534,12
533,21
532,33
531,44
530,48
529,47
528,13
527,18
526,14
525,16
524,16
523,17
522,46
521,46
520,10
519,11
518,18
517,23
516,38
515,45
514,45
513,13
512,13
511,18
510,15
509,15
508,15
507,15
506,46
505,47
504,48
503,13
502,12
501,18
500,21
499,41
498,45
497,40
496,13
495,15
494,15
493,15
492,15
491,15
490,46
489,46
488,48
487,47
486,36
485,10
484,19
483,22
482,40
481,40
480,15
479,15
478,15
477,15
476,31
475,47
474,48
473,48
472,47
471,35
470,10
469,20
468,22
467,40
466,15
465,31
464,31
463,53
462,51
461,52
460,52
459,42
458,37
457,31
456,31
455,31
454,51
453,50
452,48
451,52
450,46
449,31
448,31
447,35
446,50
445,47
444,47
443,9
442,11
441,14
440,21
439,27
438,24
437,8
436,9
435,11
434,14
433,17
432,14
431,16
430,8
429,8
428,9
427,12
426,13
425,11
424,11
423,8
422,8
421,8
420,9
419,11
418,14
417,13
416,13
415,8
414,8
413,8
412,8
411,8
410,12
409,14
408,15
407,8
406,8
405,8
404,8
403,9
402,11
401,15
400,17
399,7
398,7
397,7
396,9
395,11
394,17
393,17
392,17
391,6
390,6
389,6
388,8
387,9
386,15
385,16
384,15
383,6
382,6
381,6
380,6
379,9
378,10
377,12
376,12
375,12
374,12
373,12
372,12
371,16
370,17
369,17
368,16
367,12
366,12
365,12
364,12
363,14
362,16
361,17
360,15
359,15
358,12
357,12
356,12
355,12
354,13
353,20
352,17
351,17
350,17
349,17
348,15
347,15
346,15
345,15
344,21
343,27
342,30
341,16
340,16
339,16
338,15
337,15
336,15
335,23
334,28
333,30
332,29
331,18
330,18
329,15
328,15
327,15
326,31
325,28
324,27
323,29
322,29
321,19
320,2
319,16
318,16
317,31
316,32
315,32
314,26
313,29
312,29
311,2
310,2
309,20
308,30
307,31
306,31
305,32
304,26
303,2
302,2
301,2
300,29
299,30
298,30
297,29
296,29
295,4
294,4
293,4
292,13
291,30
290,30
289,29
288,29
287,5
286,5
285,5
284,9
283,9
282,9
281,7
280,7
279,4
278,4
277,7
276,9
275,8
274,7
273,7
272,7
271,8
270,10
269,4
268,10
267,14
266,11
265,7
264,7
263,7
262,8
261,8
260,8
259,10
258,16
257,21
256,12
255,10
254,7
253,7
252,8
251,8
250,8
249,8
248,17
247,32
246,28
245,27
244,27
243,28
242,11
241,10
240,8
239,8
238,8
237,8
236,33
235,32
234,31
233,32
232,32
231,41
230,11
229,12
228,11
227,10
226,8
225,8
224,8
223,28
222,32
221,32
220,29
219,36
218,37
217,14
216,14
215,11
214,12
213,11
212,10
211,8
210,15
209,23
208,29
207,33
206,31
205,31
204,42
203,45
202,14
201,14
200,14
199,14
198,11
197,12
196,12
195,11
194,14
193,16
192,22
191,26
190,31
189,31
188,32
187,48
186,48
185,14
184,14
183,14
182,14
181,14
180,14
179,11
178,14
177,13
176,11
175,10
174,10
173,21
172,26
171,31
170,33
169,36
168,44
167,14
166,14
165,14
164,14
163,14
162,16
161,13
160,14
159,14
158,11
157,10
156,10
155,21
154,26
153,32
152,33
151,33
150,14
149,14
148,14
147,14
146,14
145,14
144,17
143,12
142,14
141,12
140,11
139,10
138,10
137,21
136,33
135,34
134,33
133,16
132,16
131,15
130,15
129,14
128,14
127,14
126,11
125,13
124,13
123,13
122,13
121,13
120,62
119,46
118,33
117,28
116,29
115,29
114,18
113,18
112,15
111,15
110,15
109,12
108,14
107,14
106,14
105,16
104,50
103,53
102,52
101,30
100,30
99,26
98,18
97,16
96,15
95,15
94,15
93,12
92,14
91,14
90,14
89,22
88,39
87,40
86,39
85,30
84,29
83,29
82,21
81,16
80,16
79,15
78,15
77,15
76,12
75,14
74,14
73,20
72,29
71,38
70,38
69,30
68,30
67,24
66,20
65,17
64,17
63,16
62,16
61,16
60,14
59,16
58,24
57,25
56,32
55,38
54,25
53,25
52,24
51,19
50,19
49,17
48,18
47,18
46,18
45,16
44,14
43,16
42,25
41,25
40,19
39,19
38,19
37,19
36,19
35,17
34,18
33,18
32,18
31,18
30,14
29,19
28,19
27,19
26,19
25,19
24,19
23,17
22,18
21,18
20,18
19,18
18,18
17,18
16,18
15,18
14,18
13,16
12,18
11,18
10,18
9,18
8,18
7,18
6,18
5,18
4,18
3,18
2,18
1,18
0,18
