"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,916.000000,76.000000,76,84.000000,1796.000000,161.000000,84.000000,1551.000000,0.089644,0.000000,0.000000,0,1.000000
2,889.000000,49.000000,49,84.000000,1796.000000,94.000000,84.000000,1618.000000,0.052339,0.000000,0.000000,0,1.000000
3,829.000000,279.000000,279,55.000000,1796.000000,748.000000,55.000000,993.000000,0.416481,0.000000,0.000000,0,1.000000
4,813.000000,193.000000,193,62.000000,1796.000000,497.000000,62.000000,1237.000000,0.276726,0.000000,0.000000,0,1.000000
5,836.000000,86.000000,86,75.000000,1796.000000,198.000000,75.000000,1523.000000,0.110245,0.000000,0.000000,0,1.000000
6,866.000000,96.000000,96,77.000000,1796.000000,226.000000,77.000000,1493.000000,0.125835,0.000000,0.000000,0,1.000000
7,838.000000,78.000000,78,76.000000,1796.000000,171.000000,76.000000,1549.000000,0.095212,0.000000,0.000000,0,1.000000
8,841.000000,51.000000,51,79.000000,1796.000000,102.000000,79.000000,1615.000000,0.056793,0.000000,0.000000,0,1.000000
9,856.000000,116.000000,116,74.000000,1796.000000,284.000000,74.000000,1438.000000,0.158129,0.000000,0.000000,0,1.000000
10,818.000000,68.000000,68,75.000000,1796.000000,143.000000,75.000000,1578.000000,0.079621,0.000000,0.000000,0,1.000000
11,1056.000000,116.000000,116,94.000000,1796.000000,266.000000,94.000000,1436.000000,0.148107,0.000000,0.000000,0,1.000000
12,916.000000,136.000000,136,78.000000,1796.000000,333.000000,78.000000,1385.000000,0.185412,0.000000,0.000000,0,1.000000
13,955.000000,145.000000,145,81.000000,1796.000000,357.000000,81.000000,1358.000000,0.198775,0.000000,0.000000,0,1.000000
14,862.000000,102.000000,102,76.000000,1796.000000,236.000000,76.000000,1484.000000,0.131403,0.000000,0.000000,0,1.000000
15,879.000000,109.000000,109,77.000000,1796.000000,247.000000,77.000000,1472.000000,0.137528,0.000000,0.000000,0,1.000000
16,856.000000,56.000000,56,80.000000,1796.000000,108.000000,80.000000,1608.000000,0.060134,0.000000,0.000000,0,1.000000
17,830.000000,60.000000,60,77.000000,1796.000000,124.000000,77.000000,1595.000000,0.069042,0.000000,0.000000,0,1.000000
18,864.000000,214.000000,214,65.000000,1796.000000,555.000000,65.000000,1176.000000,0.309020,0.000000,0.000000,0,1.000000
19,895.000000,85.000000,85,81.000000,1796.000000,185.000000,81.000000,1530.000000,0.103007,0.000000,0.000000,0,1.000000
20,804.000000,54.000000,54,75.000000,1796.000000,112.000000,75.000000,1609.000000,0.062361,0.000000,0.000000,0,1.000000
21,847.000000,107.000000,107,74.000000,1796.000000,250.000000,74.000000,1472.000000,0.139198,0.000000,0.000000,0,1.000000
22,830.000000,100.000000,100,73.000000,1796.000000,239.000000,73.000000,1484.000000,0.133073,0.000000,0.000000,0,1.000000
23,784.000000,104.000000,104,68.000000,1796.000000,255.000000,68.000000,1473.000000,0.141982,0.000000,0.000000,0,1.000000
24,921.000000,71.000000,71,85.000000,1796.000000,148.000000,85.000000,1563.000000,0.082405,0.000000,0.000000,0,1.000000
25,884.000000,64.000000,64,82.000000,1796.000000,136.000000,82.000000,1578.000000,0.075724,0.000000,0.000000,0,1.000000
26,801.000000,131.000000,131,67.000000,1796.000000,323.000000,67.000000,1406.000000,0.179844,0.000000,0.000000,0,1.000000
27,852.000000,162.000000,162,69.000000,1796.000000,401.000000,69.000000,1326.000000,0.223274,0.000000,0.000000,0,1.000000
28,876.000000,196.000000,196,68.000000,1796.000000,506.000000,68.000000,1222.000000,0.281737,0.000000,0.000000,0,1.000000
29,868.000000,118.000000,118,75.000000,1796.000000,286.000000,75.000000,1435.000000,0.159243,0.000000,0.000000,0,1.000000
30,778.000000,58.000000,58,72.000000,1796.000000,125.000000,72.000000,1599.000000,0.069599,0.000000,0.000000,0,1.000000
31,1010.000000,130.000000,130,88.000000,1796.000000,307.000000,88.000000,1401.000000,0.170935,0.000000,0.000000,0,1.000000
32,834.000000,64.000000,64,77.000000,1796.000000,143.000000,77.000000,1576.000000,0.079621,0.000000,0.000000,0,1.000000
33,738.000000,188.000000,188,55.000000,1796.000000,482.000000,55.000000,1259.000000,0.268374,0.000000,0.000000,0,1.000000
34,883.000000,73.000000,73,81.000000,1796.000000,161.000000,81.000000,1554.000000,0.089644,0.000000,0.000000,0,1.000000
35,970.000000,150.000000,150,82.000000,1796.000000,378.000000,82.000000,1336.000000,0.210468,0.000000,0.000000,0,1.000000
36,783.000000,93.000000,93,69.000000,1796.000000,224.000000,69.000000,1503.000000,0.124722,0.000000,0.000000,0,1.000000
37,858.000000,88.000000,88,77.000000,1796.000000,199.000000,77.000000,1520.000000,0.110802,0.000000,0.000000,0,1.000000
38,874.000000,64.000000,64,81.000000,1796.000000,124.000000,81.000000,1591.000000,0.069042,0.000000,0.000000,0,1.000000
39,840.000000,70.000000,70,77.000000,1796.000000,154.000000,77.000000,1565.000000,0.085746,0.000000,0.000000,0,1.000000
40,913.000000,183.000000,183,73.000000,1796.000000,457.000000,73.000000,1266.000000,0.254454,0.000000,0.000000,0,1.000000
41,785.000000,95.000000,95,69.000000,1796.000000,224.000000,69.000000,1503.000000,0.124722,0.000000,0.000000,0,1.000000
42,813.000000,73.000000,73,74.000000,1796.000000,158.000000,74.000000,1564.000000,0.087973,0.000000,0.000000,0,1.000000
43,951.000000,51.000000,51,90.000000,1796.000000,95.000000,90.000000,1611.000000,0.052895,0.000000,0.000000,0,1.000000
44,875.000000,75.000000,75,80.000000,1796.000000,158.000000,80.000000,1558.000000,0.087973,0.000000,0.000000,0,1.000000
45,738.000000,188.000000,188,55.000000,1796.000000,483.000000,55.000000,1258.000000,0.268931,0.000000,0.000000,0,1.000000
46,907.000000,197.000000,197,71.000000,1796.000000,504.000000,71.000000,1221.000000,0.280624,0.000000,0.000000,0,1.000000
47,793.000000,103.000000,103,69.000000,1796.000000,249.000000,69.000000,1478.000000,0.138641,0.000000,0.000000,0,1.000000
48,707.000000,187.000000,187,52.000000,1796.000000,484.000000,52.000000,1260.000000,0.269488,0.000000,0.000000,0,1.000000
49,867.000000,417.000000,417,45.000000,1796.000000,1128.000000,45.000000,623.000000,0.628062,0.000000,0.000000,0,1.000000
50,922.000000,62.000000,62,86.000000,1796.000000,124.000000,86.000000,1586.000000,0.069042,0.000000,0.000000,0,1.000000
51,837.000000,67.000000,67,77.000000,1796.000000,143.000000,77.000000,1576.000000,0.079621,0.000000,0.000000,0,1.000000
52,906.000000,66.000000,66,84.000000,1796.000000,142.000000,84.000000,1570.000000,0.079065,0.000000,0.000000,0,1.000000
53,876.000000,76.000000,76,80.000000,1796.000000,164.000000,80.000000,1552.000000,0.091314,0.000000,0.000000,0,1.000000
54,961.000000,241.000000,241,72.000000,1796.000000,640.000000,72.000000,1084.000000,0.356347,0.000000,0.000000,0,1.000000
55,981.000000,51.000000,51,93.000000,1796.000000,85.000000,93.000000,1618.000000,0.047327,0.000000,0.000000,0,1.000000
56,829.000000,69.000000,69,76.000000,1796.000000,147.000000,76.000000,1573.000000,0.081849,0.000000,0.000000,0,1.000000
57,832.000000,82.000000,82,75.000000,1796.000000,184.000000,75.000000,1537.000000,0.102450,0.000000,0.000000,0,1.000000
58,895.000000,155.000000,155,74.000000,1796.000000,386.000000,74.000000,1336.000000,0.214922,0.000000,0.000000,0,1.000000
59,844.000000,104.000000,104,74.000000,1796.000000,249.000000,74.000000,1473.000000,0.138641,0.000000,0.000000,0,1.000000
60,866.000000,106.000000,106,76.000000,1796.000000,245.000000,76.000000,1475.000000,0.136414,0.000000,0.000000,0,1.000000
61,830.000000,70.000000,70,76.000000,1796.000000,148.000000,76.000000,1572.000000,0.082405,0.000000,0.000000,0,1.000000
62,826.000000,216.000000,216,61.000000,1796.000000,560.000000,61.000000,1175.000000,0.311804,0.000000,0.000000,0,1.000000
63,686.000000,186.000000,186,50.000000,1796.000000,484.000000,50.000000,1262.000000,0.269488,0.000000,0.000000,0,1.000000
64,1018.000000,98.000000,98,92.000000,1796.000000,210.000000,92.000000,1494.000000,0.116927,0.000000,0.000000,0,1.000000
65,788.000000,98.000000,98,69.000000,1796.000000,236.000000,69.000000,1491.000000,0.131403,0.000000,0.000000,0,1.000000
66,758.000000,268.000000,268,49.000000,1796.000000,712.000000,49.000000,1035.000000,0.396437,0.000000,0.000000,0,1.000000
67,912.000000,62.000000,62,85.000000,1796.000000,128.000000,85.000000,1583.000000,0.071269,0.000000,0.000000,0,1.000000
68,700.000000,190.000000,190,51.000000,1796.000000,492.000000,51.000000,1253.000000,0.273942,0.000000,0.000000,0,1.000000
69,950.000000,50.000000,50,90.000000,1796.000000,89.000000,90.000000,1617.000000,0.049555,0.000000,0.000000,0,1.000000
70,842.000000,212.000000,212,63.000000,1796.000000,545.000000,63.000000,1188.000000,0.303452,0.000000,0.000000,0,1.000000
71,916.000000,56.000000,56,86.000000,1796.000000,111.000000,86.000000,1599.000000,0.061804,0.000000,0.000000,0,1.000000
72,863.000000,103.000000,103,76.000000,1796.000000,243.000000,76.000000,1477.000000,0.135301,0.000000,0.000000,0,1.000000
73,867.000000,47.000000,47,82.000000,1796.000000,91.000000,82.000000,1623.000000,0.050668,0.000000,0.000000,0,1.000000
74,884.000000,54.000000,54,83.000000,1796.000000,106.000000,83.000000,1607.000000,0.059020,0.000000,0.000000,0,1.000000
75,798.000000,78.000000,78,72.000000,1796.000000,179.000000,72.000000,1545.000000,0.099666,0.000000,0.000000,0,1.000000
76,791.000000,51.000000,51,74.000000,1796.000000,105.000000,74.000000,1617.000000,0.058463,0.000000,0.000000,0,1.000000
77,811.000000,61.000000,61,75.000000,1796.000000,133.000000,75.000000,1588.000000,0.074053,0.000000,0.000000,0,1.000000
78,925.000000,195.000000,195,73.000000,1796.000000,495.000000,73.000000,1228.000000,0.275612,0.000000,0.000000,0,1.000000
79,736.000000,256.000000,256,48.000000,1796.000000,677.000000,48.000000,1071.000000,0.376949,0.000000,0.000000,0,1.000000
80,1057.000000,267.000000,267,79.000000,1796.000000,701.000000,79.000000,1016.000000,0.390312,0.000000,0.000000,0,1.000000
81,935.000000,105.000000,105,83.000000,1796.000000,246.000000,83.000000,1467.000000,0.136971,0.000000,0.000000,0,1.000000
82,962.000000,62.000000,62,90.000000,1796.000000,124.000000,90.000000,1582.000000,0.069042,0.000000,0.000000,0,1.000000
83,791.000000,291.000000,291,50.000000,1796.000000,777.000000,50.000000,969.000000,0.432628,0.000000,0.000000,0,1.000000
84,835.000000,215.000000,215,62.000000,1796.000000,553.000000,62.000000,1181.000000,0.307906,0.000000,0.000000,0,1.000000
85,966.000000,56.000000,56,91.000000,1796.000000,111.000000,91.000000,1594.000000,0.061804,0.000000,0.000000,0,1.000000
86,783.000000,53.000000,53,73.000000,1796.000000,113.000000,73.000000,1610.000000,0.062918,0.000000,0.000000,0,1.000000
87,814.000000,194.000000,194,62.000000,1796.000000,502.000000,62.000000,1232.000000,0.279510,0.000000,0.000000,0,1.000000
88,919.000000,89.000000,89,83.000000,1796.000000,196.000000,83.000000,1517.000000,0.109131,0.000000,0.000000,0,1.000000
89,835.000000,65.000000,65,77.000000,1796.000000,136.000000,77.000000,1583.000000,0.075724,0.000000,0.000000,0,1.000000
90,899.000000,89.000000,89,81.000000,1796.000000,206.000000,81.000000,1509.000000,0.114699,0.000000,0.000000,0,1.000000
91,879.000000,49.000000,49,83.000000,1796.000000,90.000000,83.000000,1623.000000,0.050111,0.000000,0.000000,0,1.000000
92,848.000000,88.000000,88,76.000000,1796.000000,199.000000,76.000000,1521.000000,0.110802,0.000000,0.000000,0,1.000000
