,FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry,best_solution,select_freq
0,0.0,,,,,,,,,,,,76146210.7964392,,,,,,,,,"POLYGON ((147.5793132786925 -19.77419400918118, 147.6502863937548 -19.73676465208617, 147.7202500171852 -19.77584033890653, 147.7192759860077 -19.85237547682076, 147.6482642226311 -19.88983409128835, 147.5782651404232 -19.85072829539401, 147.5793132786925 -19.77419400918118))",0,18
1,1.0,,,,,,,,,,,,40524764.2755047,,,,,,,,,"POLYGON ((147.7202500171852 -19.77584033890653, 147.7911876709864 -19.73835022835877, 147.8611898259338 -19.77736598063496, 147.8602899066942 -19.85390190783122, 147.7893137190152 -19.89142130854615, 147.7192759860077 -19.85237547682076, 147.7202500171852 -19.77584033890653))",0,18
2,2.0,,,,,,,,,,,,181154249.445363,,,,,,,,,"POLYGON ((147.8611898259338 -19.77736598063496, 147.9320918993754 -19.73981514591939, 148.0021324713886 -19.77877093063451, 148.0013066685647 -19.85530758468756, 147.9303661758807 -19.89288774224723, 147.8602899066942 -19.85390190783122, 147.8611898259338 -19.77736598063496))",0,18
3,3.0,,,,,,,,,,,,106351934.752169,,,,,,,,,"POLYGON ((148.0021324713886 -19.77877093063451, 148.0729988455415 -19.74115940118636, 148.1430777199715 -19.78005518546826, 148.1423260376725 -19.85659250394776, 148.0714213591104 -19.89423338879901, 148.0013066685647 -19.85530758468756, 148.0021324713886 -19.77877093063451))",0,18
4,4.0,,,,,,,,,,,,23406928.269807,,,,,,,,,"POLYGON ((148.1430777199715 -19.78005518546826, 148.2139082760776 -19.74238299087287, 148.2840253380786 -19.78121874199446, 148.2833477800451 -19.85775666246516, 148.2124790345597 -19.89545824490454, 148.1423260376725 -19.85659250394776, 148.1430777199715 -19.78005518546826))",0,18
5,5.0,,,,,,,,,,,,,,,,,,11996.1768717168,,,"POLYGON ((148.2840253380786 -19.78121874199446, 148.3548199575518 -19.74348591198696, 148.4249750920827 -19.78226159736656, 148.4243716616863 -19.85880005738894, 148.3535389680596 -19.89656230756284, 148.2833477800451 -19.85775666246516, 148.2840253380786 -19.78121874199446))",0,18
6,6.0,,,,,,,,,,,,67072157.2087865,,,,,,,,,"POLYGON ((147.5104717813243 -19.658523592907, 147.5814062531868 -19.62112345640125, 147.6512958862232 -19.66022894242639, 147.6502863937548 -19.73676465208617, 147.5793132786925 -19.77419400918118, 147.5093883010312 -19.73505842097819, 147.5104717813243 -19.658523592907))",0,18
7,7.0,,,,,,,,,,,,170718813.789112,,,,,,,,,"POLYGON ((147.6512958862232 -19.66022894242639, 147.7221950108932 -19.62276808527069, 147.7921231706156 -19.66181369943355, 147.7911876709864 -19.73835022835877, 147.7202500171852 -19.77584033890653, 147.6502863937548 -19.73676465208617, 147.6512958862232 -19.66022894242639))",0,18
8,8.0,,,,,,,,,,,,62128511.6519389,,,,,,,,,"POLYGON ((147.7921231706156 -19.66181369943355, 147.8629868291933 -19.62429215079566, 147.9329534015178 -19.66327786005786, 147.9320918993754 -19.73981514591939, 147.8611898259338 -19.77736598063496, 147.7911876709864 -19.73835022835877, 147.7921231706156 -19.66181369943355))",0,18
9,9.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.9329534015178 -19.66327786005786, 148.0037814752721 -19.62569564925538, 148.0737863459172 -19.66462142072299, 148.0729988455415 -19.74115940118636, 148.0021324713886 -19.77877093063451, 147.9320918993754 -19.73981514591939, 147.9329534015178 -19.66327786005786))",0,18
10,10.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0737863459172 -19.66462142072299, 148.1445787162866 -19.62697857722345, 148.2146217707741 -19.66584437814715, 148.2139082760776 -19.74238299087287, 148.1430777199715 -19.78005518546826, 148.0729988455415 -19.74115940118636, 148.0737863459172 -19.66462142072299))",0,18
11,11.0,,,,,,,,,,,,,,,,,,10128.3701042794,,,"POLYGON ((148.2146217707741 -19.66584437814715, 148.2853783193679 -19.62814093156765, 148.3554594430242 -19.66694672934289, 148.3548199575518 -19.74348591198696, 148.2840253380786 -19.78121874199446, 148.2139082760776 -19.74238299087287, 148.2146217707741 -19.66584437814715))",0,18
12,12.0,,,,,,,,,,,,,,,,,,279618.514689053,,,"POLYGON ((148.3554594430242 -19.66694672934289, 148.4261800516238 -19.62918270945003, 148.4962991295807 -19.6679284716175, 148.4957336565098 -19.74446816183166, 148.4249750920827 -19.78226159736656, 148.3548199575518 -19.74348591198696, 148.3554594430242 -19.66694672934289))",0,18
13,13.0,,,,,,,,,,,,15111054.508295,,,,,,,,,"POLYGON ((147.4417394973072 -19.54282291726732, 147.5126353312517 -19.50545196463021, 147.5824510928775 -19.54458719408213, 147.5814062531868 -19.62112345640125, 147.5104717813243 -19.658523592907, 147.4406207888589 -19.61935826820205, 147.4417394973072 -19.54282291726732))",0,16
14,14.0,,,,,,,,,,,,182603975.642256,,,,,,,,,"POLYGON ((147.5824510928775 -19.54458719408213, 147.6533116933313 -19.50715555360597, 147.7231659766443 -19.54623097379426, 147.7221950108932 -19.62276808527069, 147.6512958862232 -19.66022894242639, 147.5814062531868 -19.62112345640125, 147.5824510928775 -19.54458719408213))",0,18
15,15.0,,,,,,,,,,,,35951568.0605489,,,,,,,,,"POLYGON ((147.7231659766443 -19.54623097379426, 147.7939912249065 -19.50873867452975, 147.8638839161889 -19.54775425239498, 147.8629868291933 -19.62429215079566, 147.7921231706156 -19.66181369943355, 147.7221950108932 -19.62276808527069, 147.7231659766443 -19.54623097379426))",0,18
16,16.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8638839161889 -19.54775425239498, 147.9346736937261 -19.51020132354267, 148.0046046790627 -19.54915702616924, 148.0037814752721 -19.62569564925538, 147.9329534015178 -19.66327786005786, 147.8629868291933 -19.62429215079566, 147.8638839161889 -19.54775425239498))",0,18
17,17.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0046046790627 -19.54915702616924, 148.0753588675099 -19.51154349707921, 148.1453280327887 -19.55043929169577, 148.1445787162866 -19.62697857722345, 148.0737863459172 -19.66462142072299, 148.0037814752721 -19.62569564925538, 148.0046046790627 -19.54915702616924))",0,18
18,18.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.1453280327887 -19.55043929169577, 148.2160465139508 -19.51276519186764, 148.2860537448646 -19.55160104584717, 148.2853783193679 -19.62814093156765, 148.2146217707741 -19.66584437814715, 148.1445787162866 -19.62697857722345, 148.1453280327887 -19.55043929169577))",0,18
19,19.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2860537448646 -19.55160104584717, 148.3567364007172 -19.5138664049295, 148.4267815827644 -19.55264228578981, 148.4261800516238 -19.62918270945003, 148.3554594430242 -19.66694672934289, 148.2853783193679 -19.62814093156765, 148.2860537448646 -19.55160104584717))",0,18
20,20.0,,,,,,,,,,,,17455806.9546984,,,,,,,,,"POLYGON ((147.0919288893916 -19.42308464607274, 147.162855975009 -19.38586423689081, 147.2325206117034 -19.42514854778608, 147.2312930444244 -19.50168339942583, 147.1603271002647 -19.53893288983265, 147.0906275840129 -19.49961843238225, 147.0919288893916 -19.42308464607274))",0,18
21,21.0,,,,,,,,,,,,21646436.5207734,,,,,,,,,"POLYGON ((147.2325206117034 -19.42514854778608, 147.3034128146648 -19.38786742616448, 147.3731161939888 -19.42709205690187, 147.3719623708874 -19.50362791175484, 147.3010314223193 -19.54093814765215, 147.2312930444244 -19.50168339942583, 147.2325206117034 -19.42514854778608))",0,18
22,22.0,,,,,,,,,,,,35248463.2435654,,,,,,,,,"POLYGON ((147.3731161939888 -19.42709205690187, 147.4439733954631 -19.38975025147531, 147.5137154044626 -19.42891516868818, 147.5126353312517 -19.50545196463021, 147.4417394973072 -19.54282291726732, 147.3719623708874 -19.50362791175484, 147.3731161939888 -19.42709205690187))",0,18
23,23.0,,,,,,,,,,,,141508968.252377,,,,,,,,,"POLYGON ((147.5137154044626 -19.42891516868818, 147.5845374857826 -19.39151270824116, 147.6543180113036 -19.43061787870593, 147.6533116933313 -19.50715555360597, 147.5824510928775 -19.54458719408213, 147.5126353312517 -19.50545196463021, 147.5137154044626 -19.42891516868818))",0,17
24,24.0,,,,,,,,,,,,1754350.25191392,,,,,,,,,"POLYGON ((147.6543180113036 -19.43061787870593, 147.7251048539671 -19.39315479217266, 147.7949237826569 -19.43220018280907, 147.7939912249065 -19.50873867452975, 147.7231659766443 -19.54623097379426, 147.6533116933313 -19.50715555360597, 147.6543180113036 -19.43061787870593))",0,19
25,25.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.7949237826569 -19.43220018280907, 147.8656752683281 -19.39467649927332, 147.9355324866364 -19.43366207714437, 147.9346736937261 -19.51020132354267, 147.8638839161889 -19.54775425239498, 147.7939912249065 -19.50873867452975, 147.7949237826569 -19.43220018280907))",0,19
26,26.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.9355324866364 -19.43366207714437, 148.0062484971469 -19.39607782583935, 148.076143891327 -19.43500355815189, 148.0753588675099 -19.51154349707921, 148.0046046790627 -19.54915702616924, 147.9346736937261 -19.51020132354267, 147.9355324866364 -19.43366207714437))",0,19
27,27.0,,,,,,,,,,,,,,,,,9189314.51990268,,,,"POLYGON ((148.076143891327 -19.43500355815189, 148.1468243086769 -19.39735876845989, 148.2167577647868 -19.43622462256481, 148.2160465139508 -19.51276519186764, 148.1453280327887 -19.55043929169577, 148.0753588675099 -19.51154349707921, 148.076143891327 -19.43500355815189))",0,19
28,28.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2167577647868 -19.43622462256481, 148.2874024711461 -19.39851932401697, 148.3573738750494 -19.43732526740922, 148.3567364007172 -19.5138664049295, 148.2860537448646 -19.55160104584717, 148.2160465139508 -19.51276519186764, 148.2167577647868 -19.43622462256481))",0,19
29,29.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.3573738750494 -19.43732526740922, 148.4279827527591 -19.3995594896856, 148.4979919901263 -19.43830549000473, 148.4974282954554 -19.51484713358036, 148.4267815827644 -19.55264228578981, 148.3567364007172 -19.5138664049295, 148.3573738750494 -19.43732526740922))",0,19
