"planning_unit","number"
321,14
320,1
319,3
318,1
317,5
316,0
315,6
314,0
313,0
312,1
311,1
310,0
309,0
308,0
307,0
306,0
305,0
304,9
303,0
302,0
301,0
300,0
299,7
298,0
297,1
296,1
295,2
294,0
293,2
292,0
291,0
290,0
289,1
288,4
287,0
286,0
285,0
284,0
283,0
282,0
281,1
280,2
279,2
278,1
277,0
276,2
275,1
274,0
273,0
272,6
271,1
270,7
269,3
268,1
267,0
266,0
265,0
264,2
263,0
262,0
261,10
260,1
259,0
258,0
257,0
256,0
255,1
254,4
253,0
252,1
251,0
250,0
249,3
248,0
247,8
246,0
245,2
244,0
243,0
242,1
241,2
240,1
239,3
238,0
237,1
236,0
235,0
234,0
233,0
232,0
231,1
230,1
229,0
228,2
227,1
226,1
225,2
224,1
223,0
222,1
221,3
220,0
219,1
218,0
217,2
216,0
215,1
214,1
213,0
212,0
211,1
210,1
209,3
208,2
207,1
206,0
205,2
204,2
203,1
202,0
201,0
200,0
199,0
198,2
197,0
196,3
195,0
194,0
193,2
192,0
191,0
190,1
189,1
188,1
187,16
186,0
185,2
184,0
183,0
182,0
181,4
180,0
179,1
178,0
177,0
176,0
175,0
174,0
173,0
172,0
171,1
170,0
169,0
168,0
167,0
166,0
165,0
164,0
163,1
162,2
161,0
160,2
159,1
158,0
157,0
156,0
155,0
154,0
153,0
152,0
151,0
150,0
149,11
148,0
147,0
146,3
145,0
144,1
143,0
142,0
141,0
140,4
139,0
138,0
137,10
136,1
135,0
134,1
133,0
132,0
131,1
130,1
129,3
128,0
127,0
126,1
125,0
124,3
123,0
122,2
121,0
120,4
119,1
118,0
117,0
116,0
115,0
114,8
113,0
112,0
111,1
110,0
109,1
108,0
107,2
106,1
105,1
104,2
103,0
102,0
101,7
100,1
99,0
98,0
97,0
96,0
95,0
94,1
93,0
92,3
91,0
90,0
89,0
88,0
87,0
86,1
85,1
84,0
83,0
82,1
81,1
80,0
79,0
78,1
77,0
76,3
75,0
74,0
73,1
72,0
71,0
70,2
69,0
68,1
67,0
66,2
65,0
64,0
63,0
62,0
61,4
60,0
59,0
58,0
57,0
56,1
55,2
54,0
53,2
52,0
51,1
50,0
49,0
48,0
47,1
46,0
45,0
44,1
43,2
42,2
41,0
40,1
39,0
38,0
37,0
36,4
35,0
34,5
33,0
32,0
31,2
30,0
29,1
28,2
27,0
26,7
25,1
24,4
23,0
22,0
21,0
20,1
19,4
18,0
17,0
16,0
15,0
14,0
13,0
12,0
11,0
10,2
9,0
8,1
7,17
6,2
5,0
4,0
3,0
2,0
1,18
