"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,54427485.995541,0,4,0,0,yes,1.000000
19,,102797716.068924,135573758.039320,0,7,0,0,yes,1.000000
18,,3456201.354849,16266129.690893,0,2,0,0,yes,1.000000
17,,227195960.353977,228178340.840635,0,7,0,0,yes,1.000000
16,,148175890.094612,174782768.353362,0,7,0,0,yes,1.000000
15,,13102763.391318,25591649.676643,0,5,0,0,yes,1.000000
14,,6001996.155702,7179443.406028,0,3,0,0,yes,1.000000
13,,8931772.451034,9058544.230780,0,4,0,0,yes,1.000000
12,,352533215.344209,363333990.852678,0,7,0,0,yes,1.000000
11,,501908512.966683,534454892.684895,0,6,0,0,yes,1.000000
10,,551448418.822755,610202558.133657,0,5,0,0,yes,1.000000
9,,6062635.478561,8525988.109394,0,2,0,0,yes,1.000000
8,,1170071012.657410,1190162774.935625,0,9,0,0,yes,1.000000
7,,376396272.768339,383405704.583670,0,5,0,0,yes,1.000000
6,,283242187.381411,300951467.696611,0,3,0,0,yes,1.000000
5,,501694534.627578,518576076.322185,0,6,0,0,yes,1.000000
4,,145211448.600232,151895733.152280,0,2,0,0,yes,1.000000
3,,746665780.128168,885758778.912854,0,10,0,0,yes,1.000000
2,,213197082.166299,214497697.060369,0,3,0,0,yes,1.000000
1,,111056428.065240,133025732.491775,0,2,0,0,yes,1.000000
