"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,3
644,3
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,1
633,2
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,0
622,3
621,3
620,0
619,0
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,0
610,1
609,4
608,0
607,1
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,2
598,2
597,2
596,0
595,0
594,2
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,0
585,0
584,1
583,0
582,0
581,1
580,0
579,0
578,0
577,0
576,0
575,0
574,0
573,0
572,4
571,0
570,0
569,0
568,0
567,3
566,0
565,0
564,0
563,0
562,0
561,1
560,6
559,1
558,0
557,0
556,0
555,0
554,0
553,1
552,0
551,0
550,0
549,0
548,1
547,1
546,2
545,1
544,0
543,0
542,0
541,0
540,1
539,1
538,1
537,0
536,1
535,0
534,4
533,2
532,3
531,8
530,6
529,3
528,1
527,8
526,0
525,0
524,2
523,0
522,0
521,1
520,5
519,3
518,4
517,3
516,3
515,2
514,3
513,3
512,9
511,3
510,0
509,0
508,2
507,0
506,0
505,1
504,2
503,7
502,3
501,0
500,2
499,2
498,5
497,0
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,0
488,3
487,5
486,5
485,0
484,12
483,1
482,4
481,0
480,0
479,0
478,0
477,0
476,0
475,0
474,1
473,1
472,1
471,0
470,1
469,6
468,2
467,0
466,0
465,0
464,0
463,0
462,0
461,4
460,1
459,1
458,2
457,0
456,0
455,1
454,2
453,1
452,1
451,2
450,2
449,0
448,0
447,2
446,2
445,0
444,0
443,0
442,0
441,0
440,1
439,3
438,3
437,0
436,0
435,0
434,1
433,2
432,2
431,0
430,0
429,0
428,0
427,1
426,2
425,1
424,0
423,0
422,0
421,0
420,0
419,2
418,1
417,1
416,0
415,0
414,0
413,0
412,0
411,1
410,1
409,4
408,4
407,0
406,0
405,0
404,0
403,1
402,2
401,5
400,5
399,0
398,0
397,0
396,0
395,2
394,0
393,3
392,0
391,0
390,0
389,0
388,0
387,3
386,3
385,3
384,2
383,0
382,0
381,0
380,0
379,4
378,3
377,0
376,2
375,0
374,0
373,0
372,0
371,3
370,3
369,4
368,5
367,0
366,0
365,0
364,0
363,0
362,5
361,4
360,4
359,0
358,0
357,0
356,0
355,0
354,1
353,2
352,2
351,1
350,4
349,0
348,0
347,0
346,0
345,0
344,0
343,1
342,2
341,0
340,2
339,5
338,0
337,0
336,0
335,2
334,3
333,4
332,1
331,1
330,5
329,0
328,0
327,0
326,4
325,2
324,3
323,1
322,4
321,1
320,0
319,0
318,0
317,5
316,3
315,1
314,2
313,0
312,0
311,0
310,0
309,0
308,2
307,4
306,1
305,4
304,0
303,0
302,0
301,0
300,2
299,3
298,7
297,1
296,0
295,0
294,0
293,0
292,3
291,3
290,1
289,5
288,1
287,0
286,0
285,0
284,0
283,2
282,3
281,3
280,3
279,0
278,0
277,0
276,1
275,4
274,0
273,1
272,0
271,0
270,0
269,0
268,0
267,6
266,3
265,0
264,2
263,0
262,0
261,0
260,0
259,0
258,0
257,4
256,4
255,2
254,0
253,0
252,0
251,0
250,0
249,0
248,0
247,1
246,2
245,1
244,1
243,7
242,0
241,0
240,0
239,0
238,0
237,0
236,7
235,2
234,0
233,0
232,0
231,1
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,2
222,1
221,1
220,0
219,0
218,2
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,1
209,5
208,2
207,3
206,0
205,0
204,3
203,2
202,0
201,0
200,0
199,0
198,0
197,0
196,0
195,0
194,3
193,4
192,3
191,4
190,0
189,0
188,2
187,5
186,1
185,0
184,0
183,0
182,0
181,0
180,0
179,0
178,0
177,0
176,2
175,4
174,2
173,5
172,1
171,0
170,0
169,4
168,1
167,0
166,0
165,0
164,0
163,0
162,2
161,6
160,3
159,0
158,1
157,1
156,1
155,1
154,0
153,0
152,1
151,0
150,0
149,0
148,0
147,0
146,1
145,5
144,1
143,2
142,0
141,0
140,1
139,2
138,0
137,0
136,2
135,0
134,1
133,0
132,0
131,1
130,3
129,3
128,2
127,3
126,2
125,0
124,1
123,0
122,0
121,0
120,5
119,4
118,0
117,0
116,0
115,6
114,6
113,3
112,4
111,2
110,0
109,0
108,0
107,0
106,0
105,0
104,14
103,2
102,6
101,2
100,4
99,1
98,0
97,2
96,1
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,3
87,0
86,0
85,0
84,0
83,3
82,3
81,1
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,2
72,4
71,1
70,1
69,1
68,3
67,0
66,1
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,5
57,3
56,5
55,0
54,0
53,0
52,3
51,0
50,0
49,0
48,0
47,0
46,0
45,2
44,1
43,4
42,0
41,0
40,0
39,0
38,1
37,0
36,0
35,0
34,0
33,2
32,1
31,0
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,3
22,0
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,3
13,1
12,0
11,0
10,0
9,0
8,0
7,5
6,0
5,0
4,0
3,1
2,4
1,0
0,2
