"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,32116014.158080,0,8,0,0,yes,1.000000
19,,102797716.068924,113538024.349094,0,4,0,0,yes,1.000000
18,,3456201.354849,4108633.917911,0,2,0,0,yes,1.000000
17,,227195960.353977,228483971.494571,0,10,0,0,yes,1.000000
16,,148175890.094612,169525696.563038,0,4,0,0,yes,1.000000
15,,13102763.391318,15073807.898880,0,4,0,0,yes,1.000000
14,,6001996.155702,18782200.057123,0,5,0,0,yes,1.000000
13,,8931772.451034,8957596.927535,0,2,0,0,yes,1.000000
12,,352533215.344209,353864870.378004,0,4,0,0,yes,1.000000
11,,501908512.966683,567023580.551029,0,6,0,0,yes,1.000000
10,,551448418.822755,588674605.268222,0,4,0,0,yes,1.000000
9,,6062635.478561,17927962.223366,0,3,0,0,yes,1.000000
8,,1170071012.657410,1279222528.019787,0,11,0,0,yes,1.000000
7,,376396272.768339,392281445.379867,0,4,0,0,yes,1.000000
6,,283242187.381411,336938123.747981,0,5,0,0,yes,1.000000
5,,501694534.627578,507981244.013928,0,6,0,0,yes,1.000000
4,,145211448.600232,158001876.069477,0,2,0,0,yes,1.000000
3,,746665780.128168,751021022.690740,0,11,0,0,yes,1.000000
2,,213197082.166299,300152763.995071,0,2,0,0,yes,1.000000
1,,111056428.065240,115921993.741774,0,3,0,0,yes,1.000000
