"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,1
644,5
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,1
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,0
622,3
621,0
620,0
619,1
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,0
610,3
609,2
608,0
607,0
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,0
598,3
597,2
596,0
595,0
594,1
593,0
592,0
591,0
590,0
589,0
588,0
587,0
586,3
585,1
584,0
583,0
582,0
581,0
580,0
579,0
578,0
577,0
576,0
575,0
574,0
573,1
572,4
571,0
570,0
569,0
568,0
567,0
566,0
565,0
564,0
563,0
562,0
561,0
560,2
559,4
558,4
557,0
556,0
555,0
554,0
553,1
552,0
551,0
550,0
549,0
548,0
547,3
546,4
545,0
544,1
543,0
542,0
541,0
540,1
539,4
538,1
537,0
536,0
535,1
534,2
533,1
532,2
531,9
530,5
529,8
528,3
527,6
526,0
525,2
524,1
523,2
522,0
521,1
520,4
519,2
518,2
517,1
516,0
515,2
514,2
513,1
512,5
511,1
510,0
509,0
508,0
507,0
506,0
505,1
504,4
503,5
502,3
501,2
500,2
499,5
498,6
497,0
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,1
488,1
487,5
486,3
485,3
484,3
483,3
482,2
481,4
480,0
479,0
478,0
477,0
476,0
475,0
474,3
473,0
472,1
471,1
470,0
469,4
468,3
467,1
466,0
465,0
464,0
463,3
462,4
461,2
460,1
459,3
458,4
457,0
456,0
455,1
454,3
453,2
452,0
451,2
450,2
449,0
448,0
447,1
446,4
445,2
444,0
443,0
442,0
441,0
440,4
439,2
438,1
437,0
436,0
435,0
434,1
433,3
432,1
431,1
430,0
429,0
428,0
427,1
426,0
425,4
424,1
423,0
422,0
421,0
420,1
419,1
418,2
417,5
416,1
415,0
414,0
413,0
412,0
411,0
410,0
409,3
408,3
407,0
406,0
405,0
404,0
403,2
402,3
401,6
400,5
399,0
398,0
397,0
396,1
395,2
394,0
393,5
392,1
391,0
390,0
389,0
388,0
387,3
386,1
385,1
384,1
383,0
382,0
381,0
380,0
379,2
378,0
377,2
376,1
375,0
374,0
373,0
372,0
371,1
370,2
369,3
368,2
367,0
366,0
365,0
364,0
363,0
362,3
361,5
360,1
359,0
358,0
357,0
356,0
355,0
354,2
353,7
352,2
351,0
350,4
349,0
348,0
347,0
346,0
345,0
344,1
343,2
342,1
341,1
340,1
339,2
338,0
337,0
336,0
335,1
334,2
333,3
332,3
331,2
330,2
329,0
328,0
327,0
326,5
325,3
324,5
323,1
322,2
321,0
320,0
319,0
318,1
317,3
316,1
315,4
314,1
313,0
312,0
311,0
310,0
309,1
308,2
307,4
306,6
305,1
304,0
303,0
302,0
301,0
300,4
299,1
298,3
297,1
296,0
295,0
294,0
293,0
292,3
291,3
290,0
289,1
288,0
287,0
286,0
285,0
284,0
283,3
282,2
281,1
280,1
279,0
278,0
277,0
276,2
275,0
274,0
273,0
272,0
271,0
270,0
269,0
268,0
267,6
266,1
265,1
264,4
263,0
262,0
261,0
260,0
259,0
258,0
257,5
256,3
255,4
254,1
253,1
252,0
251,0
250,0
249,0
248,0
247,6
246,1
245,2
244,1
243,10
242,0
241,0
240,0
239,0
238,0
237,1
236,3
235,2
234,2
233,0
232,0
231,0
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,3
222,3
221,4
220,0
219,0
218,5
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,1
209,2
208,5
207,4
206,0
205,0
204,1
203,2
202,0
201,0
200,0
199,0
198,0
197,0
196,0
195,0
194,3
193,0
192,4
191,2
190,0
189,0
188,2
187,6
186,0
185,0
184,0
183,0
182,0
181,0
180,0
179,1
178,1
177,0
176,4
175,1
174,2
173,4
172,1
171,0
170,3
169,3
168,0
167,0
166,0
165,0
164,0
163,0
162,4
161,3
160,0
159,1
158,5
157,1
156,2
155,1
154,0
153,3
152,1
151,1
150,0
149,0
148,0
147,0
146,3
145,3
144,1
143,1
142,3
141,5
140,3
139,2
138,0
137,0
136,1
135,1
134,0
133,0
132,0
131,2
130,2
129,4
128,0
127,2
126,2
125,1
124,0
123,0
122,0
121,0
120,7
119,5
118,0
117,0
116,0
115,3
114,3
113,3
112,1
111,0
110,3
109,3
108,1
107,0
106,0
105,0
104,12
103,2
102,1
101,1
100,3
99,2
98,3
97,1
96,1
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,0
87,1
86,0
85,0
84,0
83,0
82,1
81,2
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,1
72,1
71,4
70,0
69,2
68,4
67,1
66,1
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,6
57,2
56,3
55,0
54,0
53,0
52,3
51,0
50,0
49,0
48,0
47,0
46,1
45,0
44,2
43,2
42,1
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,1
33,6
32,4
31,0
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,3
22,0
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,4
13,0
12,0
11,0
10,0
9,0
8,0
7,4
6,0
5,0
4,0
3,2
2,5
1,0
0,1
