id,name,sepdistance,sepnum,spf,target,target2,targetocc,type
1,BIORE_3,0,0,1000,79138000,0,0,0
2,BIORE_4,0,0,1000,17408000,0,0,0
3,BIORE_13,0,0,1000,1713000,0,0,0
4,BIORE_15,0,0,1000,1458000,0,0,0
5,BIORE_16,0,0,1000,1726000,0,0,0
6,BIORE_23,0,0,1000,10969000,0,0,0
7,BIORE_26,0,0,1000,141523000,0,0,0
8,BIORE_27,0,0,1000,155863000,0,0,0
9,BIORE_29,0,0,1000,1527000,0,0,0
10,BIORE_102,0,0,1000,1000,0,0,0
11,BIORE_103,0,0,1000,1000,0,0,0
12,BIORE_114,0,0,1000,4000,0,0,0
13,BIORE_116,0,0,1000,7000,0,0,0
14,BIORE_117,0,0,1000,17000,0,0,0
15,BIORE_118,0,0,1000,11000,0,0,0
16,BIORE_119,0,0,1000,1000,0,0,0
17,BIORE_121,0,0,1000,15000,0,0,0
18,BIORE_132,0,0,1000,3000,0,0,0
19,BIORE_142,0,0,1000,8000,0,0,0
20,BIORE_147,0,0,1000,2000,0,0,0
21,depth500_0to7,0,0,1000,25.21529,0,0,0
22,depth500_7to10,0,0,1000,47.07488,0,0,0
23,depth500_10to15,0,0,1000,111.3857,0,0,0
24,depth500_15to30,0,0,1000,208.627,0,0,0
25,depth500_30more,0,0,1000,83.9606,0,0,0
26,out_degree_demo_pu,0,0,1000,0,0,0,0
27,between_cent_demo_pu,0,0,1000,0,0,0,0
28,fa_recipients_demo_pu,0,0,1000,0,0,0,0
29,self_recruit_demo_pu,0,0,1000,0,0,0,0
30,google_demo_pu,0,0,1000,0,0,0,0
31,outflow_demo_pu,0,0,1000,0,0,0,0
32,fa_donors_demo_pu,0,0,1000,0,0,0,0
33,in_degree_demo_pu,0,0,1000,0,0,0,0
34,aa_recipients_demo_pu,0,0,1000,0,0,0,0
35,inflow_demo_pu,0,0,1000,0,0,0,0
36,eig_vect_cent_demo_pu,0,0,1000,0,0,0,0
37,aa_donors_demo_pu,0,0,1000,2056.34520311478,0,0,0
38,local_retention_demo_pu,0,0,1000,0,0,0,0
