"planning_unit","number"
321,3
320,0
319,4
318,2
317,20
316,1
315,2
314,2
313,0
312,1
311,0
310,0
309,3
308,0
307,1
306,0
305,0
304,7
303,1
302,1
301,0
300,4
299,7
298,0
297,5
296,2
295,4
294,4
293,1
292,3
291,3
290,1
289,0
288,5
287,1
286,1
285,0
284,1
283,0
282,0
281,2
280,1
279,4
278,2
277,2
276,0
275,2
274,1
273,1
272,8
271,1
270,0
269,0
268,0
267,6
266,3
265,1
264,3
263,0
262,0
261,6
260,4
259,2
258,2
257,1
256,2
255,6
254,1
253,1
252,2
251,5
250,0
249,4
248,0
247,10
246,0
245,1
244,1
243,0
242,3
241,1
240,1
239,3
238,0
237,4
236,0
235,4
234,2
233,1
232,1
231,3
230,0
229,2
228,1
227,2
226,0
225,0
224,0
223,1
222,2
221,2
220,2
219,1
218,0
217,1
216,2
215,3
214,2
213,0
212,1
211,1
210,2
209,2
208,1
207,0
206,0
205,1
204,3
203,0
202,4
201,3
200,1
199,1
198,12
197,0
196,1
195,0
194,2
193,2
192,2
191,2
190,1
189,5
188,1
187,1
186,0
185,7
184,1
183,0
182,0
181,0
180,2
179,0
178,3
177,0
176,0
175,1
174,1
173,2
172,1
171,1
170,3
169,1
168,0
167,0
166,3
165,1
164,1
163,1
162,2
161,1
160,1
159,5
158,2
157,2
156,1
155,2
154,3
153,1
152,3
151,1
150,1
149,5
148,1
147,1
146,0
145,2
144,4
143,20
142,2
141,2
140,7
139,2
138,1
137,1
136,1
135,0
134,1
133,1
132,1
131,0
130,2
129,1
128,1
127,0
126,0
125,6
124,1
123,0
122,5
121,3
120,0
119,2
118,2
117,0
116,2
115,0
114,4
113,1
112,1
111,0
110,3
109,2
108,1
107,1
106,1
105,0
104,6
103,1
102,2
101,2
100,5
99,2
98,2
97,5
96,2
95,2
94,2
93,1
92,1
91,0
90,6
89,1
88,0
87,0
86,2
85,2
84,0
83,2
82,3
81,3
80,1
79,1
78,3
77,3
76,3
75,0
74,2
73,1
72,0
71,0
70,2
69,1
68,0
67,1
66,8
65,0
64,2
63,0
62,4
61,3
60,2
59,1
58,0
57,3
56,1
55,1
54,1
53,0
52,7
51,0
50,3
49,0
48,1
47,1
46,2
45,0
44,2
43,2
42,0
41,1
40,1
39,3
38,3
37,2
36,1
35,2
34,2
33,1
32,2
31,5
30,1
29,3
28,0
27,0
26,5
25,4
24,5
23,3
22,2
21,2
20,7
19,8
18,3
17,0
16,0
15,2
14,1
13,4
12,0
11,12
10,3
9,3
8,1
7,0
6,0
5,20
4,2
3,1
2,1
1,20
