"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.084216,0,127,0,0,,1.000000
37,,4112.690406,4114.607786,0,127,0,0,yes,1.000000
36,,0.000000,127.000000,0,127,0,0,,1.000000
35,,0.000000,120.340778,0,127,0,0,,1.000000
34,,0.000000,6222.402395,0,126,0,0,,1.000000
33,,0.000000,22750.000000,0,127,0,0,,1.000000
32,,0.000000,95.932979,0,127,0,0,,1.000000
31,,0.000000,95.932979,0,127,0,0,,1.000000
30,,0.000000,0.334902,0,127,0,0,,1.000000
29,,0.000000,0.202938,0,127,0,0,,1.000000
28,,0.000000,120.340778,0,127,0,0,,1.000000
27,,0.000000,19824.466337,0,127,0,0,,1.000000
26,,0.000000,22750.000000,0,127,0,0,,1.000000
25,,83.960600,276.812000,0,7,0,0,yes,1.000000
24,,208.627000,810.353000,0,39,0,0,yes,1.000000
23,,111.385700,419.064000,0,34,0,0,yes,1.000000
22,,47.074880,191.546700,0,22,0,0,yes,1.000000
21,,25.215290,100.468200,0,17,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,3,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,70000.000000,0,6,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,60000.000000,0,5,0,0,yes,1.000000
14,,17000.000000,60000.000000,0,4,0,0,yes,1.000000
13,,7000.000000,40000.000000,0,3,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,11550000.000000,0,6,0,0,yes,1.000000
8,,155863000.000000,262900000.000000,0,23,0,0,yes,1.000000
7,,141523000.000000,440290000.000000,0,31,0,0,yes,1.000000
6,,10969000.000000,49430000.000000,0,19,0,0,yes,1.000000
5,,1726000.000000,10440000.000000,0,9,0,0,yes,1.000000
4,,1458000.000000,7700000.000000,0,14,0,0,yes,1.000000
3,,1713000.000000,11840000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,85740000.000000,0,9,0,0,yes,1.000000
1,,79138000.000000,331350000.000000,0,20,0,0,yes,1.000000
