"planning_unit","solution"
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,0
286,0
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,0
319,0
320,0
321,1
