"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.176545,0,191,0,0,,1.000000
37,,6169.035609,6172.593492,0,191,0,0,yes,1.000000
36,,0.000000,191.000000,0,191,0,0,,1.000000
35,,0.000000,150.019841,0,191,0,0,,1.000000
34,,0.000000,9389.067030,0,191,0,0,,1.000000
33,,0.000000,34399.000000,0,191,0,0,,1.000000
32,,0.000000,159.794049,0,191,0,0,,1.000000
31,,0.000000,159.794049,0,191,0,0,,1.000000
30,,0.000000,0.543016,0,191,0,0,,1.000000
29,,0.000000,0.331011,0,191,0,0,,1.000000
28,,0.000000,150.019841,0,191,0,0,,1.000000
27,,0.000000,31903.003662,0,190,0,0,,1.000000
26,,0.000000,34399.000000,0,191,0,0,,1.000000
25,,83.960600,524.094000,0,12,0,0,yes,1.000000
24,,208.627000,1218.903000,0,57,0,0,yes,1.000000
23,,111.385700,642.539000,0,52,0,0,yes,1.000000
22,,47.074880,297.032000,0,35,0,0,yes,1.000000
21,,25.215290,163.353000,0,27,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,60000.000000,0,5,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,70000.000000,0,6,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,90000.000000,0,6,0,0,yes,1.000000
14,,17000.000000,110000.000000,0,10,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,4540000.000000,0,4,0,0,yes,1.000000
8,,155863000.000000,737760000.000000,0,41,0,0,yes,1.000000
7,,141523000.000000,617190000.000000,0,49,0,0,yes,1.000000
6,,10969000.000000,82710000.000000,0,30,0,0,yes,1.000000
5,,1726000.000000,16070000.000000,0,15,0,0,yes,1.000000
4,,1458000.000000,8850000.000000,0,13,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,108290000.000000,0,14,0,0,yes,1.000000
1,,79138000.000000,537400000.000000,0,32,0,0,yes,1.000000
