"planning_unit","solution"
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,1
