"planning_unit","number"
321,4
320,0
319,9
318,1
317,20
316,2
315,3
314,0
313,3
312,1
311,0
310,0
309,4
308,0
307,1
306,0
305,0
304,7
303,1
302,1
301,2
300,5
299,4
298,4
297,1
296,1
295,5
294,5
293,1
292,1
291,1
290,0
289,1
288,1
287,0
286,2
285,1
284,1
283,2
282,0
281,2
280,0
279,2
278,0
277,1
276,3
275,0
274,0
273,0
272,4
271,1
270,1
269,1
268,1
267,3
266,3
265,1
264,0
263,0
262,3
261,6
260,1
259,0
258,0
257,1
256,0
255,5
254,2
253,3
252,0
251,2
250,0
249,0
248,0
247,12
246,0
245,5
244,0
243,0
242,3
241,5
240,0
239,0
238,3
237,1
236,1
235,1
234,0
233,1
232,1
231,7
230,0
229,4
228,1
227,1
226,1
225,1
224,2
223,2
222,3
221,1
220,3
219,0
218,1
217,5
216,2
215,3
214,2
213,1
212,1
211,0
210,1
209,0
208,2
207,1
206,2
205,0
204,4
203,3
202,5
201,3
200,1
199,0
198,9
197,0
196,2
195,1
194,1
193,4
192,1
191,4
190,1
189,2
188,0
187,1
186,1
185,12
184,1
183,1
182,0
181,0
180,1
179,0
178,1
177,0
176,1
175,1
174,0
173,2
172,1
171,1
170,3
169,3
168,3
167,0
166,2
165,1
164,1
163,2
162,0
161,0
160,0
159,0
158,3
157,3
156,3
155,0
154,3
153,2
152,2
151,0
150,0
149,2
148,0
147,1
146,0
145,3
144,2
143,20
142,1
141,0
140,10
139,1
138,0
137,2
136,4
135,0
134,1
133,2
132,0
131,1
130,1
129,3
128,1
127,1
126,0
125,2
124,1
123,1
122,6
121,1
120,2
119,6
118,1
117,2
116,1
115,0
114,1
113,1
112,1
111,0
110,7
109,1
108,0
107,2
106,1
105,1
104,4
103,1
102,0
101,1
100,4
99,2
98,0
97,4
96,2
95,3
94,2
93,2
92,0
91,1
90,1
89,0
88,2
87,2
86,1
85,1
84,2
83,2
82,3
81,2
80,0
79,1
78,3
77,2
76,1
75,0
74,1
73,0
72,2
71,0
70,0
69,1
68,3
67,0
66,4
65,0
64,1
63,1
62,1
61,1
60,1
59,2
58,0
57,0
56,1
55,0
54,2
53,0
52,5
51,0
50,3
49,1
48,0
47,0
46,0
45,1
44,3
43,2
42,1
41,2
40,2
39,0
38,1
37,2
36,2
35,1
34,1
33,0
32,1
31,1
30,2
29,1
28,0
27,0
26,9
25,1
24,7
23,2
22,3
21,1
20,3
19,6
18,1
17,4
16,1
15,1
14,2
13,3
12,2
11,19
10,2
9,6
8,1
7,4
6,1
5,20
4,1
3,0
2,2
1,20
