"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
2,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
3,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
4,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
5,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
6,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
7,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
8,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
9,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
10,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
11,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
12,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
13,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
14,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
15,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
16,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
17,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
18,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
19,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
20,320.000000,320.000000,320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
