"planning_unit","solution"
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,1
