"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.309940,0,287,0,0,,1.000000
37,,0.000000,9218.084183,0,286,0,0,,1.000000
36,,0.000000,287.000000,0,287,0,0,,1.000000
35,,0.000000,228.225553,0,287,0,0,,1.000000
34,,14103.896839,14105.375311,0,287,0,0,yes,1.000000
33,,0.000000,51956.000000,0,287,0,0,,1.000000
32,,0.000000,297.072616,0,287,0,0,,1.000000
31,,0.000000,297.072616,0,287,0,0,,1.000000
30,,0.000000,0.795493,0,287,0,0,,1.000000
29,,0.000000,0.587959,0,287,0,0,,1.000000
28,,0.000000,228.225553,0,287,0,0,,1.000000
27,,0.000000,53132.809159,0,285,0,0,,1.000000
26,,0.000000,51956.000000,0,287,0,0,,1.000000
25,,83.960600,662.728000,0,18,0,0,yes,1.000000
24,,208.627000,1872.455000,0,88,0,0,yes,1.000000
23,,111.385700,1033.323000,0,83,0,0,yes,1.000000
22,,47.074880,411.890900,0,48,0,0,yes,1.000000
21,,25.215290,224.199200,0,37,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,80000.000000,0,7,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,130000.000000,0,12,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,80000.000000,0,7,0,0,yes,1.000000
14,,17000.000000,130000.000000,0,12,0,0,yes,1.000000
13,,7000.000000,70000.000000,0,5,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,14050000.000000,0,9,0,0,yes,1.000000
8,,155863000.000000,1333560000.000000,0,63,0,0,yes,1.000000
7,,141523000.000000,950230000.000000,0,73,0,0,yes,1.000000
6,,10969000.000000,106570000.000000,0,42,0,0,yes,1.000000
5,,1726000.000000,16000000.000000,0,16,0,0,yes,1.000000
4,,1458000.000000,12790000.000000,0,21,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,126290000.000000,0,21,0,0,yes,1.000000
1,,79138000.000000,707520000.000000,0,50,0,0,yes,1.000000
