"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.049760,0,38,0,0,,1.000000
37,,0.000000,1195.270467,0,38,0,0,,1.000000
36,,0.000000,38.000000,0,38,0,0,,1.000000
35,,0.000000,89.500959,0,38,0,0,,1.000000
34,,0.000000,1808.328191,0,37,0,0,,1.000000
33,,0.000000,7171.000000,0,38,0,0,,1.000000
32,,0.000000,64.577629,0,38,0,0,,1.000000
31,,0.000000,64.577629,0,38,0,0,,1.000000
30,,0.000000,0.145601,0,38,0,0,,1.000000
29,,0.000000,0.099485,0,38,0,0,,1.000000
28,,0.000000,89.500959,0,38,0,0,,1.000000
27,,17359.200000,17427.634730,0,38,0,0,yes,1.000000
26,,0.000000,7171.000000,0,38,0,0,,1.000000
25,,83.960600,111.886000,0,3,0,0,yes,1.000000
24,,208.627000,217.473000,0,11,0,0,yes,1.000000
23,,111.385700,126.530000,0,10,0,0,yes,1.000000
22,,47.074880,70.492800,0,8,0,0,yes,1.000000
21,,25.215290,25.477100,0,4,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,1,0,0,yes,1.000000
14,,17000.000000,60000.000000,0,4,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,235650000.000000,0,14,0,0,yes,1.000000
7,,141523000.000000,327210000.000000,0,7,0,0,yes,1.000000
6,,10969000.000000,18290000.000000,0,3,0,0,yes,1.000000
5,,1726000.000000,6290000.000000,0,2,0,0,yes,1.000000
4,,1458000.000000,2560000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,31290000.000000,0,6,0,0,yes,1.000000
1,,79138000.000000,169990000.000000,0,4,0,0,yes,1.000000
