"planning_unit","number"
321,2
320,0
319,0
318,0
317,20
316,0
315,1
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,7
303,0
302,1
301,0
300,3
299,9
298,0
297,0
296,0
295,1
294,0
293,0
292,0
291,2
290,0
289,0
288,1
287,0
286,0
285,0
284,0
283,0
282,0
281,1
280,0
279,1
278,0
277,0
276,0
275,0
274,0
273,0
272,2
271,0
270,0
269,0
268,0
267,1
266,0
265,1
264,0
263,0
262,0
261,0
260,0
259,0
258,0
257,0
256,0
255,5
254,0
253,0
252,0
251,2
250,1
249,0
248,0
247,8
246,0
245,0
244,1
243,0
242,0
241,0
240,0
239,0
238,6
237,1
236,0
235,3
234,0
233,1
232,0
231,11
230,2
229,4
228,8
227,15
226,10
225,8
224,13
223,18
222,16
221,16
220,13
219,18
218,16
217,20
216,11
215,12
214,13
213,10
212,12
211,13
210,8
209,11
208,7
207,3
206,1
205,3
204,6
203,11
202,11
201,7
200,3
199,4
198,13
197,2
196,5
195,8
194,1
193,5
192,7
191,10
190,5
189,12
188,2
187,8
186,3
185,16
184,0
183,3
182,6
181,10
180,3
179,1
178,4
177,2
176,8
175,8
174,2
173,2
172,6
171,5
170,10
169,0
168,4
167,6
166,2
165,3
164,0
163,2
162,1
161,3
160,0
159,0
158,0
157,2
156,0
155,1
154,0
153,1
152,0
151,2
150,2
149,3
148,0
147,1
146,0
145,1
144,0
143,20
142,1
141,0
140,4
139,1
138,1
137,3
136,2
135,0
134,0
133,1
132,0
131,0
130,0
129,4
128,3
127,1
126,0
125,1
124,0
123,0
122,8
121,2
120,0
119,2
118,1
117,0
116,1
115,0
114,1
113,1
112,1
111,0
110,2
109,0
108,0
107,0
106,0
105,0
104,1
103,0
102,0
101,0
100,0
99,0
98,0
97,0
96,0
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,0
81,1
80,0
79,0
78,0
77,0
76,2
75,0
74,0
73,0
72,0
71,0
70,1
69,1
68,0
67,0
66,10
65,0
64,1
63,0
62,0
61,0
60,0
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,6
51,1
50,0
49,0
48,0
47,0
46,0
45,0
44,0
43,0
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,0
34,0
33,0
32,0
31,0
30,0
29,5
28,0
27,0
26,1
25,2
24,3
23,0
22,0
21,0
20,1
19,6
18,0
17,0
16,0
15,0
14,0
13,1
12,0
11,11
10,0
9,1
8,0
7,0
6,0
5,20
4,0
3,0
2,0
1,20
