"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.076055,0,62,0,0,,1.000000
37,,0.000000,1920.816232,0,61,0,0,,1.000000
36,,0.000000,62.000000,0,62,0,0,,1.000000
35,,0.000000,129.815373,0,62,0,0,,1.000000
34,,0.000000,2966.641863,0,61,0,0,,1.000000
33,,0.000000,12142.000000,0,62,0,0,,1.000000
32,,0.000000,134.722398,0,62,0,0,,1.000000
31,,0.000000,134.722398,0,62,0,0,,1.000000
30,,0.000000,0.228082,0,62,0,0,,1.000000
29,,0.000000,0.150839,0,62,0,0,,1.000000
28,,0.000000,129.815373,0,62,0,0,,1.000000
27,,28932.000000,28933.181279,0,62,0,0,yes,1.000000
26,,0.000000,12142.000000,0,62,0,0,,1.000000
25,,83.960600,105.238000,0,3,0,0,yes,1.000000
24,,208.627000,341.582000,0,17,0,0,yes,1.000000
23,,111.385700,300.091000,0,24,0,0,yes,1.000000
22,,47.074880,89.040000,0,10,0,0,yes,1.000000
21,,25.215290,30.353200,0,5,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,70000.000000,0,5,0,0,yes,1.000000
13,,7000.000000,10000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,439360000.000000,0,19,0,0,yes,1.000000
7,,141523000.000000,463520000.000000,0,17,0,0,yes,1.000000
6,,10969000.000000,14760000.000000,0,5,0,0,yes,1.000000
5,,1726000.000000,3700000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,1710000.000000,0,4,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,47350000.000000,0,8,0,0,yes,1.000000
1,,79138000.000000,212210000.000000,0,6,0,0,yes,1.000000
