"planning_unit","number"
321,8
320,8
319,4
318,7
317,20
316,5
315,8
314,4
313,8
312,3
311,7
310,5
309,12
308,3
307,6
306,7
305,5
304,12
303,6
302,10
301,5
300,6
299,9
298,12
297,6
296,9
295,6
294,10
293,6
292,4
291,8
290,10
289,5
288,6
287,3
286,5
285,3
284,9
283,5
282,5
281,8
280,6
279,5
278,9
277,8
276,7
275,6
274,6
273,5
272,6
271,6
270,8
269,5
268,8
267,3
266,6
265,5
264,7
263,3
262,4
261,5
260,7
259,7
258,4
257,5
256,5
255,3
254,5
253,7
252,2
251,3
250,5
249,8
248,6
247,12
246,7
245,3
244,1
243,9
242,8
241,4
240,7
239,9
238,7
237,6
236,3
235,4
234,6
233,6
232,4
231,6
230,7
229,6
228,8
227,4
226,4
225,4
224,7
223,5
222,7
221,5
220,6
219,4
218,7
217,6
216,4
215,10
214,6
213,8
212,8
211,8
210,6
209,7
208,5
207,6
206,7
205,6
204,8
203,6
202,9
201,4
200,3
199,4
198,9
197,5
196,5
195,7
194,4
193,6
192,5
191,7
190,3
189,6
188,10
187,5
186,3
185,6
184,3
183,5
182,4
181,5
180,3
179,7
178,1
177,6
176,6
175,7
174,7
173,4
172,6
171,9
170,6
169,8
168,2
167,7
166,7
165,3
164,10
163,4
162,6
161,8
160,6
159,7
158,2
157,6
156,7
155,9
154,9
153,5
152,6
151,7
150,6
149,4
148,2
147,5
146,5
145,6
144,3
143,20
142,6
141,8
140,10
139,6
138,5
137,8
136,4
135,4
134,5
133,6
132,6
131,4
130,6
129,7
128,5
127,5
126,4
125,8
124,5
123,7
122,4
121,5
120,4
119,6
118,4
117,5
116,4
115,5
114,7
113,7
112,4
111,4
110,5
109,5
108,7
107,10
106,6
105,3
104,4
103,7
102,8
101,5
100,7
99,6
98,5
97,3
96,5
95,3
94,4
93,7
92,7
91,7
90,9
89,5
88,10
87,7
86,5
85,4
84,4
83,5
82,4
81,5
80,7
79,4
78,8
77,5
76,3
75,6
74,9
73,2
72,5
71,6
70,4
69,4
68,10
67,4
66,7
65,3
64,6
63,5
62,6
61,7
60,8
59,5
58,5
57,5
56,4
55,5
54,4
53,3
52,9
51,5
50,6
49,6
48,7
47,4
46,3
45,7
44,9
43,5
42,9
41,2
40,5
39,8
38,4
37,3
36,7
35,3
34,3
33,5
32,5
31,4
30,4
29,8
28,8
27,6
26,7
25,6
24,5
23,4
22,5
21,9
20,5
19,4
18,7
17,7
16,6
15,5
14,10
13,8
12,5
11,10
10,11
9,3
8,7
7,4
6,6
5,20
4,7
3,7
2,7
1,20
