"planning_unit","solution"
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,0
314,0
315,1
316,0
317,1
318,0
319,1
320,1
321,0
