"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.281209,0,225,0,0,,1.000000
37,,0.000000,7193.075139,0,224,0,0,,1.000000
36,,224.700000,225.000000,0,225,0,0,yes,1.000000
35,,0.000000,265.970856,0,225,0,0,,1.000000
34,,0.000000,10971.173818,0,224,0,0,,1.000000
33,,0.000000,40105.000000,0,225,0,0,,1.000000
32,,0.000000,266.543917,0,225,0,0,,1.000000
31,,0.000000,266.543917,0,225,0,0,,1.000000
30,,0.000000,0.707627,0,225,0,0,,1.000000
29,,0.000000,0.521251,0,225,0,0,,1.000000
28,,0.000000,265.970856,0,225,0,0,,1.000000
27,,0.000000,39793.785576,0,223,0,0,,1.000000
26,,0.000000,40105.000000,0,225,0,0,,1.000000
25,,83.960600,485.940000,0,13,0,0,yes,1.000000
24,,208.627000,1428.687000,0,68,0,0,yes,1.000000
23,,111.385700,810.288000,0,65,0,0,yes,1.000000
22,,47.074880,369.509600,0,43,0,0,yes,1.000000
21,,25.215290,160.972300,0,27,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,50000.000000,0,5,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,130000.000000,0,12,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,60000.000000,0,6,0,0,yes,1.000000
14,,17000.000000,150000.000000,0,12,0,0,yes,1.000000
13,,7000.000000,60000.000000,0,4,0,0,yes,1.000000
12,,4000.000000,40000.000000,0,3,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,13090000.000000,0,7,0,0,yes,1.000000
8,,155863000.000000,1259590000.000000,0,50,0,0,yes,1.000000
7,,141523000.000000,822080000.000000,0,48,0,0,yes,1.000000
6,,10969000.000000,100380000.000000,0,36,0,0,yes,1.000000
5,,1726000.000000,15050000.000000,0,14,0,0,yes,1.000000
4,,1458000.000000,7070000.000000,0,16,0,0,yes,1.000000
3,,1713000.000000,11840000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,120530000.000000,0,21,0,0,yes,1.000000
1,,79138000.000000,618210000.000000,0,39,0,0,yes,1.000000
