"planning_unit","number"
321,0
320,0
319,1
318,0
317,20
316,1
315,1
314,0
313,1
312,1
311,0
310,0
309,1
308,0
307,0
306,0
305,0
304,9
303,0
302,0
301,0
300,2
299,6
298,0
297,0
296,1
295,3
294,0
293,0
292,0
291,0
290,0
289,2
288,1
287,1
286,0
285,1
284,0
283,0
282,0
281,1
280,0
279,20
278,0
277,20
276,20
275,0
274,4
273,0
272,20
271,2
270,0
269,1
268,0
267,2
266,0
265,0
264,0
263,1
262,0
261,12
260,2
259,0
258,0
257,5
256,0
255,5
254,17
253,0
252,1
251,0
250,0
249,8
248,1
247,12
246,0
245,5
244,0
243,0
242,0
241,2
240,4
239,0
238,2
237,7
236,0
235,0
234,0
233,0
232,0
231,0
230,19
229,1
228,13
227,0
226,0
225,0
224,1
223,1
222,0
221,2
220,1
219,0
218,18
217,14
216,0
215,0
214,0
213,0
212,0
211,3
210,1
209,0
208,18
207,0
206,1
205,0
204,0
203,0
202,19
201,3
200,6
199,1
198,8
197,0
196,0
195,0
194,0
193,0
192,0
191,1
190,0
189,4
188,0
187,20
186,7
185,20
184,0
183,0
182,20
181,4
180,0
179,1
178,6
177,0
176,0
175,1
174,0
173,1
172,0
171,0
170,0
169,0
168,2
167,0
166,1
165,0
164,0
163,0
162,2
161,0
160,0
159,2
158,2
157,0
156,0
155,2
154,0
153,1
152,0
151,0
150,0
149,2
148,0
147,0
146,0
145,1
144,0
143,20
142,0
141,0
140,7
139,0
138,0
137,0
136,1
135,1
134,0
133,0
132,0
131,0
130,0
129,0
128,0
127,0
126,0
125,0
124,5
123,0
122,2
121,0
120,6
119,0
118,0
117,0
116,0
115,0
114,5
113,0
112,0
111,0
110,0
109,0
108,1
107,2
106,0
105,0
104,4
103,0
102,0
101,1
100,0
99,1
98,0
97,0
96,0
95,0
94,0
93,1
92,1
91,0
90,0
89,0
88,0
87,1
86,0
85,0
84,0
83,0
82,0
81,1
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,0
72,0
71,0
70,0
69,1
68,0
67,0
66,9
65,0
64,0
63,0
62,0
61,3
60,0
59,0
58,0
57,0
56,0
55,0
54,0
53,0
52,8
51,0
50,0
49,0
48,0
47,0
46,0
45,2
44,0
43,0
42,0
41,0
40,0
39,0
38,0
37,0
36,0
35,1
34,0
33,15
32,1
31,0
30,1
29,3
28,1
27,1
26,9
25,1
24,1
23,0
22,0
21,0
20,0
19,15
18,0
17,0
16,2
15,0
14,0
13,1
12,0
11,19
10,0
9,3
8,19
7,10
6,11
5,20
4,0
3,1
2,1
1,20
