"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.094946,0,31,0,0,,1.000000
37,,0.000000,964.757748,0,31,0,0,,1.000000
36,,0.000000,31.000000,0,31,0,0,,1.000000
35,,0.000000,112.891646,0,31,0,0,,1.000000
34,,0.000000,1435.337239,0,30,0,0,,1.000000
33,,0.000000,5578.000000,0,31,0,0,,1.000000
32,,0.000000,63.011556,0,31,0,0,,1.000000
31,,0.000000,63.011556,0,31,0,0,,1.000000
30,,0.000000,0.183267,0,31,0,0,,1.000000
29,,0.000000,0.117713,0,31,0,0,,1.000000
28,,0.000000,112.891646,0,31,0,0,,1.000000
27,,0.000000,6683.106956,0,31,0,0,,1.000000
26,,0.000000,5578.000000,0,31,0,0,,1.000000
25,,83.960600,116.180000,0,2,0,0,yes,1.000000
24,,208.627000,215.729000,0,10,0,0,yes,1.000000
23,,111.385700,111.618000,0,8,0,0,yes,1.000000
22,,47.074880,48.319100,0,6,0,0,yes,1.000000
21,,25.215290,26.743300,0,4,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,30000.000000,0,1,0,0,yes,1.000000
14,,17000.000000,50000.000000,0,3,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,252140000.000000,0,5,0,0,yes,1.000000
7,,141523000.000000,460660000.000000,0,9,0,0,yes,1.000000
6,,10969000.000000,20000000.000000,0,5,0,0,yes,1.000000
5,,1726000.000000,2520000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,1940000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,9220000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,28890000.000000,0,2,0,0,yes,1.000000
1,,79138000.000000,265290000.000000,0,7,0,0,yes,1.000000
